code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
ian_Latn,0.0097,0.0004,0.0097
arp_Latn,0.0194,0.0031,0.0194
kud_Latn,0.0097,0.0008,0.0097
tzo_Latn,0.0,0.0,0.0
ake_Latn,0.0,0.0,0.0
tif_Latn,0.0,0.0,0.0
tlh_Latn,0.0388,0.0229,0.0388
met_Latn,0.0194,0.0035,0.0194
bss_Latn,0.0,0.0,0.0
loq_Latn,0.0097,0.0047,0.0097
gaw_Latn,0.0097,0.0004,0.0097
nhr_Latn,0.0,0.0,0.0
njz_Latn,0.0,0.0,0.0
bbr_Latn,0.0097,0.0019,0.0097
nim_Latn,0.0097,0.0027,0.0097
nys_Latn,0.0194,0.0082,0.0194
ajz_Latn,0.0097,0.0008,0.0097
snw_Latn,0.0097,0.0085,0.0097
aim_Latn,0.0097,0.0031,0.0097
nlc_Latn,0.0097,0.0016,0.0097
gux_Latn,0.0194,0.0074,0.0194
urb_Latn,0.0097,0.0004,0.0097
not_Latn,0.0097,0.0035,0.0097
mxp_Latn,0.0,0.0,0.0
aso_Latn,0.0,0.0,0.0
lbk_Latn,0.0194,0.0047,0.0194
rmy_Latn,0.0194,0.0101,0.0194
tar_Latn,0.0,0.0,0.0
kde_Latn,0.0097,0.0008,0.0097
ivv_Latn,0.0097,0.0031,0.0097
nso_Latn,0.0097,0.0058,0.0097
dgr_Latn,0.0,0.0,0.0
cbk_Latn,0.165,0.0691,0.165
twu_Latn,0.0097,0.005,0.0097
npi_Deva,0.4951,0.1918,0.4951
mcn_Latn,0.0194,0.0062,0.0194
ots_Latn,0.0097,0.0062,0.0097
cor_Latn,0.0291,0.0128,0.0291
che_Cyrl,0.0097,0.0012,0.0097
hat_Latn,0.0097,0.0016,0.0097
nnh_Latn,0.0,0.0,0.0
djk_Latn,0.0097,0.0019,0.0097
mpg_Latn,0.0194,0.0062,0.0194
rup_Latn,0.0388,0.0113,0.0388
cle_Latn,0.0,0.0,0.0
pdt_Latn,0.0388,0.0217,0.0388
bsp_Latn,0.0,0.0,0.0
zpi_Latn,0.0097,0.0039,0.0097
dug_Latn,0.0388,0.0105,0.0388
zyb_Latn,0.0,0.0,0.0
ngc_Latn,0.0097,0.0058,0.0097
tpp_Latn,0.0097,0.0008,0.0097
tha_Thai,0.3398,0.0893,0.3398
tsg_Latn,0.0194,0.0054,0.0194
lsi_Latn,0.0097,0.0004,0.0097
tam_Taml,0.4466,0.1577,0.4466
taq_Latn,0.0,0.0,0.0
tbf_Latn,0.0194,0.0085,0.0194
acr_Latn,0.0097,0.0019,0.0097
fub_Latn,0.0194,0.0043,0.0194
dah_Latn,0.0097,0.0012,0.0097
kat_Geor,0.5631,0.2272,0.5631
ifk_Latn,0.0194,0.0085,0.0194
qul_Latn,0.0097,0.0023,0.0097
nin_Latn,0.0097,0.0012,0.0097
gvl_Latn,0.0097,0.0004,0.0097
ura_Latn,0.0097,0.0004,0.0097
bdh_Latn,0.0,0.0,0.0
azg_Latn,0.0097,0.0078,0.0097
kmm_Latn,0.0097,0.0012,0.0097
maf_Latn,0.0291,0.0093,0.0291
hak_Hani,0.301,0.1169,0.301
ell_Grek,0.8155,0.36,0.8155
tlj_Latn,0.0,0.0,0.0
zca_Latn,0.0097,0.0008,0.0097
muh_Latn,0.0097,0.0008,0.0097
nog_Cyrl,0.1262,0.0307,0.1262
kyc_Latn,0.0097,0.0019,0.0097
hau_Latn,0.2913,0.1045,0.2913
cmo_Khmr,0.0,0.0,0.0
mco_Latn,0.0,0.0,0.0
gng_Latn,0.0,0.0,0.0
boj_Latn,0.0,0.0,0.0
bis_Latn,0.0097,0.0012,0.0097
nbl_Latn,0.0485,0.019,0.0485
jid_Latn,0.0097,0.0016,0.0097
sco_Latn,0.0874,0.0505,0.0874
fal_Latn,0.0291,0.0179,0.0291
qvz_Latn,0.0097,0.0031,0.0097
sag_Latn,0.0194,0.0097,0.0194
rkb_Latn,0.0,0.0,0.0
nsm_Latn,0.0097,0.0012,0.0097
enb_Latn,0.0,0.0,0.0
srn_Latn,0.0291,0.0148,0.0291
bhl_Latn,0.0,0.0,0.0
yuz_Latn,0.0194,0.0097,0.0194
cbi_Latn,0.0,0.0,0.0
apz_Latn,0.0,0.0,0.0
pio_Latn,0.0,0.0,0.0
kqy_Ethi,0.0,0.0,0.0
bmb_Latn,0.0097,0.0023,0.0097
rnl_Latn,0.0097,0.0035,0.0097
mhl_Latn,0.0097,0.0016,0.0097
kgp_Latn,0.0,0.0,0.0
tbg_Latn,0.0,0.0,0.0
zty_Latn,0.0,0.0,0.0
lhu_Latn,0.0,0.0,0.0
cnl_Latn,0.0,0.0,0.0
guz_Latn,0.0291,0.0132,0.0291
