code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
mfk_Latn,0.0291,0.005,0.0291
hto_Latn,0.0291,0.0062,0.0291
cmn_Hani,0.9612,0.7096,0.9612
zul_Latn,0.3204,0.1215,0.3204
dyi_Latn,0.0097,0.0009,0.0097
wwa_Latn,0.0097,0.0012,0.0097
hrv_Latn,0.7864,0.4587,0.7864
bel_Cyrl,0.7961,0.494,0.7961
kxw_Latn,0.0097,0.0009,0.0097
zab_Latn,0.0291,0.015,0.0291
bre_Latn,0.3883,0.1477,0.3883
nzm_Latn,0.0194,0.0044,0.0194
alj_Latn,0.0291,0.01,0.0291
lmp_Latn,0.0291,0.0041,0.0291
ubu_Latn,0.0097,0.0006,0.0097
kmg_Latn,0.0194,0.0068,0.0194
izz_Latn,0.0485,0.0115,0.0485
mal_Latn,0.0194,0.0035,0.0194
gvf_Latn,0.0194,0.0018,0.0194
guq_Latn,0.0291,0.0103,0.0291
taj_Deva,0.0388,0.0074,0.0388
fuh_Latn,0.0485,0.0168,0.0485
swk_Latn,0.1068,0.0356,0.1068
agx_Cyrl,0.0388,0.0129,0.0388
jni_Latn,0.0291,0.005,0.0291
kdl_Latn,0.0194,0.0056,0.0194
tbl_Latn,0.0194,0.0056,0.0194
nep_Deva,0.1553,0.0412,0.1553
lgl_Latn,0.0097,0.0038,0.0097
quf_Latn,0.0777,0.0227,0.0777
uig_Cyrl,0.2816,0.1,0.2816
kab_Latn,0.0485,0.0138,0.0485
bhg_Latn,0.0194,0.0065,0.0194
ifa_Latn,0.0291,0.0106,0.0291
des_Latn,0.0291,0.0088,0.0291
ria_Latn,0.0291,0.0094,0.0291
moa_Latn,0.0097,0.0006,0.0097
kbd_Cyrl,0.0097,0.0026,0.0097
tcs_Latn,0.1359,0.0332,0.1359
tpz_Latn,0.0097,0.0024,0.0097
suc_Latn,0.0388,0.0088,0.0388
boa_Latn,0.0097,0.0021,0.0097
wnu_Latn,0.0097,0.0015,0.0097
pap_Latn,0.466,0.2248,0.466
nnb_Latn,0.0485,0.0127,0.0485
mpm_Latn,0.0291,0.01,0.0291
mcd_Latn,0.0097,0.0035,0.0097
slv_Latn,0.7767,0.4175,0.7767
lia_Latn,0.0,0.0,0.0
gbi_Latn,0.0194,0.0059,0.0194
amu_Latn,0.0194,0.0044,0.0194
zpc_Latn,0.0388,0.0094,0.0388
wbp_Latn,0.0097,0.0006,0.0097
cjv_Latn,0.0,0.0,0.0
whk_Latn,0.0388,0.0124,0.0388
atg_Latn,0.0097,0.0015,0.0097
naw_Latn,0.0097,0.0012,0.0097
pne_Latn,0.0388,0.0147,0.0388
kss_Latn,0.0097,0.0003,0.0097
tem_Latn,0.0097,0.0038,0.0097
agn_Latn,0.0485,0.0153,0.0485
awa_Deva,0.165,0.0565,0.165
eza_Latn,0.0485,0.0124,0.0485
iri_Latn,0.0194,0.0085,0.0194
kuj_Latn,0.0,0.0,0.0
guj_Gujr,0.3689,0.1383,0.3689
hay_Latn,0.0874,0.0247,0.0874
dyo_Latn,0.0194,0.0056,0.0194
bud_Latn,0.0388,0.0097,0.0388
tih_Latn,0.0388,0.0135,0.0388
tlf_Latn,0.0097,0.0003,0.0097
eus_Latn,0.165,0.0677,0.165
ary_Arab,0.2718,0.1089,0.2718
heh_Latn,0.0291,0.0062,0.0291
gso_Latn,0.0291,0.0082,0.0291
mwl_Latn,0.5049,0.2515,0.5049
zae_Latn,0.0291,0.0106,0.0291
mya_Mymr,0.0583,0.0144,0.0583
xuo_Latn,0.0,0.0,0.0
huv_Latn,0.0291,0.0115,0.0291
mgr_Latn,0.0485,0.0177,0.0485
tnn_Latn,0.0097,0.0026,0.0097
rar_Latn,0.1165,0.0468,0.1165
aoz_Latn,0.0291,0.0118,0.0291
mak_Latn,0.0291,0.0118,0.0291
ubr_Latn,0.0194,0.0068,0.0194
yim_Latn,0.0097,0.0065,0.0097
ebk_Latn,0.0388,0.0162,0.0388
bgr_Latn,0.0291,0.0062,0.0291
tqb_Latn,0.0,0.0,0.0
ktu_Latn,0.0291,0.0079,0.0291
tbk_Latn,0.0485,0.0129,0.0485
got_Latn,0.1456,0.0638,0.1456
nsa_Latn,0.0194,0.0047,0.0194
kbr_Latn,0.0097,0.0041,0.0097
mmn_Latn,0.0291,0.0079,0.0291
car_Latn,0.0291,0.0056,0.0291
yva_Latn,0.0291,0.0076,0.0291
hot_Latn,0.0097,0.0018,0.0097
ceb_Latn,0.3786,0.1453,0.3786
mzw_Latn,0.0194,0.005,0.0194
sue_Latn,0.0291,0.0065,0.0291
mog_Latn,0.0388,0.0132,0.0388
faa_Latn,0.0097,0.0009,0.0097
qwh_Latn,0.068,0.0185,0.068
mlp_Latn,0.0194,0.0044,0.0194
ghs_Latn,0.0,0.0,0.0
tur_Latn,0.6893,0.3124,0.6893
ksr_Latn,0.0194,0.0029,0.0194
deu_Latn,0.8447,0.5204,0.8447
hnj_Latn,0.0485,0.0076,0.0485
nav_Latn,0.0097,0.0006,0.0097
cjp_Latn,0.0291,0.0091,0.0291
gbo_Latn,0.0097,0.0003,0.0097
top_Latn,0.0194,0.0018,0.0194
zsr_Latn,0.0194,0.0065,0.0194
bvr_Latn,0.0194,0.0044,0.0194
ljp_Latn,0.1359,0.0533,0.1359
esk_Latn,0.0194,0.0085,0.0194
mcb_Latn,0.0097,0.0035,0.0097
dip_Latn,0.0194,0.0056,0.0194
bgs_Latn,0.0291,0.0115,0.0291
lbj_Tibt,0.0097,0.0009,0.0097
guw_Latn,0.0388,0.0094,0.0388
bdd_Latn,0.0097,0.0006,0.0097
maj_Latn,0.0194,0.0021,0.0194
knv_Latn,0.0097,0.0009,0.0097
smo_Latn,0.3107,0.11,0.3107
kma_Latn,0.0194,0.0026,0.0194
mwm_Latn,0.0097,0.0024,0.0097
zad_Latn,0.0194,0.0091,0.0194
cko_Latn,0.0194,0.0015,0.0194
yuw_Latn,0.0,0.0,0.0
bkv_Latn,0.0097,0.0009,0.0097
cas_Latn,0.0194,0.0053,0.0194
gyr_Latn,0.0388,0.01,0.0388
ium_Laoo,0.0,0.0,0.0
mmo_Latn,0.0097,0.0006,0.0097
gil_Latn,0.0097,0.0021,0.0097
nuy_Latn,0.0097,0.0029,0.0097
kdj_Latn,0.0291,0.0115,0.0291
las_Latn,0.0097,0.0021,0.0097
cwt_Latn,0.0194,0.005,0.0194
eka_Latn,0.0194,0.0076,0.0194
wol_Latn,0.1068,0.0309,0.1068
dad_Latn,0.0291,0.0056,0.0291
pib_Latn,0.0097,0.0029,0.0097
apw_Latn,0.0291,0.0065,0.0291
hil_Latn,0.3592,0.1406,0.3592
tos_Latn,0.0291,0.0059,0.0291
nki_Latn,0.0388,0.0082,0.0388
bex_Latn,0.0097,0.0003,0.0097
nng_Latn,0.0194,0.0018,0.0194
pbb_Latn,0.0291,0.0059,0.0291
dis_Latn,0.0194,0.0047,0.0194
bfo_Latn,0.0097,0.0021,0.0097
mca_Latn,0.0291,0.0053,0.0291
lid_Latn,0.0194,0.0056,0.0194
aau_Latn,0.0194,0.0029,0.0194
irk_Latn,0.0291,0.0088,0.0291
crh_Cyrl,0.3301,0.118,0.3301
kpf_Latn,0.0291,0.0065,0.0291
mkd_Cyrl,0.8447,0.5046,0.8447
teo_Latn,0.0291,0.0121,0.0291
quc_Latn,0.0388,0.0112,0.0388
ium_Latn,0.0097,0.0015,0.0097
kbp_Latn,0.0194,0.0026,0.0194
cap_Latn,0.0485,0.0094,0.0485
enl_Latn,0.0291,0.0079,0.0291
lww_Latn,0.0097,0.0009,0.0097
bku_Latn,0.0194,0.0088,0.0194
wiv_Latn,0.0485,0.0188,0.0485
yut_Latn,0.0097,0.0044,0.0097
hla_Latn,0.0194,0.0047,0.0194
apt_Latn,0.0097,0.0047,0.0097
kdi_Latn,0.0291,0.01,0.0291
gla_Latn,0.4563,0.1921,0.4563
vut_Latn,0.0194,0.0041,0.0194
sml_Latn,0.0291,0.0076,0.0291
aia_Latn,0.0194,0.0071,0.0194
gej_Latn,0.0388,0.0103,0.0388
gvc_Latn,0.0194,0.0062,0.0194
nia_Latn,0.0194,0.0076,0.0194
syc_Syrc,0.068,0.0218,0.068
tik_Latn,0.0194,0.0018,0.0194
bug_Latn,0.0583,0.0162,0.0583
akh_Latn,0.0097,0.0006,0.0097
esi_Latn,0.0194,0.005,0.0194
usp_Latn,0.0194,0.0097,0.0194
dje_Latn,0.0291,0.0127,0.0291
pbc_Latn,0.0291,0.0068,0.0291
mug_Latn,0.0388,0.0118,0.0388
mvp_Latn,0.0291,0.0106,0.0291
syb_Latn,0.0291,0.0106,0.0291
kje_Latn,0.0291,0.0115,0.0291
arz_Arab,0.835,0.4472,0.835
agm_Latn,0.0097,0.0009,0.0097
mhr_Cyrl,0.1553,0.0453,0.1553
ksp_Latn,0.0194,0.0032,0.0194
bjk_Latn,0.0388,0.0141,0.0388
atd_Latn,0.0485,0.0141,0.0485
nbc_Latn,0.0194,0.0056,0.0194
kpg_Latn,0.0485,0.0162,0.0485
ojs_Cans,0.0097,0.0006,0.0097
srp_Cyrl,0.8544,0.5007,0.8544
ndz_Latn,0.0194,0.0038,0.0194
