code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
zav_Latn,0.0097,0.0015,0.0097
mai_Deva,0.2524,0.0871,0.2524
kms_Latn,0.0388,0.0106,0.0388
bth_Latn,0.0485,0.02,0.0485
gog_Latn,0.0388,0.01,0.0388
ape_Latn,0.0291,0.0091,0.0291
bnj_Latn,0.0194,0.0035,0.0194
caa_Latn,0.0388,0.0127,0.0388
poi_Latn,0.0194,0.0065,0.0194
bkd_Latn,0.0485,0.0168,0.0485
srq_Latn,0.0194,0.0059,0.0194
ifu_Latn,0.0388,0.0112,0.0388
cbv_Latn,0.0291,0.0124,0.0291
ncl_Latn,0.0485,0.0079,0.0485
qve_Latn,0.0485,0.0118,0.0485
aeu_Latn,0.0097,0.0029,0.0097
pan_Guru,0.2524,0.0435,0.2524
byr_Latn,0.0097,0.0006,0.0097
adj_Latn,0.0291,0.0053,0.0291
spy_Latn,0.0097,0.0026,0.0097
att_Latn,0.0291,0.0138,0.0291
hmo_Latn,0.0485,0.0115,0.0485
pma_Latn,0.0097,0.0012,0.0097
kvn_Latn,0.0388,0.0088,0.0388
ndj_Latn,0.0291,0.0138,0.0291
mil_Latn,0.0097,0.0015,0.0097
otm_Latn,0.0291,0.0076,0.0291
mcp_Latn,0.0194,0.0047,0.0194
qxh_Latn,0.0388,0.0135,0.0388
pad_Latn,0.0194,0.0029,0.0194
nma_Latn,0.0291,0.005,0.0291
run_Latn,0.0583,0.0244,0.0583
nho_Latn,0.068,0.0206,0.068
efi_Latn,0.0388,0.0141,0.0388
bsn_Latn,0.0388,0.0047,0.0388
lol_Latn,0.0291,0.0112,0.0291
tob_Latn,0.0291,0.0056,0.0291
anv_Latn,0.0291,0.0032,0.0291
sil_Latn,0.0388,0.0076,0.0388
kmr_Latn,0.2427,0.0691,0.2427
kir_Cyrl,0.2913,0.0977,0.2913
kne_Latn,0.0583,0.0212,0.0583
mdy_Ethi,0.0,0.0,0.0
gvs_Latn,0.0388,0.0071,0.0388
ayo_Latn,0.0291,0.0074,0.0291
gud_Latn,0.0097,0.0038,0.0097
pcm_Latn,0.3689,0.1559,0.3689
cme_Latn,0.0194,0.0047,0.0194
niq_Latn,0.0388,0.0135,0.0388
chk_Latn,0.0291,0.0085,0.0291
mti_Latn,0.0388,0.0103,0.0388
zaw_Latn,0.0291,0.0112,0.0291
nyo_Latn,0.0777,0.0185,0.0777
mnk_Latn,0.0291,0.0062,0.0291
srp_Latn,0.6796,0.3628,0.6796
twi_Latn,0.0485,0.0182,0.0485
gya_Latn,0.0194,0.0044,0.0194
poh_Latn,0.0291,0.0097,0.0291
pes_Arab,0.7379,0.3954,0.7379
isd_Latn,0.0388,0.0185,0.0388
gof_Latn,0.0194,0.0082,0.0194
hin_Deva,0.6893,0.3269,0.6893
tby_Latn,0.0485,0.0127,0.0485
ctp_Latn,0.0291,0.0056,0.0291
seh_Latn,0.0583,0.0197,0.0583
nwb_Latn,0.0097,0.0003,0.0097
ntu_Latn,0.0194,0.0029,0.0194
sah_Cyrl,0.1262,0.0403,0.1262
wmw_Latn,0.068,0.0197,0.068
zlm_Latn,0.8738,0.5169,0.8738
arl_Latn,0.0291,0.0041,0.0291
awb_Latn,0.0097,0.0003,0.0097
luo_Latn,0.0291,0.0124,0.0291
ojb_Cans,0.0097,0.0006,0.0097
bim_Latn,0.0291,0.0097,0.0291
bzd_Latn,0.0194,0.0071,0.0194
tel_Telu,0.3204,0.0936,0.3204
cpa_Latn,0.0291,0.0065,0.0291
far_Latn,0.0291,0.0103,0.0291
toc_Latn,0.0291,0.0038,0.0291
lom_Latn,0.0,0.0,0.0
zpv_Latn,0.0291,0.0065,0.0291
sim_Latn,0.0291,0.0062,0.0291
ptu_Latn,0.0388,0.0165,0.0388
mva_Latn,0.0291,0.0062,0.0291
war_Latn,0.301,0.09,0.301
nnw_Latn,0.0194,0.0015,0.0194
hak_Latn,0.0194,0.0032,0.0194
usa_Latn,0.0,0.0,0.0
mpx_Latn,0.0291,0.0088,0.0291
upv_Latn,0.0291,0.0065,0.0291
epo_Latn,0.6214,0.2816,0.6214
lit_Latn,0.4369,0.2033,0.4369
mcq_Latn,0.0097,0.0009,0.0097
sot_Latn,0.0874,0.0241,0.0874
gde_Latn,0.0194,0.0074,0.0194
aze_Latn,0.6505,0.2542,0.6505
nou_Latn,0.0291,0.0085,0.0291
gvn_Latn,0.0291,0.01,0.0291
ayr_Latn,0.0485,0.0118,0.0485
mad_Latn,0.0485,0.0168,0.0485
izr_Latn,0.0194,0.0097,0.0194
btt_Latn,0.0194,0.0059,0.0194
kmo_Latn,0.0097,0.0012,0.0097
mbs_Latn,0.0388,0.0147,0.0388
gag_Cyrl,0.1262,0.0338,0.1262
kha_Latn,0.0485,0.0168,0.0485
tna_Latn,0.0388,0.0118,0.0388
hvn_Latn,0.0291,0.0118,0.0291
mwc_Latn,0.0291,0.0121,0.0291
zaj_Latn,0.0583,0.0203,0.0583
ttc_Latn,0.0291,0.0082,0.0291
ojb_Latn,0.0194,0.0015,0.0194
srm_Latn,0.0485,0.0144,0.0485
nsn_Latn,0.0097,0.0041,0.0097
urd_Arab,0.5146,0.1971,0.5146
crt_Latn,0.0388,0.0135,0.0388
npy_Latn,0.0291,0.0129,0.0291
sbs_Latn,0.0485,0.0185,0.0485
wob_Latn,0.0194,0.0029,0.0194
mxq_Latn,0.0291,0.0029,0.0291
eko_Latn,0.0388,0.0062,0.0388
apy_Latn,0.0194,0.0015,0.0194
ons_Latn,0.0388,0.0091,0.0388
kue_Latn,0.0291,0.0047,0.0291
suk_Latn,0.0291,0.0085,0.0291
gnd_Latn,0.0291,0.0056,0.0291
suz_Deva,0.0291,0.0094,0.0291
fao_Latn,0.4951,0.193,0.4951
csk_Latn,0.0194,0.0029,0.0194
tab_Cyrl,0.0194,0.0053,0.0194
due_Latn,0.0291,0.0141,0.0291
tvk_Latn,0.0097,0.0026,0.0097
bcl_Latn,0.3786,0.1421,0.3786
meu_Latn,0.0291,0.0129,0.0291
ese_Latn,0.0097,0.0006,0.0097
kog_Latn,0.0097,0.0012,0.0097
otq_Latn,0.0194,0.0024,0.0194
buk_Latn,0.0388,0.0059,0.0388
njz_Latn,0.0194,0.0018,0.0194
nim_Latn,0.0291,0.01,0.0291
bbr_Latn,0.0291,0.0082,0.0291
nys_Latn,0.0388,0.0112,0.0388
snw_Latn,0.0194,0.0056,0.0194
ajz_Latn,0.0485,0.0138,0.0485
aim_Latn,0.0291,0.0094,0.0291
nlc_Latn,0.0388,0.0115,0.0388
gux_Latn,0.0485,0.0124,0.0485
not_Latn,0.0097,0.0015,0.0097
urb_Latn,0.0097,0.0024,0.0097
aso_Latn,0.0097,0.0035,0.0097
mxp_Latn,0.0291,0.0015,0.0291
rmy_Latn,0.0388,0.0171,0.0388
lbk_Latn,0.0583,0.0241,0.0583
kde_Latn,0.0485,0.0144,0.0485
tar_Latn,0.0194,0.0024,0.0194
nso_Latn,0.0971,0.0312,0.0971
ivv_Latn,0.0388,0.0182,0.0388
cbk_Latn,0.3689,0.163,0.3689
dgr_Latn,0.0194,0.0012,0.0194
npi_Deva,0.4563,0.1698,0.4563
twu_Latn,0.0388,0.0179,0.0388
lus_Latn,0.0583,0.0165,0.0583
hmr_Latn,0.068,0.0177,0.068
kpj_Latn,0.0097,0.0009,0.0097
lem_Latn,0.0097,0.0009,0.0097
tcz_Latn,0.0388,0.0118,0.0388
miq_Latn,0.0485,0.0177,0.0485
shn_Mymr,0.0291,0.0026,0.0291
kaz_Cyrl,0.3301,0.1247,0.3301
kez_Latn,0.0291,0.0082,0.0291
arp_Latn,0.0291,0.0065,0.0291
ian_Latn,0.0194,0.0056,0.0194
kud_Latn,0.0388,0.0085,0.0388
tzo_Latn,0.0291,0.0088,0.0291
ake_Latn,0.0291,0.0032,0.0291
tif_Latn,0.0097,0.0003,0.0097
tlh_Latn,0.1748,0.0527,0.1748
loq_Latn,0.0291,0.0044,0.0291
gaw_Latn,0.0194,0.0059,0.0194
bss_Latn,0.0194,0.0044,0.0194
met_Latn,0.0194,0.01,0.0194
nhr_Latn,0.0291,0.0065,0.0291
taq_Latn,0.0291,0.0026,0.0291
tbf_Latn,0.0388,0.0185,0.0388
acr_Latn,0.0291,0.0112,0.0291
fub_Latn,0.0583,0.0177,0.0583
dah_Latn,0.0194,0.0024,0.0194
kat_Geor,0.4757,0.1339,0.4757
ifk_Latn,0.0291,0.0182,0.0291
qul_Latn,0.0388,0.0135,0.0388
nin_Latn,0.0388,0.0112,0.0388
ura_Latn,0.0194,0.0018,0.0194
bdh_Latn,0.0291,0.0026,0.0291
gvl_Latn,0.0291,0.0065,0.0291
azg_Latn,0.0097,0.0065,0.0097
kmm_Latn,0.0291,0.0076,0.0291
hak_Hani,0.5146,0.2554,0.5146
maf_Latn,0.0485,0.0215,0.0485
mcn_Latn,0.0291,0.0103,0.0291
ots_Latn,0.0097,0.0056,0.0097
djk_Latn,0.0194,0.0053,0.0194
cor_Latn,0.0971,0.0368,0.0971
nnh_Latn,0.0194,0.0026,0.0194
che_Cyrl,0.0291,0.0074,0.0291
hat_Latn,0.2136,0.0762,0.2136
cle_Latn,0.0291,0.0044,0.0291
rup_Latn,0.068,0.0303,0.068
mpg_Latn,0.0388,0.0097,0.0388
pdt_Latn,0.1165,0.0465,0.1165
bsp_Latn,0.0097,0.0026,0.0097
zpi_Latn,0.0291,0.0082,0.0291
dug_Latn,0.0485,0.0194,0.0485
zyb_Latn,0.0097,0.0003,0.0097
ngc_Latn,0.0388,0.0106,0.0388
tpp_Latn,0.0485,0.0118,0.0485
lsi_Latn,0.0291,0.0074,0.0291
tha_Thai,0.5534,0.1954,0.5534
tsg_Latn,0.0583,0.0144,0.0583
tam_Taml,0.3107,0.0685,0.3107
rkb_Latn,0.0,0.0,0.0
nsm_Latn,0.0583,0.0124,0.0583
qvz_Latn,0.0388,0.0109,0.0388
sag_Latn,0.0388,0.0144,0.0388
srn_Latn,0.0874,0.0306,0.0874
enb_Latn,0.0097,0.0015,0.0097
yuz_Latn,0.0388,0.0135,0.0388
cbi_Latn,0.0388,0.0082,0.0388
bhl_Latn,0.0097,0.0009,0.0097
bmb_Latn,0.0291,0.0138,0.0291
pio_Latn,0.0388,0.0076,0.0388
apz_Latn,0.0097,0.0009,0.0097
kqy_Ethi,0.0,0.0,0.0
rnl_Latn,0.0291,0.0106,0.0291
tbg_Latn,0.0097,0.0015,0.0097
kgp_Latn,0.0291,0.0071,0.0291
mhl_Latn,0.0194,0.0024,0.0194
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0194,0.005,0.0194
cnl_Latn,0.0194,0.0012,0.0194
mqy_Latn,0.0388,0.0159,0.0388
guz_Latn,0.0583,0.0174,0.0583
zai_Latn,0.0388,0.0147,0.0388
ell_Grek,0.7864,0.5154,0.7864
tlj_Latn,0.0194,0.0041,0.0194
nog_Cyrl,0.1942,0.0527,0.1942
zca_Latn,0.0291,0.0132,0.0291
muh_Latn,0.0291,0.0062,0.0291
kyc_Latn,0.0097,0.0032,0.0097
hau_Latn,0.165,0.0591,0.165
mco_Latn,0.0291,0.0076,0.0291
cmo_Khmr,0.0,0.0,0.0
gng_Latn,0.0388,0.0088,0.0388
boj_Latn,0.0194,0.0056,0.0194
nbl_Latn,0.0971,0.0288,0.0971
bis_Latn,0.1748,0.0485,0.1748
sco_Latn,0.5049,0.1962,0.5049
jid_Latn,0.0388,0.0144,0.0388
fal_Latn,0.0291,0.0132,0.0291
kiz_Latn,0.0388,0.0153,0.0388
zpo_Latn,0.0291,0.0124,0.0291
ann_Latn,0.0194,0.0047,0.0194
meq_Latn,0.0388,0.0074,0.0388
nhw_Latn,0.0485,0.0103,0.0485
bch_Latn,0.0291,0.0097,0.0291
ckt_Cyrl,0.0291,0.0085,0.0291
tzj_Latn,0.0388,0.0165,0.0388
cot_Latn,0.0097,0.0044,0.0097
beq_Latn,0.0291,0.0138,0.0291
xrb_Latn,0.0291,0.0038,0.0291
ikw_Latn,0.0291,0.0071,0.0291
som_Latn,0.0971,0.0229,0.0971
mit_Latn,0.0388,0.0074,0.0388
mjc_Latn,0.0388,0.0106,0.0388
bom_Latn,0.0388,0.0076,0.0388
blz_Latn,0.0388,0.0144,0.0388
kua_Latn,0.0388,0.0127,0.0388
spa_Latn,0.8155,0.5246,0.8155
var_Latn,0.0097,0.0012,0.0097
gkn_Latn,0.0194,0.0026,0.0194
cso_Latn,0.0291,0.0088,0.0291
leh_Latn,0.0194,0.0053,0.0194
crm_Cans,0.0,0.0,0.0
jic_Latn,0.0291,0.0071,0.0291
rim_Latn,0.0291,0.0109,0.0291
kan_Latn,0.0194,0.0041,0.0194
sgw_Ethi,0.0097,0.0003,0.0097
nct_Latn,0.0388,0.0082,0.0388
kqp_Latn,0.0291,0.0062,0.0291
uzb_Cyrl,0.2427,0.0662,0.2427
sri_Latn,0.0194,0.0053,0.0194
dan_Latn,0.7961,0.4975,0.7961
swg_Latn,0.301,0.1271,0.301
stp_Latn,0.0291,0.0044,0.0291
hif_Latn,0.2233,0.073,0.2233
nus_Latn,0.0194,0.0018,0.0194
ffm_Latn,0.0194,0.0053,0.0194
ckb_Arab,0.1359,0.0318,0.1359
taw_Latn,0.0194,0.0035,0.0194
sme_Latn,0.0388,0.0121,0.0388
kmk_Latn,0.0485,0.0165,0.0485
mri_Latn,0.3301,0.0897,0.3301
chr_Latn,0.0097,0.0015,0.0097
mtp_Latn,0.0291,0.0024,0.0291
shk_Latn,0.0194,0.0015,0.0194
aii_Syrc,0.0097,0.0009,0.0097
nno_Latn,0.5243,0.2654,0.5243
jvn_Latn,0.2136,0.068,0.2136
dob_Latn,0.0194,0.0076,0.0194
waj_Latn,0.0097,0.0009,0.0097
bci_Latn,0.0291,0.0091,0.0291
imo_Latn,0.0194,0.0029,0.0194
agd_Latn,0.0194,0.0012,0.0194
biu_Latn,0.0194,0.01,0.0194
pmx_Latn,0.0485,0.01,0.0485
prs_Arab,0.7379,0.3951,0.7379
ssw_Latn,0.068,0.0197,0.068
myk_Latn,0.0097,0.0018,0.0097
nds_Latn,0.1068,0.043,0.1068
sun_Latn,0.1456,0.06,0.1456
acu_Latn,0.0291,0.0085,0.0291
cth_Latn,0.0291,0.0115,0.0291
tav_Latn,0.0194,0.0024,0.0194
mxt_Latn,0.0291,0.0103,0.0291
hig_Latn,0.0194,0.0065,0.0194
stq_Latn,0.1942,0.0788,0.1942
yrk_Cyrl,0.0388,0.0112,0.0388
plg_Latn,0.0291,0.0062,0.0291
ncu_Latn,0.0097,0.0006,0.0097
cax_Latn,0.0388,0.0103,0.0388
kao_Latn,0.0291,0.0109,0.0291
crq_Latn,0.0388,0.0135,0.0388
tgo_Latn,0.0388,0.0079,0.0388
shj_Latn,0.0194,0.0071,0.0194
jav_Latn,0.165,0.063,0.165
zao_Latn,0.0485,0.0144,0.0485
nii_Latn,0.0194,0.0044,0.0194
nlg_Latn,0.0388,0.0185,0.0388
dks_Latn,0.0291,0.0109,0.0291
nop_Latn,0.0291,0.005,0.0291
maa_Latn,0.0291,0.0106,0.0291
vap_Latn,0.0485,0.0147,0.0485
biv_Latn,0.0194,0.0053,0.0194
agg_Latn,0.0097,0.0018,0.0097
ted_Latn,0.0097,0.0015,0.0097
fai_Latn,0.0194,0.0024,0.0194
ses_Latn,0.0485,0.0129,0.0485
yap_Latn,0.0291,0.0076,0.0291
gnb_Latn,0.0583,0.0138,0.0583
cut_Latn,0.0388,0.0132,0.0388
iqw_Latn,0.0485,0.0156,0.0485
tpt_Latn,0.0388,0.0091,0.0388
pkb_Latn,0.0291,0.01,0.0291
ndp_Latn,0.0194,0.0097,0.0194
lsm_Latn,0.0485,0.0168,0.0485
nnl_Latn,0.0291,0.0082,0.0291
bfd_Latn,0.0291,0.0029,0.0291
tzh_Latn,0.0485,0.0156,0.0485
pbi_Latn,0.0291,0.0079,0.0291
bum_Latn,0.0388,0.0165,0.0388
klv_Latn,0.0097,0.0018,0.0097
qxr_Latn,0.0291,0.0053,0.0291
akb_Latn,0.0388,0.0147,0.0388
sja_Latn,0.0291,0.0091,0.0291
kix_Latn,0.0194,0.0044,0.0194
zpm_Latn,0.0291,0.0076,0.0291
nhu_Latn,0.0194,0.0026,0.0194
kyf_Latn,0.0097,0.0024,0.0097
nij_Latn,0.0583,0.0247,0.0583
vid_Latn,0.0388,0.0147,0.0388
wca_Latn,0.0194,0.0047,0.0194
mwe_Latn,0.0194,0.0062,0.0194
shi_Latn,0.0388,0.0127,0.0388
ald_Latn,0.0291,0.0021,0.0291
snp_Latn,0.0194,0.0024,0.0194
nld_Latn,0.9709,0.6946,0.9709
fuf_Latn,0.0194,0.0035,0.0194
tuk_Cyrl,0.068,0.0235,0.068
swe_Latn,0.7961,0.4754,0.7961
bnp_Latn,0.0388,0.0127,0.0388
mhi_Latn,0.0485,0.0212,0.0485
quh_Latn,0.0583,0.0182,0.0583
tgl_Latn,0.7476,0.318,0.7476
gid_Latn,0.0194,0.0094,0.0194
oym_Latn,0.0097,0.0018,0.0097
sab_Latn,0.0485,0.0121,0.0485
kal_Latn,0.0388,0.0091,0.0388
eng_Latn,1.0,1.0,1.0
emp_Latn,0.0291,0.0065,0.0291
tte_Latn,0.0097,0.0015,0.0097
kub_Latn,0.0291,0.0079,0.0291
bon_Latn,0.0291,0.0059,0.0291
cek_Latn,0.0291,0.0065,0.0291
yaq_Latn,0.0097,0.0015,0.0097
tee_Latn,0.0097,0.0035,0.0097
fra_Latn,0.8932,0.6655,0.8932
kyg_Latn,0.0097,0.0018,0.0097
anm_Latn,0.0388,0.01,0.0388
mfe_Latn,0.1553,0.0415,0.1553
zpl_Latn,0.0388,0.0129,0.0388
mck_Latn,0.0388,0.0059,0.0388
lin_Latn,0.068,0.0206,0.068
alt_Cyrl,0.1262,0.0338,0.1262
nmz_Latn,0.0291,0.01,0.0291
urd_Latn,0.3689,0.1071,0.3689
cnh_Latn,0.0291,0.0097,0.0291
azb_Latn,0.6602,0.2736,0.6602
mar_Deva,0.4078,0.1827,0.4078
bgz_Latn,0.0194,0.0091,0.0194
bts_Latn,0.0388,0.0129,0.0388
mbt_Latn,0.0291,0.0085,0.0291
nyu_Latn,0.0485,0.0135,0.0485
chq_Latn,0.0291,0.0053,0.0291
vie_Latn,0.7184,0.4557,0.7184
zam_Latn,0.0291,0.0041,0.0291
por_Latn,0.8155,0.5881,0.8155
kqs_Latn,0.0388,0.0074,0.0388
kru_Deva,0.0291,0.0082,0.0291
crs_Latn,0.1845,0.0427,0.1845
kdc_Latn,0.0971,0.0294,0.0971
sgz_Latn,0.0388,0.0094,0.0388
tbc_Latn,0.0388,0.0091,0.0388
cgc_Latn,0.068,0.0232,0.068
kwj_Latn,0.0291,0.0047,0.0291
mxv_Latn,0.0194,0.0056,0.0194
miy_Latn,0.0194,0.0074,0.0194
blw_Latn,0.0485,0.0135,0.0485
naq_Latn,0.0194,0.0044,0.0194
ghe_Deva,0.0583,0.0085,0.0583
ata_Latn,0.0097,0.0018,0.0097
ziw_Latn,0.0583,0.0171,0.0583
dar_Cyrl,0.0291,0.0059,0.0291
itv_Latn,0.0583,0.0209,0.0583
kck_Latn,0.0485,0.0194,0.0485
kxm_Thai,0.0097,0.0012,0.0097
cpu_Latn,0.0388,0.0165,0.0388
lee_Latn,0.0194,0.0074,0.0194
nxd_Latn,0.0291,0.0109,0.0291
wro_Latn,0.0194,0.0091,0.0194
mfk_Latn,0.0388,0.0065,0.0388
kiw_Latn,0.0194,0.0024,0.0194
hto_Latn,0.0194,0.0059,0.0194
cmn_Hani,0.8932,0.6066,0.8932
zul_Latn,0.0971,0.0318,0.0971
dyi_Latn,0.0194,0.0015,0.0194
wwa_Latn,0.0194,0.0041,0.0194
hrv_Latn,0.5534,0.2986,0.5534
mam_Latn,0.0388,0.0103,0.0388
bgt_Latn,0.0485,0.0188,0.0485
gup_Latn,0.0388,0.0159,0.0388
bam_Latn,0.0388,0.0132,0.0388
zac_Latn,0.0291,0.0115,0.0291
yor_Latn,0.0874,0.0312,0.0874
yle_Latn,0.0097,0.0009,0.0097
qug_Latn,0.0388,0.01,0.0388
dts_Latn,0.0194,0.0071,0.0194
lgm_Latn,0.0388,0.0106,0.0388
tdt_Latn,0.0777,0.0265,0.0777
kac_Latn,0.0291,0.0079,0.0291
krj_Latn,0.2718,0.0941,0.2718
bkq_Latn,0.0291,0.0124,0.0291
cat_Latn,0.6893,0.426,0.6893
cbc_Latn,0.0291,0.0085,0.0291
dgz_Latn,0.0097,0.0015,0.0097
myv_Cyrl,0.068,0.0182,0.068
bmh_Latn,0.0194,0.005,0.0194
ven_Latn,0.0291,0.0068,0.0291
asg_Latn,0.0194,0.0047,0.0194
kwd_Latn,0.0291,0.01,0.0291
lat_Latn,0.9126,0.6705,0.9126
gor_Latn,0.0291,0.0132,0.0291
ctd_Latn,0.0485,0.0127,0.0485
rmq_Latn,0.068,0.0288,0.068
gle_Latn,0.3981,0.1094,0.3981
ria_Latn,0.0291,0.0076,0.0291
moa_Latn,0.0194,0.0018,0.0194
des_Latn,0.0291,0.0094,0.0291
tpz_Latn,0.0194,0.0032,0.0194
suc_Latn,0.0485,0.0082,0.0485
boa_Latn,0.0097,0.0003,0.0097
wnu_Latn,0.0194,0.0053,0.0194
kbd_Cyrl,0.0097,0.0003,0.0097
tcs_Latn,0.1165,0.025,0.1165
mcd_Latn,0.0291,0.0065,0.0291
slv_Latn,0.5728,0.2739,0.5728
lia_Latn,0.0097,0.0006,0.0097
pap_Latn,0.2039,0.0877,0.2039
nnb_Latn,0.0388,0.0103,0.0388
mpm_Latn,0.0388,0.015,0.0388
wbp_Latn,0.0,0.0,0.0
cjv_Latn,0.0291,0.0041,0.0291
amu_Latn,0.0291,0.0082,0.0291
gbi_Latn,0.0291,0.0062,0.0291
zpc_Latn,0.0194,0.0088,0.0194
bre_Latn,0.1553,0.0456,0.1553
alj_Latn,0.0583,0.0179,0.0583
nzm_Latn,0.0291,0.0079,0.0291
lmp_Latn,0.0097,0.0035,0.0097
bel_Cyrl,0.7476,0.3895,0.7476
zab_Latn,0.0485,0.0156,0.0485
kxw_Latn,0.0194,0.0041,0.0194
gvf_Latn,0.0194,0.0047,0.0194
guq_Latn,0.0291,0.0097,0.0291
ubu_Latn,0.0097,0.0003,0.0097
kmg_Latn,0.0388,0.0071,0.0388
izz_Latn,0.0485,0.0082,0.0485
mal_Latn,0.0194,0.0032,0.0194
jni_Latn,0.0388,0.0082,0.0388
agx_Cyrl,0.0291,0.0085,0.0291
kdl_Latn,0.0194,0.0088,0.0194
nep_Deva,0.4369,0.1777,0.4369
tbl_Latn,0.0291,0.0074,0.0291
taj_Deva,0.0485,0.0097,0.0485
fuh_Latn,0.0194,0.0059,0.0194
swk_Latn,0.0388,0.0171,0.0388
bhg_Latn,0.0291,0.01,0.0291
ifa_Latn,0.0291,0.0121,0.0291
lgl_Latn,0.0291,0.0079,0.0291
quf_Latn,0.0388,0.0144,0.0388
uig_Cyrl,0.1359,0.0282,0.1359
kab_Latn,0.0388,0.0106,0.0388
msy_Latn,0.0291,0.0059,0.0291
reg_Latn,0.0388,0.0109,0.0388
sin_Sinh,0.2039,0.038,0.2039
yka_Latn,0.0485,0.0085,0.0485
mfi_Latn,0.0291,0.0056,0.0291
tlb_Latn,0.0388,0.0124,0.0388
kjb_Latn,0.0291,0.0127,0.0291
nko_Latn,0.0194,0.0065,0.0194
nhx_Latn,0.0485,0.0141,0.0485
nas_Latn,0.0097,0.0009,0.0097
fad_Latn,0.0291,0.0074,0.0291
xho_Latn,0.0971,0.0321,0.0971
ceg_Latn,0.0291,0.0091,0.0291
tsn_Latn,0.0971,0.0315,0.0971
trq_Latn,0.0291,0.0091,0.0291
neb_Latn,0.0,0.0,0.0
kwf_Latn,0.0194,0.0068,0.0194
swh_Latn,0.466,0.15,0.466
daa_Latn,0.0291,0.0076,0.0291
apr_Latn,0.0194,0.0047,0.0194
tbo_Latn,0.0291,0.005,0.0291
mks_Latn,0.0291,0.0074,0.0291
sda_Latn,0.0388,0.0168,0.0388
lav_Latn,0.4563,0.2027,0.4563
nse_Latn,0.0485,0.0174,0.0485
kaa_Latn,0.233,0.0427,0.233
ifb_Latn,0.0291,0.0118,0.0291
oji_Latn,0.0388,0.0135,0.0388
cav_Latn,0.0291,0.0091,0.0291
hop_Latn,0.0291,0.0065,0.0291
bao_Latn,0.0291,0.0074,0.0291
bzi_Thai,0.0291,0.0094,0.0291
zaa_Latn,0.0291,0.0129,0.0291
nyy_Latn,0.0194,0.0091,0.0194
mda_Latn,0.0194,0.0024,0.0194
pse_Latn,0.1068,0.0338,0.1068
ztq_Latn,0.0291,0.01,0.0291
ike_Cans,0.0,0.0,0.0
xpe_Latn,0.0097,0.0012,0.0097
gur_Latn,0.0291,0.0112,0.0291
ksw_Mymr,0.0,0.0,0.0
mua_Latn,0.0291,0.0103,0.0291
nhy_Latn,0.0388,0.0144,0.0388
mfh_Latn,0.0291,0.0082,0.0291
loz_Latn,0.0388,0.0191,0.0388
ben_Beng,0.534,0.1939,0.534
gdr_Latn,0.0194,0.0032,0.0194
xbr_Latn,0.0194,0.0032,0.0194
mcf_Latn,0.0,0.0,0.0
tim_Latn,0.0291,0.0056,0.0291
vmy_Latn,0.0388,0.0153,0.0388
zom_Latn,0.0388,0.0118,0.0388
tso_Latn,0.0485,0.0177,0.0485
miz_Latn,0.0194,0.0047,0.0194
cux_Latn,0.0291,0.0068,0.0291
gnn_Latn,0.0097,0.0006,0.0097
moc_Latn,0.0194,0.0056,0.0194
heb_Hebr,0.5728,0.2698,0.5728
lef_Latn,0.0291,0.0056,0.0291
mlt_Latn,0.301,0.118,0.301
atb_Latn,0.0291,0.0062,0.0291
nbe_Latn,0.0291,0.0082,0.0291
hnn_Latn,0.1068,0.03,0.1068
ssx_Latn,0.0097,0.0012,0.0097
kri_Latn,0.0777,0.0241,0.0777
qvs_Latn,0.0485,0.0132,0.0485
dtp_Latn,0.0291,0.0074,0.0291
trp_Latn,0.0291,0.0103,0.0291
uri_Latn,0.0194,0.0024,0.0194
mrg_Latn,0.0194,0.0082,0.0194
tke_Latn,0.0291,0.0141,0.0291
smk_Latn,0.0777,0.02,0.0777
pps_Latn,0.0291,0.0103,0.0291
hus_Latn,0.0291,0.0106,0.0291
khk_Latn,0.0291,0.01,0.0291
bqp_Latn,0.0291,0.005,0.0291
mgw_Latn,0.0388,0.0174,0.0388
tnk_Latn,0.0097,0.0026,0.0097
ban_Latn,0.0583,0.0229,0.0583
nif_Latn,0.0194,0.0024,0.0194
lww_Latn,0.0194,0.0065,0.0194
enl_Latn,0.0291,0.0112,0.0291
cap_Latn,0.0291,0.0082,0.0291
bku_Latn,0.0388,0.0138,0.0388
wiv_Latn,0.0388,0.0179,0.0388
hla_Latn,0.0194,0.0082,0.0194
yut_Latn,0.0194,0.0026,0.0194
ium_Latn,0.0194,0.0041,0.0194
quc_Latn,0.0388,0.0103,0.0388
kbp_Latn,0.0194,0.0074,0.0194
kdi_Latn,0.0291,0.0103,0.0291
vut_Latn,0.0194,0.0038,0.0194
gla_Latn,0.301,0.1121,0.301
apt_Latn,0.0485,0.015,0.0485
gvc_Latn,0.0291,0.0082,0.0291
sml_Latn,0.0583,0.0109,0.0583
aia_Latn,0.0194,0.01,0.0194
gej_Latn,0.0291,0.0076,0.0291
syc_Syrc,0.0874,0.0197,0.0874
nia_Latn,0.0194,0.0121,0.0194
nki_Latn,0.0388,0.0127,0.0388
tos_Latn,0.0291,0.0038,0.0291
mca_Latn,0.0485,0.0091,0.0485
lid_Latn,0.0291,0.0062,0.0291
bex_Latn,0.0097,0.0026,0.0097
nng_Latn,0.0388,0.0044,0.0388
