code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
mox_Latn,0.0291,0.0071,0.0291
jiv_Latn,0.0194,0.0035,0.0194
bzh_Latn,0.0194,0.0074,0.0194
zho_Hani,0.7476,0.474,0.7476
kpz_Latn,0.0291,0.0059,0.0291
tum_Latn,0.0583,0.0256,0.0583
vag_Latn,0.0194,0.005,0.0194
bjv_Latn,0.0194,0.0015,0.0194
box_Latn,0.0194,0.0038,0.0194
ndg_Latn,0.0583,0.0212,0.0583
ngp_Latn,0.068,0.0191,0.068
mzh_Latn,0.0388,0.0115,0.0388
krc_Cyrl,0.2233,0.0577,0.2233
cuc_Latn,0.0194,0.0053,0.0194
aai_Latn,0.0388,0.0141,0.0388
aey_Latn,0.0291,0.0038,0.0291
qvi_Latn,0.0291,0.0059,0.0291
sat_Latn,0.0194,0.0035,0.0194
mnf_Latn,0.0097,0.0038,0.0097
kbm_Latn,0.0194,0.0129,0.0194
dgc_Latn,0.068,0.0247,0.068
ify_Latn,0.0291,0.0156,0.0291
poe_Latn,0.0291,0.0068,0.0291
enq_Latn,0.0,0.0,0.0
bmq_Latn,0.0388,0.0085,0.0388
ktj_Latn,0.0097,0.0006,0.0097
ycn_Latn,0.0194,0.0109,0.0194
lam_Latn,0.0291,0.0041,0.0291
tac_Latn,0.0097,0.0024,0.0097
snf_Latn,0.0388,0.0079,0.0388
for_Latn,0.0097,0.0021,0.0097
mbc_Latn,0.0291,0.0068,0.0291
btd_Latn,0.0485,0.0203,0.0485
kjh_Cyrl,0.0583,0.0127,0.0583
mqj_Latn,0.0388,0.0171,0.0388
gui_Latn,0.0485,0.0185,0.0485
xsi_Latn,0.0388,0.0062,0.0388
rus_Cyrl,0.9126,0.702,0.9126
chf_Latn,0.0194,0.0068,0.0194
bbc_Latn,0.0583,0.0203,0.0583
bqj_Latn,0.0388,0.0115,0.0388
hui_Latn,0.0194,0.01,0.0194
jac_Latn,0.0291,0.0079,0.0291
kin_Latn,0.1165,0.0285,0.1165
amm_Latn,0.0097,0.0012,0.0097
ton_Latn,0.0388,0.0076,0.0388
mee_Latn,0.0291,0.0065,0.0291
dow_Latn,0.0194,0.0056,0.0194
rub_Latn,0.0194,0.0032,0.0194
pah_Latn,0.0291,0.0047,0.0291
msb_Latn,0.2136,0.0703,0.2136
soy_Latn,0.0097,0.0003,0.0097
esu_Latn,0.0291,0.0109,0.0291
tuk_Arab,0.0485,0.0135,0.0485
cub_Latn,0.0194,0.0056,0.0194
kek_Latn,0.0194,0.0062,0.0194
mjw_Latn,0.0291,0.0124,0.0291
tgk_Cyrl,0.3592,0.1021,0.3592
ava_Cyrl,0.0291,0.0082,0.0291
cce_Latn,0.068,0.0224,0.068
ter_Latn,0.0194,0.0041,0.0194
zyp_Latn,0.0291,0.0085,0.0291
hne_Deva,0.2136,0.0603,0.2136
log_Latn,0.0291,0.0038,0.0291
toi_Latn,0.0583,0.015,0.0583
kor_Hang,0.7379,0.4063,0.7379
gaa_Latn,0.0291,0.0106,0.0291
bpr_Latn,0.0388,0.0074,0.0388
sig_Latn,0.0194,0.0024,0.0194
nhd_Latn,0.0777,0.0232,0.0777
dop_Latn,0.0194,0.0021,0.0194
mse_Latn,0.0485,0.0156,0.0485
kan_Knda,0.2427,0.0662,0.2427
prf_Latn,0.0583,0.0309,0.0583
yaa_Latn,0.0291,0.0076,0.0291
abx_Latn,0.0485,0.0165,0.0485
mig_Latn,0.0291,0.0082,0.0291
ibo_Latn,0.233,0.0718,0.233
myy_Latn,0.0291,0.0103,0.0291
hns_Latn,0.0874,0.0227,0.0874
tuk_Latn,0.2233,0.0647,0.2233
big_Latn,0.0291,0.0015,0.0291
dur_Latn,0.0194,0.0071,0.0194
sbd_Latn,0.0291,0.005,0.0291
quy_Latn,0.0485,0.0147,0.0485
mna_Latn,0.0388,0.0085,0.0388
sas_Latn,0.068,0.0194,0.068
qvn_Latn,0.0485,0.0165,0.0485
plu_Latn,0.0194,0.0047,0.0194
kqc_Latn,0.0388,0.0144,0.0388
apn_Latn,0.0,0.0,0.0
isn_Latn,0.0388,0.0156,0.0388
laj_Latn,0.0485,0.0106,0.0485
vun_Latn,0.0291,0.0085,0.0291
rmo_Latn,0.0194,0.0071,0.0194
mhx_Latn,0.0194,0.0047,0.0194
lzh_Hani,0.5146,0.2633,0.5146
mbd_Latn,0.0291,0.0085,0.0291
mas_Latn,0.0388,0.0132,0.0388
sna_Latn,0.1359,0.03,0.1359
kno_Latn,0.0097,0.0003,0.0097
nob_Latn,0.8155,0.531,0.8155
urt_Latn,0.0291,0.0097,0.0291
gun_Latn,0.0485,0.0182,0.0485
cmo_Latn,0.0194,0.0026,0.0194
cha_Latn,0.0583,0.0238,0.0583
fil_Latn,0.6214,0.266,0.6214
hun_Latn,0.8447,0.474,0.8447
gdn_Latn,0.0097,0.0012,0.0097
ixl_Latn,0.0291,0.0097,0.0291
cof_Latn,0.0485,0.0177,0.0485
mps_Latn,0.0194,0.0032,0.0194
nhe_Latn,0.0485,0.0124,0.0485
way_Latn,0.0097,0.0009,0.0097
ium_Thai,0.0194,0.0021,0.0194
toh_Latn,0.0388,0.0132,0.0388
cya_Latn,0.0291,0.0094,0.0291
amk_Latn,0.0291,0.0088,0.0291
bps_Latn,0.0291,0.0068,0.0291
agw_Latn,0.0388,0.01,0.0388
tat_Cyrl,0.2913,0.0959,0.2913
mlh_Latn,0.0194,0.0038,0.0194
byx_Latn,0.0194,0.0053,0.0194
nan_Latn,0.0874,0.0215,0.0874
awi_Latn,0.0097,0.0006,0.0097
