code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
mbs_Latn,0.0971,0.0142,0.0971
izr_Latn,0.0583,0.0149,0.0583
gag_Cyrl,0.3689,0.0836,0.3689
kha_Latn,0.0485,0.0127,0.0485
hvn_Latn,0.0583,0.0142,0.0583
tna_Latn,0.0485,0.0112,0.0485
zaj_Latn,0.3786,0.0695,0.3786
mwc_Latn,0.0971,0.0194,0.0971
ttc_Latn,0.0291,0.003,0.0291
srm_Latn,0.0583,0.0105,0.0583
ojb_Latn,0.0485,0.0045,0.0485
urd_Arab,0.9612,0.2562,0.9612
crt_Latn,0.0485,0.0075,0.0485
nsn_Latn,0.068,0.0127,0.068
npy_Latn,0.0874,0.0232,0.0874
sbs_Latn,0.3204,0.0612,0.3204
mxq_Latn,0.0291,0.0037,0.0291
wob_Latn,0.0388,0.0037,0.0388
eko_Latn,0.1845,0.0344,0.1845
apy_Latn,0.0097,0.0015,0.0097
hmr_Latn,0.5049,0.0724,0.5049
lus_Latn,0.8544,0.1598,0.8544
kpj_Latn,0.0194,0.003,0.0194
lem_Latn,0.0194,0.0022,0.0194
tcz_Latn,0.068,0.0232,0.068
shn_Mymr,0.3981,0.0358,0.3981
kaz_Cyrl,0.9515,0.3234,0.9515
miq_Latn,0.0388,0.0127,0.0388
kez_Latn,0.0874,0.0097,0.0874
arp_Latn,0.0583,0.009,0.0583
ian_Latn,0.0291,0.0045,0.0291
kud_Latn,0.0388,0.0134,0.0388
tzo_Latn,0.0291,0.0022,0.0291
ake_Latn,0.0097,0.0015,0.0097
tif_Latn,0.0194,0.0015,0.0194
tlh_Latn,0.6311,0.1031,0.6311
gaw_Latn,0.0388,0.0067,0.0388
loq_Latn,0.1359,0.0194,0.1359
bss_Latn,0.0485,0.0082,0.0485
met_Latn,0.0485,0.0142,0.0485
nhr_Latn,0.0777,0.0075,0.0777
njz_Latn,0.0194,0.0045,0.0194
nim_Latn,0.2621,0.0388,0.2621
bbr_Latn,0.0388,0.0082,0.0388
nys_Latn,0.0388,0.0127,0.0388
snw_Latn,0.0583,0.0149,0.0583
ajz_Latn,0.068,0.006,0.068
aim_Latn,0.1748,0.0314,0.1748
gux_Latn,0.0583,0.0142,0.0583
nlc_Latn,0.0485,0.006,0.0485
not_Latn,0.0485,0.0045,0.0485
urb_Latn,0.0097,0.0007,0.0097
aso_Latn,0.0194,0.0015,0.0194
mxp_Latn,0.0485,0.0052,0.0485
lbk_Latn,0.165,0.0344,0.165
rmy_Latn,0.0777,0.0209,0.0777
kde_Latn,0.2816,0.053,0.2816
tar_Latn,0.0097,0.0007,0.0097
nso_Latn,0.9417,0.2173,0.9417
ivv_Latn,0.1456,0.0254,0.1456
cbk_Latn,0.767,0.183,0.767
dgr_Latn,0.068,0.0075,0.068
npi_Deva,0.9417,0.3331,0.9417
twu_Latn,0.0388,0.0127,0.0388
pan_Guru,0.9806,0.3794,0.9806
byr_Latn,0.0194,0.0022,0.0194
adj_Latn,0.0583,0.006,0.0583
spy_Latn,0.0097,0.0015,0.0097
hmo_Latn,0.068,0.0082,0.068
att_Latn,0.0485,0.0142,0.0485
pma_Latn,0.0485,0.006,0.0485
kvn_Latn,0.0388,0.0037,0.0388
ndj_Latn,0.2816,0.0538,0.2816
mil_Latn,0.0291,0.0045,0.0291
mcp_Latn,0.0485,0.0082,0.0485
otm_Latn,0.0291,0.0045,0.0291
qxh_Latn,0.3204,0.0456,0.3204
pad_Latn,0.0097,0.0007,0.0097
run_Latn,0.9612,0.2382,0.9612
nma_Latn,0.0291,0.0075,0.0291
efi_Latn,0.1165,0.0232,0.1165
nho_Latn,0.1748,0.0299,0.1748
bsn_Latn,0.0291,0.0052,0.0291
anv_Latn,0.0485,0.0067,0.0485
lol_Latn,0.1262,0.0373,0.1262
tob_Latn,0.0388,0.006,0.0388
sil_Latn,0.0388,0.0037,0.0388
kkj_Latn,0.0583,0.0112,0.0583
aoi_Latn,0.0097,0.0007,0.0097
nyn_Latn,0.7864,0.1494,0.7864
guk_Ethi,0.0194,0.0037,0.0194
zav_Latn,0.0291,0.0037,0.0291
mai_Deva,0.9709,0.2345,0.9709
bth_Latn,0.1748,0.0366,0.1748
kms_Latn,0.0583,0.0052,0.0583
gog_Latn,0.5049,0.0866,0.5049
ape_Latn,0.068,0.0142,0.068
bnj_Latn,0.0097,0.0037,0.0097
poi_Latn,0.0777,0.0157,0.0777
caa_Latn,0.1165,0.0172,0.1165
bkd_Latn,0.165,0.0321,0.165
srq_Latn,0.0583,0.0075,0.0583
ifu_Latn,0.0583,0.0164,0.0583
ncl_Latn,0.0291,0.0045,0.0291
cbv_Latn,0.0291,0.003,0.0291
qve_Latn,0.6602,0.0881,0.6602
aeu_Latn,0.0,0.0,0.0
seh_Latn,0.6699,0.1389,0.6699
nwb_Latn,0.0097,0.0015,0.0097
ntu_Latn,0.0194,0.003,0.0194
sah_Cyrl,0.1068,0.0149,0.1068
zlm_Latn,0.9806,0.3622,0.9806
wmw_Latn,0.4757,0.1143,0.4757
arl_Latn,0.0388,0.006,0.0388
awb_Latn,0.0,0.0,0.0
luo_Latn,0.7282,0.1583,0.7282
ojb_Cans,0.0874,0.0119,0.0874
bim_Latn,0.0583,0.0172,0.0583
bzd_Latn,0.0388,0.0112,0.0388
cpa_Latn,0.0291,0.003,0.0291
tel_Telu,0.9515,0.3264,0.9515
far_Latn,0.0583,0.0119,0.0583
toc_Latn,0.0777,0.009,0.0777
lom_Latn,0.0388,0.0045,0.0388
sim_Latn,0.0485,0.0075,0.0485
zpv_Latn,0.0291,0.003,0.0291
ptu_Latn,0.0971,0.0119,0.0971
war_Latn,0.8835,0.2106,0.8835
mva_Latn,0.0291,0.0097,0.0291
nnw_Latn,0.0097,0.0007,0.0097
hak_Latn,0.0097,0.0007,0.0097
usa_Latn,0.0097,0.0007,0.0097
mpx_Latn,0.0388,0.0105,0.0388
upv_Latn,0.0291,0.0045,0.0291
lit_Latn,0.9709,0.3742,0.9709
epo_Latn,1.0,0.4757,1.0
mcq_Latn,0.0291,0.0022,0.0291
sot_Latn,0.9223,0.2577,0.9223
gde_Latn,0.0485,0.006,0.0485
kmr_Latn,0.9126,0.2778,0.9126
kne_Latn,0.2136,0.0373,0.2136
kir_Cyrl,0.9709,0.304,0.9709
mdy_Ethi,0.0,0.0,0.0
gvs_Latn,0.0388,0.006,0.0388
ayo_Latn,0.0291,0.0037,0.0291
cme_Latn,0.068,0.0164,0.068
pcm_Latn,0.6117,0.1285,0.6117
gud_Latn,0.0485,0.006,0.0485
chk_Latn,0.0485,0.0127,0.0485
niq_Latn,0.1165,0.0269,0.1165
mti_Latn,0.1068,0.0157,0.1068
zaw_Latn,0.0485,0.0134,0.0485
nyo_Latn,0.7379,0.1718,0.7379
mnk_Latn,0.1165,0.0172,0.1165
srp_Latn,1.0,0.4563,1.0
poh_Latn,0.0291,0.0097,0.0291
gya_Latn,0.0874,0.0164,0.0874
twi_Latn,0.9417,0.2024,0.9417
isd_Latn,0.0971,0.0172,0.0971
pes_Arab,0.9417,0.3839,0.9417
hin_Deva,0.9806,0.4347,0.9806
gof_Latn,0.0583,0.0097,0.0583
ctp_Latn,0.0194,0.0045,0.0194
tby_Latn,0.0388,0.0075,0.0388
uvl_Latn,0.0485,0.009,0.0485
uig_Arab,0.9612,0.2524,0.9612
zpu_Latn,0.068,0.0142,0.068
gah_Latn,0.0097,0.0022,0.0097
hra_Latn,0.233,0.0396,0.233
mcr_Latn,0.0194,0.003,0.0194
tiy_Latn,0.0388,0.0142,0.0388
cly_Latn,0.0291,0.0052,0.0291
bak_Cyrl,0.9417,0.1912,0.9417
lif_Deva,0.0097,0.0015,0.0097
con_Latn,0.0388,0.006,0.0388
wnc_Latn,0.0388,0.0037,0.0388
min_Latn,0.6019,0.1023,0.6019
cul_Latn,0.0291,0.0022,0.0291
ron_Latn,0.9806,0.416,0.9806
adh_Latn,0.4078,0.0724,0.4078
cpb_Latn,0.0874,0.0179,0.0874
ita_Latn,0.9903,0.5497,0.9903
nbq_Latn,0.0388,0.0052,0.0388
naf_Latn,0.0583,0.0052,0.0583
ksb_Latn,0.3689,0.0717,0.3689
cbt_Latn,0.0097,0.0007,0.0097
cac_Latn,0.0291,0.0082,0.0291
kbc_Latn,0.0485,0.0067,0.0485
qup_Latn,0.4757,0.0642,0.4757
acn_Latn,0.0291,0.0045,0.0291
tbz_Latn,0.0097,0.0007,0.0097
lac_Latn,0.0291,0.003,0.0291
pir_Latn,0.0388,0.0037,0.0388
gug_Latn,0.7573,0.1255,0.7573
maz_Latn,0.0777,0.0105,0.0777
knf_Latn,0.0485,0.006,0.0485
jam_Latn,0.1359,0.0276,0.1359
zat_Latn,0.068,0.0105,0.068
mtj_Latn,0.0583,0.0127,0.0583
tyv_Cyrl,0.233,0.0448,0.233
pag_Latn,0.8058,0.1695,0.8058
msm_Latn,0.1553,0.0179,0.1553
gdg_Latn,0.1359,0.0239,0.1359
otn_Latn,0.0388,0.0052,0.0388
zpt_Latn,0.0777,0.0127,0.0777
kia_Latn,0.068,0.0142,0.068
yml_Latn,0.0291,0.0105,0.0291
gai_Latn,0.0194,0.0022,0.0194
mej_Latn,0.0874,0.0164,0.0874
inb_Latn,0.2816,0.0508,0.2816
wap_Latn,0.0583,0.0052,0.0583
tuc_Latn,0.0485,0.0112,0.0485
zia_Latn,0.0874,0.0097,0.0874
fry_Latn,0.5728,0.106,0.5728
ded_Latn,0.0583,0.0045,0.0583
ksc_Latn,0.068,0.0134,0.068
adi_Latn,0.0583,0.0127,0.0583
cpc_Latn,0.1068,0.0179,0.1068
mio_Latn,0.0388,0.0052,0.0388
iry_Latn,0.1748,0.0471,0.1748
roo_Latn,0.0388,0.0045,0.0388
tsz_Latn,0.0485,0.0149,0.0485
ces_Latn,0.9806,0.5123,0.9806
arn_Latn,0.0388,0.0082,0.0388
ndi_Latn,0.0583,0.006,0.0583
bov_Latn,0.1165,0.0172,0.1165
tpm_Latn,0.0485,0.0119,0.0485
old_Latn,0.1942,0.0306,0.1942
pis_Latn,0.1068,0.0217,0.1068
sgb_Latn,0.1553,0.0224,0.1553
cwe_Latn,0.466,0.0919,0.466
dwr_Latn,0.068,0.0075,0.068
sbl_Latn,0.1262,0.0157,0.1262
cbu_Latn,0.0194,0.0022,0.0194
emi_Latn,0.0388,0.009,0.0388
bhp_Latn,0.0971,0.0202,0.0971
cab_Latn,0.0777,0.0075,0.0777
sxn_Latn,0.0777,0.0149,0.0777
shp_Latn,0.0485,0.0097,0.0485
kki_Latn,0.4272,0.0732,0.4272
kng_Latn,0.5243,0.0978,0.5243
lhi_Latn,0.0,0.0,0.0
eve_Cyrl,0.1068,0.0172,0.1068
lif_Limb,0.0097,0.0007,0.0097
mbl_Latn,0.0097,0.0007,0.0097
azz_Latn,0.0388,0.0119,0.0388
aym_Latn,0.4466,0.0635,0.4466
ctu_Latn,0.0291,0.0037,0.0291
ach_Latn,0.5728,0.1135,0.5728
kgk_Latn,0.0777,0.0097,0.0777
sbk_Latn,0.2621,0.0523,0.2621
giz_Latn,0.0971,0.0194,0.0971
qva_Latn,0.3786,0.062,0.3786
yua_Latn,0.0777,0.0164,0.0777
nch_Latn,0.0485,0.009,0.0485
hlt_Latn,0.0583,0.0134,0.0583
cbr_Latn,0.0291,0.0075,0.0291
zar_Latn,0.0485,0.006,0.0485
aom_Latn,0.0388,0.0045,0.0388
bru_Latn,0.0194,0.0022,0.0194
khy_Latn,0.068,0.0112,0.068
alz_Latn,0.2621,0.0508,0.2621
snn_Latn,0.0194,0.006,0.0194
cnw_Latn,0.1359,0.0254,0.1359
mqb_Latn,0.0291,0.0045,0.0291
gwi_Latn,0.0777,0.0127,0.0777
ikk_Latn,0.3204,0.0403,0.3204
bem_Latn,0.7864,0.1777,0.7864
dif_Latn,0.1165,0.0217,0.1165
ahk_Latn,0.0,0.0,0.0
bus_Latn,0.0874,0.0157,0.0874
bvd_Latn,0.0485,0.0075,0.0485
soq_Latn,0.0583,0.0142,0.0583
qxl_Latn,0.301,0.0471,0.301
pri_Latn,0.068,0.0075,0.068
hye_Armn,0.9806,0.407,0.9806
pwg_Latn,0.0971,0.0134,0.0971
tof_Latn,0.0777,0.0112,0.0777
bsj_Latn,0.0583,0.0097,0.0583
ptp_Latn,0.0485,0.0119,0.0485
ame_Latn,0.0291,0.0105,0.0291
khm_Khmr,0.9612,0.283,0.9612
ksd_Latn,0.0971,0.0299,0.0971
ign_Latn,0.0777,0.0075,0.0777
nri_Latn,0.1068,0.0194,0.1068
yan_Latn,0.068,0.0105,0.068
tcc_Latn,0.0485,0.0127,0.0485
lcm_Latn,0.0777,0.0179,0.0777
ntp_Latn,0.0291,0.0037,0.0291
yby_Latn,0.0388,0.0052,0.0388
mih_Latn,0.0777,0.0119,0.0777
mza_Latn,0.0485,0.0045,0.0485
sus_Latn,0.1068,0.0157,0.1068
kvj_Latn,0.0388,0.0052,0.0388
pol_Latn,1.0,0.4996,1.0
enx_Latn,0.068,0.0127,0.068
kum_Cyrl,0.466,0.0904,0.466
wib_Latn,0.0291,0.0052,0.0291
quw_Latn,0.4369,0.0717,0.4369
mmx_Latn,0.0388,0.0149,0.0388
hye_Latn,0.0194,0.0022,0.0194
trc_Latn,0.0388,0.0052,0.0388
mbj_Latn,0.0291,0.0037,0.0291
rad_Latn,0.0291,0.0052,0.0291
bqc_Latn,0.0291,0.009,0.0291
bbj_Latn,0.0874,0.0187,0.0874
njb_Latn,0.0583,0.0119,0.0583
zas_Latn,0.0388,0.0142,0.0388
obo_Latn,0.0388,0.0157,0.0388
mur_Latn,0.0388,0.0052,0.0388
ind_Latn,1.0,0.4511,1.0
ory_Orya,1.0,0.3846,1.0
mcu_Latn,0.0388,0.0127,0.0388
lip_Latn,0.0971,0.0164,0.0971
sop_Latn,0.466,0.0851,0.466
xav_Latn,0.0194,0.0022,0.0194
msk_Latn,0.1262,0.0224,0.1262
dig_Latn,0.6019,0.1262,0.6019
sur_Latn,0.0583,0.0134,0.0583
iba_Latn,0.4951,0.0948,0.4951
ndo_Latn,0.3204,0.0605,0.3204
yao_Latn,0.2427,0.0433,0.2427
kff_Telu,0.0777,0.0134,0.0777
uig_Latn,0.4563,0.0732,0.4563
cuk_Latn,0.0291,0.0097,0.0291
uli_Latn,0.1262,0.0179,0.1262
mop_Latn,0.0388,0.0119,0.0388
leu_Latn,0.068,0.0224,0.068
tue_Latn,0.0485,0.0075,0.0485
tku_Latn,0.0777,0.0097,0.0777
xsr_Deva,0.0291,0.0022,0.0291
mbi_Latn,0.0485,0.006,0.0485
guc_Latn,0.0291,0.0052,0.0291
mrw_Latn,0.1165,0.0134,0.1165
ilo_Latn,0.7573,0.1613,0.7573
shu_Latn,0.0291,0.0045,0.0291
xed_Latn,0.0291,0.0082,0.0291
nst_Latn,0.0194,0.0015,0.0194
ldi_Latn,0.1748,0.0411,0.1748
crn_Latn,0.0485,0.0045,0.0485
dww_Latn,0.068,0.0097,0.068
qvc_Latn,0.3981,0.05,0.3981
tgp_Latn,0.1068,0.0306,0.1068
ncj_Latn,0.0874,0.0164,0.0874
dgi_Latn,0.0874,0.0119,0.0874
cag_Latn,0.0388,0.009,0.0388
stn_Latn,0.0777,0.0105,0.0777
hix_Latn,0.0,0.0,0.0
glv_Latn,0.0583,0.0187,0.0583
ntr_Latn,0.0583,0.0075,0.0583
tca_Latn,0.0291,0.0022,0.0291
kaa_Cyrl,0.9417,0.2629,0.9417
yal_Latn,0.068,0.0105,0.068
yre_Latn,0.0291,0.0037,0.0291
tuf_Latn,0.0194,0.003,0.0194
cco_Latn,0.0194,0.0015,0.0194
nbu_Latn,0.0388,0.0052,0.0388
ksf_Latn,0.0291,0.0037,0.0291
adl_Latn,0.0583,0.0075,0.0583
gkp_Latn,0.0388,0.0067,0.0388
mos_Latn,0.5437,0.0971,0.5437
zpq_Latn,0.0485,0.0052,0.0485
cym_Latn,0.9417,0.3211,0.9417
grt_Beng,0.0291,0.003,0.0291
kjs_Latn,0.0388,0.009,0.0388
uvh_Latn,0.0388,0.0052,0.0388
gqr_Latn,0.0583,0.006,0.0583
nhi_Latn,0.0583,0.0119,0.0583
nnp_Latn,0.068,0.0127,0.068
pab_Latn,0.0485,0.0119,0.0485
beo_Latn,0.0,0.0,0.0
qxn_Latn,0.4175,0.0523,0.4175
prk_Latn,0.0388,0.0045,0.0388
sld_Latn,0.0485,0.006,0.0485
aly_Latn,0.068,0.0067,0.068
hub_Latn,0.0485,0.0097,0.0485
khz_Latn,0.0777,0.0149,0.0777
ewo_Latn,0.1165,0.0269,0.1165
aon_Latn,0.0485,0.006,0.0485
jra_Latn,0.0485,0.0082,0.0485
rro_Latn,0.0583,0.0127,0.0583
mto_Latn,0.0388,0.0045,0.0388
pfe_Latn,0.0777,0.0105,0.0777
pck_Latn,0.165,0.0291,0.165
gub_Latn,0.0097,0.0007,0.0097
xsb_Latn,0.2427,0.0433,0.2427
cnt_Latn,0.0388,0.006,0.0388
mbh_Latn,0.0388,0.0082,0.0388
lhm_Latn,0.0097,0.0007,0.0097
gfk_Latn,0.0388,0.0105,0.0388
rmc_Latn,0.068,0.0149,0.068
apb_Latn,0.0485,0.0097,0.0485
san_Deva,0.699,0.1344,0.699
kqo_Latn,0.0,0.0,0.0
caf_Latn,0.0777,0.0082,0.0777
pon_Latn,0.0291,0.009,0.0291
kaq_Latn,0.0291,0.0075,0.0291
nsu_Latn,0.0874,0.0187,0.0874
gjn_Latn,0.0485,0.0097,0.0485
aer_Latn,0.0485,0.0045,0.0485
mor_Latn,0.0097,0.0015,0.0097
iws_Latn,0.0291,0.0037,0.0291
lew_Latn,0.1262,0.0284,0.1262
mle_Latn,0.0291,0.0067,0.0291
pmf_Latn,0.068,0.0067,0.068
tpi_Latn,0.835,0.1643,0.835
abt_Latn,0.0291,0.0037,0.0291
cui_Latn,0.0097,0.003,0.0097
yam_Latn,0.0194,0.0015,0.0194
qxo_Latn,0.3204,0.0411,0.3204
amh_Ethi,1.0,0.3465,1.0
nmf_Latn,0.0971,0.0119,0.0971
djr_Latn,0.0,0.0,0.0
nnq_Latn,0.2524,0.0441,0.2524
cok_Latn,0.0583,0.0067,0.0583
szb_Latn,0.0388,0.0045,0.0388
bcw_Latn,0.0194,0.0022,0.0194
amf_Latn,0.0291,0.0112,0.0291
mfy_Latn,0.1068,0.0112,0.1068
tir_Ethi,0.9223,0.2226,0.9223
men_Latn,0.068,0.0112,0.068
gam_Latn,0.0583,0.006,0.0583
mwv_Latn,0.0874,0.0179,0.0874
njn_Latn,0.0583,0.0157,0.0583
niy_Latn,0.0,0.0,0.0
mta_Latn,0.068,0.0075,0.068
fin_Latn,0.9903,0.5444,0.9903
mgh_Latn,0.0874,0.0194,0.0874
yon_Latn,0.0388,0.0097,0.0388
kkc_Latn,0.0485,0.0082,0.0485
maq_Latn,0.0291,0.0045,0.0291
snc_Latn,0.0777,0.0127,0.0777
smt_Latn,0.2039,0.0329,0.2039
mbf_Latn,0.8641,0.2562,0.8641
gul_Latn,0.5146,0.1135,0.5146
tro_Latn,0.0777,0.0105,0.0777
kyu_Mymr,0.0,0.0,0.0
icr_Latn,0.2524,0.0441,0.2524
kto_Latn,0.0485,0.0119,0.0485
ace_Latn,0.699,0.1165,0.699
jmc_Latn,0.2913,0.0493,0.2913
kgf_Latn,0.0583,0.009,0.0583
isl_Latn,0.932,0.4137,0.932
ivb_Latn,0.1359,0.0194,0.1359
kbh_Latn,0.0874,0.0157,0.0874
npl_Latn,0.1165,0.0217,0.1165
plw_Latn,0.1068,0.0187,0.1068
lwo_Latn,0.0,0.0,0.0
snd_Arab,0.9515,0.3234,0.9515
lug_Latn,0.9709,0.2278,0.9709
tui_Latn,0.0388,0.0097,0.0388
spp_Latn,0.068,0.006,0.068
ssg_Latn,0.0583,0.0127,0.0583
tew_Latn,0.068,0.0105,0.068
ukr_Cyrl,1.0,0.4944,1.0
mie_Latn,0.0777,0.0127,0.0777
ken_Latn,0.068,0.0067,0.068
ndc_Latn,0.8738,0.2248,0.8738
kvg_Latn,0.0291,0.0067,0.0291
mzl_Latn,0.0583,0.0052,0.0583
kup_Latn,0.0291,0.0045,0.0291
uzb_Latn,0.9126,0.2816,0.9126
mpp_Latn,0.0777,0.0112,0.0777
dik_Latn,0.165,0.0358,0.165
nmh_Latn,0.0777,0.0097,0.0777
rug_Latn,0.0388,0.0037,0.0388
pam_Latn,0.3301,0.0754,0.3301
coe_Latn,0.0194,0.0022,0.0194
dyu_Latn,0.6505,0.1202,0.6505
kor_Latn,0.0194,0.0045,0.0194
slk_Latn,0.9903,0.4429,0.9903
oss_Cyrl,0.0485,0.009,0.0485
kik_Latn,0.8641,0.1576,0.8641
amh_Latn,0.0,0.0,0.0
pdc_Latn,0.1553,0.0336,0.1553
wbm_Latn,0.0291,0.0045,0.0291
gum_Latn,0.0194,0.003,0.0194
urw_Latn,0.0388,0.0037,0.0388
xsm_Latn,0.0583,0.0052,0.0583
noa_Latn,0.0388,0.0045,0.0388
rai_Latn,0.0874,0.0172,0.0874
nyf_Latn,0.3689,0.0709,0.3689
njo_Latn,0.0874,0.0105,0.0874
mww_Latn,0.0097,0.0022,0.0097
viv_Latn,0.0485,0.0105,0.0485
auc_Latn,0.0,0.0,0.0
avt_Latn,0.0583,0.0127,0.0583
mnb_Latn,0.1068,0.0232,0.1068
qvm_Latn,0.2039,0.0299,0.2039
quz_Latn,0.8447,0.127,0.8447
xla_Latn,0.0194,0.0052,0.0194
acd_Latn,0.0485,0.006,0.0485
lai_Latn,0.466,0.0836,0.466
mkl_Latn,0.0388,0.0052,0.0388
trn_Latn,0.0388,0.0045,0.0388
bmu_Latn,0.0485,0.0045,0.0485
ong_Latn,0.0388,0.0097,0.0388
zos_Latn,0.1359,0.0142,0.1359
are_Latn,0.068,0.0202,0.068
ngu_Latn,0.0777,0.0149,0.0777
mzm_Latn,0.0194,0.0022,0.0194
nre_Latn,0.0777,0.0082,0.0777
lex_Latn,0.0777,0.0134,0.0777
agu_Latn,0.0388,0.0052,0.0388
awk_Latn,0.0583,0.0097,0.0583
nhg_Latn,0.1068,0.0179,0.1068
czt_Latn,0.1068,0.0164,0.1068
arb_Arab,0.7961,0.1486,0.7961
toj_Latn,0.0583,0.0112,0.0583
akp_Latn,0.0777,0.0149,0.0777
ote_Latn,0.0388,0.0052,0.0388
ruf_Latn,0.3495,0.0605,0.3495
quy_Latn,0.7184,0.118,0.7184
sbd_Latn,0.0777,0.0119,0.0777
qvn_Latn,0.301,0.0463,0.301
sas_Latn,0.2136,0.0433,0.2136
mna_Latn,0.0291,0.006,0.0291
plu_Latn,0.0194,0.0037,0.0194
kqc_Latn,0.0874,0.0164,0.0874
apn_Latn,0.0097,0.0007,0.0097
isn_Latn,0.2621,0.0575,0.2621
laj_Latn,0.3883,0.0807,0.3883
rmo_Latn,0.068,0.0149,0.068
vun_Latn,0.1845,0.0246,0.1845
mhx_Latn,0.0388,0.0045,0.0388
lzh_Hani,0.8835,0.1262,0.8835
mbd_Latn,0.0485,0.006,0.0485
sna_Latn,0.9709,0.2845,0.9709
mas_Latn,0.1068,0.0202,0.1068
kno_Latn,0.0097,0.0007,0.0097
nob_Latn,1.0,0.6184,1.0
urt_Latn,0.0583,0.0075,0.0583
cmo_Latn,0.0194,0.0052,0.0194
gun_Latn,0.1359,0.0217,0.1359
cha_Latn,0.1165,0.0232,0.1165
fil_Latn,0.9417,0.3196,0.9417
hun_Latn,0.9806,0.4309,0.9806
kor_Hang,0.9417,0.3532,0.9417
gaa_Latn,0.1262,0.0269,0.1262
log_Latn,0.0194,0.0015,0.0194
toi_Latn,0.5922,0.1352,0.5922
bpr_Latn,0.0291,0.009,0.0291
sig_Latn,0.0291,0.0037,0.0291
nhd_Latn,0.767,0.1277,0.767
dop_Latn,0.1262,0.0172,0.1262
mse_Latn,0.0485,0.0149,0.0485
kan_Knda,0.9806,0.2935,0.9806
prf_Latn,0.1748,0.0411,0.1748
yaa_Latn,0.0388,0.0067,0.0388
abx_Latn,0.3301,0.0523,0.3301
mig_Latn,0.0874,0.0105,0.0874
ibo_Latn,0.9515,0.1904,0.9515
myy_Latn,0.0194,0.009,0.0194
hns_Latn,0.0097,0.006,0.0097
tuk_Latn,0.534,0.0941,0.534
big_Latn,0.0194,0.0022,0.0194
dur_Latn,0.068,0.0067,0.068
gom_Latn,0.0485,0.0082,0.0485
dru_Latn,0.0388,0.0127,0.0388
mhy_Latn,0.2427,0.0515,0.2427
rmn_Latn,0.068,0.0217,0.068
acf_Latn,0.466,0.0739,0.466
mal_Mlym,0.9612,0.3279,0.9612
fuv_Latn,0.7184,0.1434,0.7184
cak_Latn,0.0291,0.003,0.0291
plt_Latn,0.8835,0.2353,0.8835
ktb_Ethi,0.0194,0.0045,0.0194
npo_Latn,0.068,0.0075,0.068
qvo_Latn,0.4175,0.0635,0.4175
bul_Cyrl,1.0,0.5952,1.0
yom_Latn,0.233,0.0523,0.233
jae_Latn,0.0485,0.0082,0.0485
pua_Latn,0.0485,0.0149,0.0485
etu_Latn,0.0388,0.009,0.0388
njm_Latn,0.068,0.0097,0.068
bar_Latn,0.4272,0.0739,0.4272
guo_Latn,0.0485,0.006,0.0485
hch_Latn,0.0097,0.003,0.0097
urd_Deva,0.9223,0.3167,0.9223
wuv_Latn,0.1359,0.0284,0.1359
ppo_Latn,0.0388,0.006,0.0388
bwu_Latn,0.0583,0.0112,0.0583
gdn_Latn,0.0194,0.0022,0.0194
ixl_Latn,0.0194,0.0052,0.0194
cof_Latn,0.0388,0.0067,0.0388
mps_Latn,0.0485,0.0075,0.0485
nhe_Latn,0.0388,0.0075,0.0388
ium_Thai,0.0,0.0,0.0
way_Latn,0.0097,0.003,0.0097
cya_Latn,0.0291,0.0052,0.0291
toh_Latn,0.2621,0.0418,0.2621
amk_Latn,0.068,0.0134,0.068
bps_Latn,0.0194,0.0127,0.0194
tat_Cyrl,0.9223,0.2136,0.9223
agw_Latn,0.068,0.0142,0.068
mlh_Latn,0.0583,0.0097,0.0583
byx_Latn,0.0194,0.0045,0.0194
nan_Latn,0.0097,0.0022,0.0097
awi_Latn,0.0291,0.0067,0.0291
ssd_Latn,0.068,0.009,0.068
ksj_Latn,0.0777,0.0134,0.0777
sps_Latn,0.0388,0.0075,0.0388
nwx_Deva,0.1456,0.0194,0.1456
cfm_Latn,0.3592,0.0568,0.3592
kus_Latn,0.1165,0.0284,0.1165
blh_Latn,0.0291,0.003,0.0291
myx_Latn,0.3592,0.0612,0.3592
nwi_Latn,0.0291,0.0037,0.0291
mif_Latn,0.0583,0.0067,0.0583
est_Latn,0.9709,0.3831,0.9709
mpt_Latn,0.0194,0.0015,0.0194
hag_Latn,0.0583,0.0105,0.0583
chv_Cyrl,0.0583,0.0097,0.0583
cjo_Latn,0.0,0.0,0.0
aze_Cyrl,0.5243,0.0769,0.5243
kyq_Latn,0.0485,0.0067,0.0485
dov_Latn,0.5728,0.109,0.5728
kzf_Latn,0.1456,0.0276,0.1456
xtn_Latn,0.0777,0.0157,0.0777
wbi_Latn,0.301,0.0463,0.301
zpz_Latn,0.0388,0.0067,0.0388
zsm_Latn,0.8641,0.1494,0.8641
bsc_Latn,0.0583,0.0082,0.0583
too_Latn,0.0485,0.0045,0.0485
gag_Latn,0.8641,0.2435,0.8641
mox_Latn,0.0388,0.009,0.0388
jiv_Latn,0.0291,0.003,0.0291
bzh_Latn,0.0485,0.0075,0.0485
zho_Hani,0.9612,0.1964,0.9612
kpz_Latn,0.0485,0.0105,0.0485
tum_Latn,0.8641,0.2039,0.8641
vag_Latn,0.0291,0.0112,0.0291
bjv_Latn,0.0291,0.0037,0.0291
box_Latn,0.0485,0.0067,0.0485
