code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
wbp_Latn,0.0,0.0,0.0
cjv_Latn,0.0194,0.0045,0.0194
amu_Latn,0.0777,0.0097,0.0777
gbi_Latn,0.0485,0.0119,0.0485
zpc_Latn,0.0583,0.0134,0.0583
nij_Latn,0.2718,0.0463,0.2718
vid_Latn,0.3689,0.0545,0.3689
wca_Latn,0.0097,0.0007,0.0097
mwe_Latn,0.0874,0.0209,0.0874
shi_Latn,0.1553,0.0202,0.1553
ald_Latn,0.0388,0.0052,0.0388
snp_Latn,0.0291,0.0037,0.0291
nld_Latn,1.0,0.5975,1.0
fuf_Latn,0.4078,0.0642,0.4078
tuk_Cyrl,0.6019,0.1456,0.6019
swe_Latn,0.9903,0.4638,0.9903
bnp_Latn,0.068,0.0202,0.068
mhi_Latn,0.068,0.0187,0.068
quh_Latn,0.767,0.127,0.767
gid_Latn,0.0485,0.0119,0.0485
tgl_Latn,0.9903,0.4003,0.9903
sab_Latn,0.0194,0.0067,0.0194
kal_Latn,0.0777,0.0112,0.0777
oym_Latn,0.0388,0.006,0.0388
eng_Latn,1.0,1.0,1.0
emp_Latn,0.0194,0.003,0.0194
tte_Latn,0.0485,0.0052,0.0485
vap_Latn,0.2136,0.0329,0.2136
biv_Latn,0.068,0.0142,0.068
agg_Latn,0.0485,0.0045,0.0485
ted_Latn,0.0388,0.003,0.0388
fai_Latn,0.0097,0.0007,0.0097
ses_Latn,0.0874,0.0142,0.0874
gnb_Latn,0.2913,0.0418,0.2913
yap_Latn,0.0777,0.0105,0.0777
cut_Latn,0.0485,0.0082,0.0485
iqw_Latn,0.1068,0.0187,0.1068
tpt_Latn,0.0583,0.0082,0.0583
lsm_Latn,0.3981,0.0568,0.3981
ndp_Latn,0.0583,0.0127,0.0583
pkb_Latn,0.4272,0.0807,0.4272
nnl_Latn,0.0777,0.0134,0.0777
bfd_Latn,0.0583,0.0075,0.0583
pbi_Latn,0.0291,0.0097,0.0291
tzh_Latn,0.1068,0.0179,0.1068
klv_Latn,0.0583,0.009,0.0583
bum_Latn,0.0583,0.0179,0.0583
qxr_Latn,0.534,0.0732,0.534
akb_Latn,0.2039,0.0351,0.2039
sja_Latn,0.0485,0.009,0.0485
kix_Latn,0.0583,0.0142,0.0583
zpm_Latn,0.0194,0.0022,0.0194
nhu_Latn,0.0388,0.0045,0.0388
kyf_Latn,0.068,0.009,0.068
