code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
izr_Latn,0.0291,0.0053,0.0291
gag_Cyrl,0.0485,0.0138,0.0485
mad_Latn,0.0291,0.0141,0.0291
nou_Latn,0.0291,0.0079,0.0291
gvn_Latn,0.0291,0.0065,0.0291
ayr_Latn,0.0291,0.0118,0.0291
aze_Latn,0.165,0.0494,0.165
apy_Latn,0.0,0.0,0.0
mxq_Latn,0.0097,0.0038,0.0097
wob_Latn,0.0097,0.0006,0.0097
eko_Latn,0.0194,0.0044,0.0194
npy_Latn,0.0194,0.0103,0.0194
sbs_Latn,0.0194,0.0115,0.0194
urd_Arab,0.233,0.0403,0.233
crt_Latn,0.0291,0.0129,0.0291
nsn_Latn,0.0097,0.0038,0.0097
srm_Latn,0.0291,0.0082,0.0291
ojb_Latn,0.0097,0.0015,0.0097
ttc_Latn,0.0194,0.0062,0.0194
tvk_Latn,0.0097,0.0009,0.0097
tab_Cyrl,0.0097,0.0024,0.0097
due_Latn,0.0291,0.0059,0.0291
fao_Latn,0.233,0.0874,0.233
csk_Latn,0.0097,0.0012,0.0097
gnd_Latn,0.0194,0.0059,0.0194
suz_Deva,0.0194,0.0015,0.0194
kue_Latn,0.0097,0.0026,0.0097
suk_Latn,0.0291,0.0074,0.0291
ons_Latn,0.0291,0.0059,0.0291
buk_Latn,0.0194,0.0032,0.0194
otq_Latn,0.0194,0.0012,0.0194
ese_Latn,0.0097,0.0024,0.0097
kog_Latn,0.0097,0.0003,0.0097
meu_Latn,0.0388,0.0129,0.0388
bcl_Latn,0.1359,0.0359,0.1359
fra_Latn,0.9029,0.6234,0.9029
tee_Latn,0.0097,0.0035,0.0097
yaq_Latn,0.0097,0.0018,0.0097
bon_Latn,0.0194,0.0035,0.0194
cek_Latn,0.0194,0.0085,0.0194
kub_Latn,0.0097,0.0021,0.0097
nmz_Latn,0.0194,0.0088,0.0194
alt_Cyrl,0.0194,0.0047,0.0194
mck_Latn,0.0097,0.0006,0.0097
lin_Latn,0.0291,0.0112,0.0291
mfe_Latn,0.0291,0.0071,0.0291
zpl_Latn,0.0194,0.0071,0.0194
anm_Latn,0.0291,0.0091,0.0291
kyg_Latn,0.0097,0.0003,0.0097
zam_Latn,0.0194,0.0044,0.0194
vie_Latn,0.3592,0.1265,0.3592
chq_Latn,0.0194,0.0056,0.0194
nyu_Latn,0.0097,0.0041,0.0097
bts_Latn,0.0291,0.0156,0.0291
mbt_Latn,0.0291,0.0094,0.0291
azb_Latn,0.1748,0.0585,0.1748
bgz_Latn,0.0194,0.0079,0.0194
mar_Deva,0.1068,0.0115,0.1068
urd_Latn,0.2427,0.0506,0.2427
cnh_Latn,0.0194,0.0085,0.0194
kwj_Latn,0.0097,0.0026,0.0097
mxv_Latn,0.0194,0.0053,0.0194
cgc_Latn,0.0291,0.0097,0.0291
sgz_Latn,0.0291,0.0079,0.0291
tbc_Latn,0.0194,0.0068,0.0194
kdc_Latn,0.0291,0.0094,0.0291
crs_Latn,0.0777,0.0218,0.0777
kru_Deva,0.0194,0.0041,0.0194
kqs_Latn,0.0291,0.0062,0.0291
por_Latn,0.7961,0.4904,0.7961
lsm_Latn,0.0194,0.0068,0.0194
pkb_Latn,0.0291,0.0076,0.0291
ndp_Latn,0.0097,0.0079,0.0097
tpt_Latn,0.0194,0.0053,0.0194
cut_Latn,0.0097,0.005,0.0097
iqw_Latn,0.0194,0.0038,0.0194
ses_Latn,0.0291,0.0097,0.0291
yap_Latn,0.0291,0.0085,0.0291
gnb_Latn,0.0291,0.0091,0.0291
ted_Latn,0.0097,0.0006,0.0097
fai_Latn,0.0097,0.0026,0.0097
agg_Latn,0.0,0.0,0.0
biv_Latn,0.0194,0.0041,0.0194
vap_Latn,0.0291,0.0071,0.0291
kyf_Latn,0.0097,0.0012,0.0097
nhu_Latn,0.0097,0.0015,0.0097
kix_Latn,0.0097,0.0029,0.0097
zpm_Latn,0.0291,0.0038,0.0291
sja_Latn,0.0291,0.0062,0.0291
qxr_Latn,0.0194,0.0074,0.0194
akb_Latn,0.0291,0.0088,0.0291
bum_Latn,0.0194,0.0106,0.0194
klv_Latn,0.0194,0.0032,0.0194
bfd_Latn,0.0194,0.0065,0.0194
pbi_Latn,0.0097,0.0065,0.0097
tzh_Latn,0.0388,0.0127,0.0388
nnl_Latn,0.0291,0.0071,0.0291
nld_Latn,0.9029,0.509,0.9029
snp_Latn,0.0,0.0,0.0
shi_Latn,0.0194,0.0082,0.0194
ald_Latn,0.0194,0.005,0.0194
mwe_Latn,0.0097,0.0038,0.0097
nij_Latn,0.0388,0.0115,0.0388
vid_Latn,0.0291,0.0062,0.0291
wca_Latn,0.0097,0.0006,0.0097
emp_Latn,0.0194,0.0071,0.0194
tte_Latn,0.0097,0.0012,0.0097
eng_Latn,1.0,1.0,1.0
sab_Latn,0.0194,0.0062,0.0194
kal_Latn,0.0194,0.0062,0.0194
oym_Latn,0.0097,0.0003,0.0097
quh_Latn,0.0291,0.0127,0.0291
gid_Latn,0.0194,0.0044,0.0194
tgl_Latn,0.3398,0.1036,0.3398
mhi_Latn,0.0291,0.0121,0.0291
tuk_Cyrl,0.0388,0.0097,0.0388
swe_Latn,0.7184,0.4098,0.7184
bnp_Latn,0.0291,0.0103,0.0291
fuf_Latn,0.0194,0.0035,0.0194
imo_Latn,0.0097,0.0012,0.0097
bci_Latn,0.0194,0.0053,0.0194
waj_Latn,0.0,0.0,0.0
dob_Latn,0.0097,0.0079,0.0097
jvn_Latn,0.0388,0.0124,0.0388
nno_Latn,0.4078,0.14,0.4078
aii_Syrc,0.0097,0.0015,0.0097
sun_Latn,0.0388,0.0124,0.0388
myk_Latn,0.0097,0.0026,0.0097
nds_Latn,0.0583,0.0215,0.0583
ssw_Latn,0.0291,0.0091,0.0291
prs_Arab,0.3398,0.103,0.3398
biu_Latn,0.0194,0.0085,0.0194
pmx_Latn,0.0097,0.0021,0.0097
agd_Latn,0.0097,0.0006,0.0097
tgo_Latn,0.0291,0.0115,0.0291
kao_Latn,0.0194,0.0076,0.0194
crq_Latn,0.0291,0.0129,0.0291
cax_Latn,0.0291,0.0132,0.0291
plg_Latn,0.0194,0.0044,0.0194
ncu_Latn,0.0097,0.0009,0.0097
yrk_Cyrl,0.0194,0.0085,0.0194
hig_Latn,0.0194,0.0103,0.0194
