code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
xsu_Latn,0.0097,0.0026,0.0097
aeb_Arab,0.1262,0.0256,0.1262
fon_Latn,0.0194,0.0021,0.0194
mah_Latn,0.0291,0.0127,0.0291
btx_Latn,0.0388,0.0156,0.0388
aln_Latn,0.0971,0.0397,0.0971
huu_Latn,0.0291,0.0088,0.0291
cop_Copt,0.0,0.0,0.0
chz_Latn,0.0194,0.0059,0.0194
mvp_Latn,0.0194,0.0094,0.0194
syb_Latn,0.0291,0.0124,0.0291
mug_Latn,0.0194,0.0059,0.0194
arz_Arab,0.6602,0.228,0.6602
kje_Latn,0.0194,0.0103,0.0194
esi_Latn,0.0291,0.0127,0.0291
akh_Latn,0.0,0.0,0.0
tik_Latn,0.0097,0.0006,0.0097
bug_Latn,0.0194,0.0062,0.0194
pbc_Latn,0.0291,0.0094,0.0291
dje_Latn,0.0194,0.0076,0.0194
usp_Latn,0.0194,0.0091,0.0194
ndz_Latn,0.0194,0.0041,0.0194
myb_Latn,0.0194,0.0082,0.0194
srp_Cyrl,0.7476,0.3742,0.7476
sey_Latn,0.0194,0.0062,0.0194
kew_Latn,0.0194,0.0091,0.0194
mhr_Cyrl,0.0291,0.005,0.0291
agm_Latn,0.0097,0.0006,0.0097
nbc_Latn,0.0291,0.0138,0.0291
atd_Latn,0.0291,0.0124,0.0291
ojs_Cans,0.0,0.0,0.0
kpg_Latn,0.0194,0.005,0.0194
bjk_Latn,0.0291,0.0103,0.0291
ksp_Latn,0.0194,0.0112,0.0194
apt_Latn,0.0194,0.0103,0.0194
vut_Latn,0.0194,0.0026,0.0194
gla_Latn,0.0874,0.0227,0.0874
kdi_Latn,0.0194,0.0082,0.0194
kbp_Latn,0.0097,0.0032,0.0097
ium_Latn,0.0097,0.005,0.0097
quc_Latn,0.0291,0.0115,0.0291
wiv_Latn,0.0388,0.0129,0.0388
hla_Latn,0.0194,0.0103,0.0194
yut_Latn,0.0194,0.0032,0.0194
lww_Latn,0.0097,0.0003,0.0097
enl_Latn,0.0194,0.0068,0.0194
cap_Latn,0.0194,0.0059,0.0194
bku_Latn,0.0194,0.0097,0.0194
nia_Latn,0.0194,0.0029,0.0194
syc_Syrc,0.0097,0.0018,0.0097
gej_Latn,0.0194,0.0079,0.0194
sml_Latn,0.0291,0.0074,0.0291
aia_Latn,0.0194,0.0094,0.0194
gvc_Latn,0.0194,0.0047,0.0194
pbb_Latn,0.0194,0.0068,0.0194
bfo_Latn,0.0097,0.0032,0.0097
dis_Latn,0.0194,0.0032,0.0194
bex_Latn,0.0097,0.0009,0.0097
nng_Latn,0.0194,0.0035,0.0194
mca_Latn,0.0194,0.0029,0.0194
lid_Latn,0.0194,0.0056,0.0194
tos_Latn,0.0291,0.0065,0.0291
nki_Latn,0.0291,0.0085,0.0291
kpf_Latn,0.0194,0.0056,0.0194
teo_Latn,0.0194,0.0068,0.0194
mkd_Cyrl,0.6117,0.2689,0.6117
crh_Cyrl,0.0291,0.0056,0.0291
aau_Latn,0.0097,0.0032,0.0097
irk_Latn,0.0291,0.0129,0.0291
lam_Latn,0.0097,0.0021,0.0097
tac_Latn,0.0097,0.0006,0.0097
ycn_Latn,0.0097,0.0044,0.0097
bmq_Latn,0.0194,0.0065,0.0194
ktj_Latn,0.0097,0.0003,0.0097
enq_Latn,0.0097,0.0024,0.0097
poe_Latn,0.0194,0.0065,0.0194
ify_Latn,0.0194,0.0097,0.0194
dgc_Latn,0.0291,0.0135,0.0291
kbm_Latn,0.0194,0.0094,0.0194
aey_Latn,0.0194,0.0029,0.0194
sat_Latn,0.0097,0.0026,0.0097
mnf_Latn,0.0097,0.0003,0.0097
qvi_Latn,0.0194,0.0059,0.0194
jac_Latn,0.0194,0.0082,0.0194
bqj_Latn,0.0194,0.0109,0.0194
hui_Latn,0.0097,0.0024,0.0097
chf_Latn,0.0097,0.0059,0.0097
bbc_Latn,0.0291,0.0109,0.0291
rus_Cyrl,0.8447,0.5822,0.8447
xsi_Latn,0.0194,0.0021,0.0194
mqj_Latn,0.0291,0.0121,0.0291
gui_Latn,0.0291,0.0118,0.0291
kjh_Cyrl,0.0291,0.0082,0.0291
mbc_Latn,0.0097,0.0041,0.0097
btd_Latn,0.0291,0.0118,0.0291
for_Latn,0.0,0.0,0.0
snf_Latn,0.0194,0.0015,0.0194
tuk_Arab,0.0194,0.0009,0.0194
soy_Latn,0.0097,0.0029,0.0097
esu_Latn,0.0194,0.0062,0.0194
pah_Latn,0.0194,0.0038,0.0194
msb_Latn,0.068,0.0241,0.068
rub_Latn,0.0097,0.0009,0.0097
dow_Latn,0.0194,0.0094,0.0194
ton_Latn,0.0194,0.0038,0.0194
mee_Latn,0.0194,0.0047,0.0194
kin_Latn,0.0291,0.0059,0.0291
amm_Latn,0.0097,0.0009,0.0097
hne_Deva,0.0485,0.0097,0.0485
ter_Latn,0.0097,0.0006,0.0097
zyp_Latn,0.0291,0.0074,0.0291
cce_Latn,0.0485,0.0094,0.0485
ava_Cyrl,0.0097,0.0003,0.0097
kek_Latn,0.0291,0.0097,0.0291
mjw_Latn,0.0291,0.01,0.0291
tgk_Cyrl,0.0194,0.0044,0.0194
cub_Latn,0.0097,0.0044,0.0097
nph_Latn,0.0194,0.0118,0.0194
ozm_Latn,0.0194,0.0056,0.0194
qvh_Latn,0.0388,0.0121,0.0388
bki_Latn,0.0097,0.0006,0.0097
kqe_Latn,0.0291,0.0106,0.0291
pls_Latn,0.0291,0.0082,0.0291
nca_Latn,0.0097,0.0024,0.0097
fuq_Latn,0.0097,0.0015,0.0097
wos_Latn,0.0097,0.0021,0.0097
aca_Latn,0.0291,0.0068,0.0291
mbb_Latn,0.0097,0.0044,0.0097
mau_Latn,0.0194,0.0062,0.0194
guh_Latn,0.0194,0.0076,0.0194
udu_Latn,0.0097,0.0003,0.0097
tnp_Latn,0.0097,0.0018,0.0097
ewe_Latn,0.0194,0.0062,0.0194
jbu_Latn,0.0097,0.0006,0.0097
fij_Latn,0.0097,0.0015,0.0097
zsm_Latn,0.1748,0.0418,0.1748
bsc_Latn,0.0194,0.0068,0.0194
too_Latn,0.0194,0.0065,0.0194
gag_Latn,0.1359,0.0441,0.1359
zpz_Latn,0.0097,0.0029,0.0097
kzf_Latn,0.0194,0.0085,0.0194
xtn_Latn,0.0194,0.0065,0.0194
wbi_Latn,0.0291,0.0076,0.0291
cjo_Latn,0.0097,0.0009,0.0097
aze_Cyrl,0.0388,0.0085,0.0388
kyq_Latn,0.0194,0.0047,0.0194
dov_Latn,0.0194,0.0085,0.0194
chv_Cyrl,0.0291,0.005,0.0291
hag_Latn,0.0291,0.0062,0.0291
mpt_Latn,0.0097,0.0003,0.0097
est_Latn,0.2136,0.0468,0.2136
aai_Latn,0.0291,0.0109,0.0291
cuc_Latn,0.0194,0.0079,0.0194
ngp_Latn,0.0194,0.0091,0.0194
krc_Cyrl,0.0291,0.0065,0.0291
mzh_Latn,0.0291,0.0103,0.0291
box_Latn,0.0194,0.0024,0.0194
ndg_Latn,0.0291,0.0132,0.0291
vag_Latn,0.0194,0.005,0.0194
bjv_Latn,0.0,0.0,0.0
kpz_Latn,0.0097,0.0068,0.0097
tum_Latn,0.0388,0.0129,0.0388
jiv_Latn,0.0097,0.0026,0.0097
bzh_Latn,0.0194,0.0047,0.0194
zho_Hani,0.6117,0.3066,0.6117
mox_Latn,0.0194,0.0074,0.0194
zga_Latn,0.0097,0.0071,0.0097
kxc_Ethi,0.0194,0.0009,0.0194
mav_Latn,0.0097,0.0032,0.0097
bwq_Latn,0.0194,0.0032,0.0194
knj_Latn,0.0291,0.0121,0.0291
aji_Latn,0.0194,0.0071,0.0194
ppk_Latn,0.0291,0.0159,0.0291
khs_Latn,0.0097,0.0012,0.0097
xal_Cyrl,0.0,0.0,0.0
alp_Latn,0.0194,0.0088,0.0194
wsk_Latn,0.0194,0.0085,0.0194
mwq_Latn,0.0097,0.0012,0.0097
dnj_Latn,0.0097,0.0003,0.0097
bav_Latn,0.0194,0.0097,0.0194
chd_Latn,0.0194,0.0044,0.0194
bba_Latn,0.0194,0.0076,0.0194
cao_Latn,0.0097,0.0021,0.0097
sba_Latn,0.0194,0.005,0.0194
asm_Beng,0.0291,0.0074,0.0291
mkj_Latn,0.0291,0.0144,0.0291
tsw_Latn,0.0097,0.0003,0.0097
mzk_Latn,0.0291,0.0132,0.0291
bxr_Cyrl,0.0097,0.0026,0.0097
mib_Latn,0.0194,0.0097,0.0194
yad_Latn,0.0194,0.0041,0.0194
csy_Latn,0.0194,0.0097,0.0194
bib_Latn,0.0194,0.0041,0.0194
mvn_Latn,0.0291,0.0141,0.0291
xtm_Latn,0.0194,0.0106,0.0194
muy_Latn,0.0097,0.0062,0.0097
amo_Latn,0.0194,0.0121,0.0194
hwc_Latn,0.4854,0.2298,0.4854
lob_Latn,0.0,0.0,0.0
sll_Latn,0.0,0.0,0.0
clu_Latn,0.0874,0.0291,0.0874
nmo_Latn,0.0291,0.0065,0.0291
chu_Cyrl,0.699,0.3392,0.699
sxb_Latn,0.0194,0.0076,0.0194
mwp_Latn,0.0194,0.0076,0.0194
mtg_Latn,0.0194,0.0082,0.0194
alq_Latn,0.0291,0.0074,0.0291
lmk_Latn,0.0194,0.0112,0.0194
nya_Latn,0.0291,0.0118,0.0291
eri_Latn,0.0194,0.0059,0.0194
knk_Latn,0.0097,0.0071,0.0097
maw_Latn,0.0097,0.0015,0.0097
thk_Latn,0.0097,0.0009,0.0097
swp_Latn,0.0291,0.0135,0.0291
mxb_Latn,0.0194,0.0059,0.0194
yss_Latn,0.0097,0.0038,0.0097
bmr_Latn,0.0194,0.0065,0.0194
sqi_Latn,0.0874,0.0377,0.0874
pww_Thai,0.0097,0.0009,0.0097
yuj_Latn,0.0097,0.0018,0.0097
kpx_Latn,0.0097,0.0012,0.0097
tuo_Latn,0.0194,0.0038,0.0194
nak_Latn,0.0291,0.0082,0.0291
xnn_Latn,0.0291,0.0153,0.0291
ade_Latn,0.0097,0.0065,0.0097
agr_Latn,0.0097,0.0053,0.0097
bzj_Latn,0.1359,0.03,0.1359
mic_Latn,0.0097,0.0024,0.0097
urk_Thai,0.0,0.0,0.0
gnw_Latn,0.0194,0.0074,0.0194
aak_Latn,0.0,0.0,0.0
nde_Latn,0.0388,0.01,0.0388
omw_Latn,0.0097,0.0006,0.0097
msa_Latn,0.0971,0.0253,0.0971
bef_Latn,0.0097,0.0012,0.0097
hae_Latn,0.0194,0.0056,0.0194
amn_Latn,0.0097,0.0041,0.0097
mfq_Latn,0.0097,0.0018,0.0097
any_Latn,0.0097,0.0009,0.0097
mux_Latn,0.0097,0.0012,0.0097
awk_Latn,0.0194,0.0044,0.0194
agu_Latn,0.0291,0.0085,0.0291
nre_Latn,0.0097,0.005,0.0097
lex_Latn,0.0291,0.0103,0.0291
ngu_Latn,0.0291,0.0121,0.0291
mzm_Latn,0.0194,0.0032,0.0194
ong_Latn,0.0097,0.0035,0.0097
zos_Latn,0.0194,0.0032,0.0194
are_Latn,0.0291,0.0132,0.0291
ruf_Latn,0.0291,0.0091,0.0291
ote_Latn,0.0291,0.0044,0.0291
akp_Latn,0.0291,0.0065,0.0291
arb_Arab,0.6893,0.2342,0.6893
toj_Latn,0.0194,0.0053,0.0194
czt_Latn,0.0291,0.0062,0.0291
nhg_Latn,0.0194,0.0074,0.0194
viv_Latn,0.0097,0.0056,0.0097
njo_Latn,0.0194,0.0065,0.0194
mww_Latn,0.0097,0.0009,0.0097
rai_Latn,0.0291,0.0132,0.0291
nyf_Latn,0.0388,0.0082,0.0388
urw_Latn,0.0194,0.0026,0.0194
xsm_Latn,0.0194,0.0021,0.0194
noa_Latn,0.0291,0.0071,0.0291
gum_Latn,0.0291,0.0071,0.0291
bmu_Latn,0.0194,0.0041,0.0194
trn_Latn,0.0194,0.0074,0.0194
lai_Latn,0.0291,0.0094,0.0291
mkl_Latn,0.0097,0.0024,0.0097
acd_Latn,0.0291,0.0074,0.0291
xla_Latn,0.0097,0.0006,0.0097
quz_Latn,0.0291,0.0106,0.0291
mnb_Latn,0.0291,0.0135,0.0291
qvm_Latn,0.0388,0.0088,0.0388
avt_Latn,0.0194,0.0041,0.0194
auc_Latn,0.0,0.0,0.0
mzl_Latn,0.0291,0.0056,0.0291
uzb_Latn,0.0291,0.0076,0.0291
kup_Latn,0.0194,0.0041,0.0194
ndc_Latn,0.0194,0.0094,0.0194
kvg_Latn,0.0291,0.0088,0.0291
ken_Latn,0.0194,0.0074,0.0194
mie_Latn,0.0291,0.0097,0.0291
ukr_Cyrl,0.8252,0.4457,0.8252
tew_Latn,0.0194,0.0041,0.0194
ssg_Latn,0.0097,0.0038,0.0097
lug_Latn,0.0097,0.0047,0.0097
tui_Latn,0.0097,0.0041,0.0097
spp_Latn,0.0194,0.0018,0.0194
wbm_Latn,0.0194,0.0079,0.0194
pdc_Latn,0.068,0.0253,0.068
kik_Latn,0.0388,0.0109,0.0388
amh_Latn,0.0194,0.0044,0.0194
oss_Cyrl,0.0291,0.0082,0.0291
slk_Latn,0.4175,0.2151,0.4175
dyu_Latn,0.0194,0.0074,0.0194
kor_Latn,0.0097,0.0021,0.0097
pam_Latn,0.0291,0.0132,0.0291
coe_Latn,0.0194,0.0053,0.0194
dik_Latn,0.0194,0.0071,0.0194
mpp_Latn,0.0291,0.0076,0.0291
nmh_Latn,0.0097,0.0026,0.0097
rug_Latn,0.0194,0.0059,0.0194
gul_Latn,0.4078,0.1306,0.4078
mbf_Latn,0.3107,0.0944,0.3107
smt_Latn,0.0194,0.0103,0.0194
snc_Latn,0.0194,0.0047,0.0194
maq_Latn,0.0291,0.0076,0.0291
yon_Latn,0.0097,0.0006,0.0097
kkc_Latn,0.0,0.0,0.0
fin_Latn,0.4078,0.1636,0.4078
mgh_Latn,0.0097,0.0068,0.0097
niy_Latn,0.0097,0.0018,0.0097
mta_Latn,0.0291,0.0059,0.0291
mwv_Latn,0.0194,0.0068,0.0194
njn_Latn,0.0194,0.0071,0.0194
lwo_Latn,0.0097,0.0018,0.0097
snd_Arab,0.0194,0.0029,0.0194
plw_Latn,0.0388,0.0112,0.0388
kbh_Latn,0.0194,0.0071,0.0194
npl_Latn,0.0388,0.0103,0.0388
ivb_Latn,0.0097,0.0076,0.0097
isl_Latn,0.3592,0.1194,0.3592
ace_Latn,0.0291,0.0115,0.0291
jmc_Latn,0.0291,0.0106,0.0291
kgf_Latn,0.0194,0.0035,0.0194
icr_Latn,0.1845,0.0527,0.1845
kto_Latn,0.0194,0.0079,0.0194
tro_Latn,0.0194,0.0041,0.0194
kyu_Mymr,0.0097,0.0003,0.0097
amk_Latn,0.0291,0.0091,0.0291
bps_Latn,0.0097,0.0015,0.0097
toh_Latn,0.0194,0.0056,0.0194
cya_Latn,0.0291,0.0076,0.0291
way_Latn,0.0194,0.0065,0.0194
ium_Thai,0.0097,0.0009,0.0097
nhe_Latn,0.0194,0.0053,0.0194
mps_Latn,0.0097,0.0021,0.0097
cof_Latn,0.0194,0.0103,0.0194
gdn_Latn,0.0097,0.0018,0.0097
ixl_Latn,0.0194,0.0082,0.0194
mif_Latn,0.0194,0.0035,0.0194
nwi_Latn,0.0194,0.0062,0.0194
myx_Latn,0.0291,0.0085,0.0291
nwx_Deva,0.0291,0.0035,0.0291
cfm_Latn,0.0291,0.01,0.0291
blh_Latn,0.0097,0.0006,0.0097
kus_Latn,0.0291,0.0132,0.0291
sps_Latn,0.0097,0.0021,0.0097
nan_Latn,0.0194,0.0076,0.0194
awi_Latn,0.0097,0.0024,0.0097
ssd_Latn,0.0097,0.0021,0.0097
ksj_Latn,0.0097,0.0012,0.0097
byx_Latn,0.0194,0.0059,0.0194
agw_Latn,0.0194,0.0085,0.0194
tat_Cyrl,0.0194,0.0038,0.0194
mlh_Latn,0.0097,0.0012,0.0097
qvo_Latn,0.0291,0.0094,0.0291
npo_Latn,0.0194,0.0074,0.0194
plt_Latn,0.0291,0.0118,0.0291
ktb_Ethi,0.0097,0.0006,0.0097
cak_Latn,0.0388,0.0115,0.0388
mal_Mlym,0.0,0.0,0.0
fuv_Latn,0.0097,0.0012,0.0097
mhy_Latn,0.0485,0.0121,0.0485
rmn_Latn,0.0291,0.0097,0.0291
acf_Latn,0.0291,0.0132,0.0291
gom_Latn,0.0194,0.0097,0.0194
dru_Latn,0.0291,0.01,0.0291
bwu_Latn,0.0194,0.0076,0.0194
wuv_Latn,0.0388,0.0162,0.0388
urd_Deva,0.4369,0.0841,0.4369
ppo_Latn,0.0097,0.0026,0.0097
guo_Latn,0.0194,0.0059,0.0194
hch_Latn,0.0097,0.0012,0.0097
njm_Latn,0.0194,0.0071,0.0194
bar_Latn,0.2136,0.0465,0.2136
pua_Latn,0.0194,0.0044,0.0194
etu_Latn,0.0097,0.0012,0.0097
bul_Cyrl,0.8252,0.4525,0.8252
yom_Latn,0.0097,0.0009,0.0097
jae_Latn,0.0194,0.0059,0.0194
prf_Latn,0.0388,0.0162,0.0388
kan_Knda,0.0388,0.0074,0.0388
mse_Latn,0.0194,0.0121,0.0194
dop_Latn,0.0097,0.005,0.0097
nhd_Latn,0.0291,0.0106,0.0291
bpr_Latn,0.0194,0.0053,0.0194
sig_Latn,0.0097,0.0021,0.0097
kor_Hang,0.5146,0.2142,0.5146
gaa_Latn,0.0194,0.0062,0.0194
log_Latn,0.0194,0.0071,0.0194
toi_Latn,0.0194,0.0085,0.0194
dur_Latn,0.0097,0.0006,0.0097
tuk_Latn,0.0388,0.0103,0.0388
big_Latn,0.0097,0.0012,0.0097
hns_Latn,0.0291,0.0071,0.0291
myy_Latn,0.0194,0.0059,0.0194
ibo_Latn,0.0097,0.0038,0.0097
abx_Latn,0.0291,0.0118,0.0291
mig_Latn,0.0194,0.0053,0.0194
yaa_Latn,0.0194,0.0082,0.0194
rmo_Latn,0.0194,0.0079,0.0194
vun_Latn,0.0097,0.0038,0.0097
mhx_Latn,0.0194,0.0044,0.0194
isn_Latn,0.0291,0.0091,0.0291
laj_Latn,0.0194,0.0106,0.0194
apn_Latn,0.0,0.0,0.0
plu_Latn,0.0194,0.0085,0.0194
kqc_Latn,0.0194,0.0059,0.0194
qvn_Latn,0.0291,0.01,0.0291
mna_Latn,0.0097,0.0026,0.0097
sas_Latn,0.0194,0.0065,0.0194
quy_Latn,0.0194,0.0082,0.0194
sbd_Latn,0.0194,0.0041,0.0194
fil_Latn,0.3495,0.123,0.3495
hun_Latn,0.5631,0.2445,0.5631
cha_Latn,0.0291,0.0118,0.0291
cmo_Latn,0.0097,0.0015,0.0097
gun_Latn,0.0291,0.0106,0.0291
nob_Latn,0.699,0.4025,0.699
urt_Latn,0.0194,0.0012,0.0194
mas_Latn,0.0291,0.0112,0.0291
sna_Latn,0.0291,0.0129,0.0291
kno_Latn,0.0097,0.0003,0.0097
lzh_Hani,0.3883,0.1606,0.3883
mbd_Latn,0.0194,0.0062,0.0194
dig_Latn,0.0291,0.0118,0.0291
msk_Latn,0.0388,0.015,0.0388
sop_Latn,0.0097,0.0009,0.0097
xav_Latn,0.0097,0.0009,0.0097
mcu_Latn,0.0194,0.0056,0.0194
lip_Latn,0.0194,0.0056,0.0194
ory_Orya,0.0,0.0,0.0
ind_Latn,0.6019,0.2486,0.6019
obo_Latn,0.0291,0.0071,0.0291
mur_Latn,0.0194,0.0024,0.0194
tue_Latn,0.0097,0.0024,0.0097
mop_Latn,0.0291,0.0065,0.0291
leu_Latn,0.0194,0.0094,0.0194
uli_Latn,0.0388,0.0071,0.0388
uig_Latn,0.0388,0.0068,0.0388
cuk_Latn,0.0194,0.0085,0.0194
yao_Latn,0.0194,0.0091,0.0194
kff_Telu,0.0,0.0,0.0
ndo_Latn,0.0291,0.0085,0.0291
sur_Latn,0.0194,0.0071,0.0194
iba_Latn,0.0485,0.0191,0.0485
trc_Latn,0.0194,0.0038,0.0194
hye_Latn,0.0097,0.0053,0.0097
quw_Latn,0.0194,0.0115,0.0194
mmx_Latn,0.0194,0.0065,0.0194
wib_Latn,0.0097,0.0024,0.0097
pol_Latn,0.7573,0.4066,0.7573
enx_Latn,0.0194,0.0085,0.0194
kum_Cyrl,0.0097,0.0026,0.0097
njb_Latn,0.0097,0.0068,0.0097
zas_Latn,0.0291,0.0088,0.0291
bbj_Latn,0.0194,0.0062,0.0194
bqc_Latn,0.0194,0.0059,0.0194
rad_Latn,0.0291,0.0074,0.0291
mbj_Latn,0.0097,0.0015,0.0097
khm_Khmr,0.0194,0.0026,0.0194
ptp_Latn,0.0097,0.0044,0.0097
ame_Latn,0.0097,0.0062,0.0097
pwg_Latn,0.0194,0.0091,0.0194
tof_Latn,0.0097,0.0015,0.0097
bsj_Latn,0.0291,0.0094,0.0291
bvd_Latn,0.0291,0.0109,0.0291
soq_Latn,0.0194,0.0047,0.0194
qxl_Latn,0.0291,0.0124,0.0291
pri_Latn,0.0097,0.0047,0.0097
hye_Armn,0.0485,0.0097,0.0485
ahk_Latn,0.0,0.0,0.0
bus_Latn,0.0194,0.0074,0.0194
dif_Latn,0.0291,0.0106,0.0291
gwi_Latn,0.0291,0.0112,0.0291
ikk_Latn,0.0097,0.0082,0.0097
bem_Latn,0.0291,0.0118,0.0291
kvj_Latn,0.0194,0.0047,0.0194
sus_Latn,0.0194,0.0076,0.0194
mza_Latn,0.0194,0.0109,0.0194
tcc_Latn,0.0194,0.0088,0.0194
lcm_Latn,0.0291,0.0044,0.0291
yby_Latn,0.0,0.0,0.0
ntp_Latn,0.0097,0.0003,0.0097
mih_Latn,0.0194,0.0062,0.0194
yan_Latn,0.0194,0.0097,0.0194
nri_Latn,0.0194,0.0074,0.0194
ign_Latn,0.0291,0.0091,0.0291
ksd_Latn,0.0291,0.0091,0.0291
nch_Latn,0.0194,0.0068,0.0194
yua_Latn,0.0291,0.0124,0.0291
hlt_Latn,0.0194,0.0035,0.0194
cbr_Latn,0.0194,0.0038,0.0194
qva_Latn,0.0194,0.0062,0.0194
sbk_Latn,0.0291,0.0121,0.0291
giz_Latn,0.0388,0.0129,0.0388
ctu_Latn,0.0291,0.0088,0.0291
ach_Latn,0.0097,0.0024,0.0097
kgk_Latn,0.0291,0.0071,0.0291
mqb_Latn,0.0097,0.0009,0.0097
cnw_Latn,0.0291,0.0112,0.0291
snn_Latn,0.0097,0.0053,0.0097
khy_Latn,0.0097,0.0053,0.0097
alz_Latn,0.0291,0.0059,0.0291
aom_Latn,0.0194,0.0056,0.0194
bru_Latn,0.0097,0.0009,0.0097
zar_Latn,0.0194,0.0071,0.0194
yam_Latn,0.0097,0.0024,0.0097
abt_Latn,0.0,0.0,0.0
cui_Latn,0.0194,0.0032,0.0194
tpi_Latn,0.0777,0.025,0.0777
pmf_Latn,0.0291,0.0065,0.0291
mle_Latn,0.0097,0.0012,0.0097
mor_Latn,0.0097,0.0062,0.0097
iws_Latn,0.0097,0.0024,0.0097
lew_Latn,0.0194,0.0068,0.0194
men_Latn,0.0194,0.0044,0.0194
gam_Latn,0.0097,0.0026,0.0097
amf_Latn,0.0291,0.0076,0.0291
tir_Ethi,0.0097,0.0012,0.0097
mfy_Latn,0.0291,0.0071,0.0291
szb_Latn,0.0194,0.0082,0.0194
bcw_Latn,0.0097,0.0018,0.0097
djr_Latn,0.0097,0.0006,0.0097
nnq_Latn,0.0097,0.0015,0.0097
cok_Latn,0.0097,0.0026,0.0097
nmf_Latn,0.0291,0.0056,0.0291
amh_Ethi,0.0097,0.0009,0.0097
qxo_Latn,0.0194,0.0079,0.0194
mbh_Latn,0.0194,0.0044,0.0194
lhm_Latn,0.0,0.0,0.0
gfk_Latn,0.0194,0.0109,0.0194
xsb_Latn,0.0388,0.0138,0.0388
cnt_Latn,0.0194,0.0062,0.0194
gub_Latn,0.0,0.0,0.0
pck_Latn,0.0291,0.0127,0.0291
mto_Latn,0.0194,0.005,0.0194
pfe_Latn,0.0194,0.0035,0.0194
jra_Latn,0.0194,0.0068,0.0194
rro_Latn,0.0291,0.0097,0.0291
ewo_Latn,0.0291,0.0153,0.0291
aon_Latn,0.0097,0.0041,0.0097
hub_Latn,0.0194,0.0088,0.0194
aly_Latn,0.0194,0.0047,0.0194
khz_Latn,0.0097,0.0032,0.0097
kaq_Latn,0.0194,0.0065,0.0194
gjn_Latn,0.0291,0.0035,0.0291
nsu_Latn,0.0291,0.0109,0.0291
aer_Latn,0.0194,0.005,0.0194
caf_Latn,0.0194,0.0071,0.0194
pon_Latn,0.0291,0.0056,0.0291
san_Deva,0.1845,0.0377,0.1845
kqo_Latn,0.0097,0.0003,0.0097
apb_Latn,0.0291,0.0068,0.0291
rmc_Latn,0.0388,0.0124,0.0388
adl_Latn,0.0291,0.0091,0.0291
gkp_Latn,0.0194,0.0026,0.0194
mos_Latn,0.0194,0.0053,0.0194
ksf_Latn,0.0194,0.0018,0.0194
cco_Latn,0.0194,0.0047,0.0194
tuf_Latn,0.0194,0.0059,0.0194
nbu_Latn,0.0291,0.0035,0.0291
yre_Latn,0.0097,0.0009,0.0097
yal_Latn,0.0194,0.0076,0.0194
ntr_Latn,0.0194,0.0029,0.0194
tca_Latn,0.0194,0.0032,0.0194
kaa_Cyrl,0.0485,0.0129,0.0485
sld_Latn,0.0097,0.0012,0.0097
qxn_Latn,0.0291,0.0141,0.0291
prk_Latn,0.0194,0.0076,0.0194
pab_Latn,0.0291,0.0115,0.0291
nnp_Latn,0.0194,0.0035,0.0194
beo_Latn,0.0097,0.0021,0.0097
nhi_Latn,0.0194,0.0088,0.0194
gqr_Latn,0.0097,0.0012,0.0097
uvh_Latn,0.0194,0.0041,0.0194
cym_Latn,0.0874,0.0203,0.0874
grt_Beng,0.0097,0.0015,0.0097
kjs_Latn,0.0194,0.0035,0.0194
zpq_Latn,0.0194,0.0065,0.0194
xed_Latn,0.0097,0.0021,0.0097
shu_Latn,0.0388,0.0138,0.0388
ilo_Latn,0.0388,0.0159,0.0388
mrw_Latn,0.0194,0.0065,0.0194
guc_Latn,0.0291,0.0091,0.0291
mbi_Latn,0.0194,0.0029,0.0194
xsr_Deva,0.0097,0.0012,0.0097
tku_Latn,0.0291,0.0082,0.0291
glv_Latn,0.0291,0.0135,0.0291
stn_Latn,0.0194,0.0038,0.0194
hix_Latn,0.0,0.0,0.0
cag_Latn,0.0291,0.0103,0.0291
ncj_Latn,0.0194,0.0059,0.0194
dgi_Latn,0.0194,0.0035,0.0194
tgp_Latn,0.0485,0.0188,0.0485
nst_Latn,0.0291,0.0038,0.0291
ldi_Latn,0.0194,0.0068,0.0194
crn_Latn,0.0194,0.0032,0.0194
dww_Latn,0.0291,0.0091,0.0291
qvc_Latn,0.0,0.0,0.0
nyo_Latn,0.0291,0.0091,0.0291
zaw_Latn,0.0291,0.0079,0.0291
chk_Latn,0.0194,0.0118,0.0194
niq_Latn,0.0291,0.0088,0.0291
mti_Latn,0.0194,0.0068,0.0194
cme_Latn,0.0194,0.0035,0.0194
gud_Latn,0.0,0.0,0.0
pcm_Latn,0.3107,0.0809,0.3107
gvs_Latn,0.0097,0.0053,0.0097
ayo_Latn,0.0194,0.0056,0.0194
kne_Latn,0.0388,0.015,0.0388
kir_Cyrl,0.0194,0.0056,0.0194
mdy_Ethi,0.0097,0.0003,0.0097
kmr_Latn,0.0291,0.0103,0.0291
tby_Latn,0.0291,0.0124,0.0291
ctp_Latn,0.0194,0.0076,0.0194
pes_Arab,0.3398,0.103,0.3398
isd_Latn,0.0291,0.0165,0.0291
hin_Deva,0.3786,0.0824,0.3786
gof_Latn,0.0194,0.0062,0.0194
srp_Latn,0.6699,0.3251,0.6699
gya_Latn,0.0194,0.0076,0.0194
poh_Latn,0.0291,0.0115,0.0291
twi_Latn,0.0194,0.0106,0.0194
