code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
lex_Latn,0.0485,0.0157,0.0485
nre_Latn,0.0388,0.011,0.0388
agu_Latn,0.0388,0.0117,0.0388
awk_Latn,0.0097,0.0023,0.0097
nhg_Latn,0.0485,0.0147,0.0485
czt_Latn,0.0485,0.011,0.0485
arb_Arab,0.5922,0.236,0.5922
toj_Latn,0.0485,0.0134,0.0485
akp_Latn,0.0485,0.0127,0.0485
ote_Latn,0.0388,0.0054,0.0388
ruf_Latn,0.0388,0.0127,0.0388
sbd_Latn,0.0291,0.008,0.0291
quy_Latn,0.0874,0.0231,0.0874
sas_Latn,0.0583,0.0177,0.0583
mna_Latn,0.0291,0.01,0.0291
qvn_Latn,0.0388,0.0177,0.0388
plu_Latn,0.0291,0.0074,0.0291
kqc_Latn,0.0485,0.0104,0.0485
apn_Latn,0.0194,0.0033,0.0194
isn_Latn,0.0388,0.0164,0.0388
laj_Latn,0.0194,0.0084,0.0194
vun_Latn,0.0291,0.0094,0.0291
rmo_Latn,0.0291,0.0114,0.0291
mhx_Latn,0.0194,0.0047,0.0194
lzh_Hani,0.7573,0.303,0.7573
mbd_Latn,0.0485,0.0107,0.0485
kno_Latn,0.0097,0.001,0.0097
sna_Latn,0.0291,0.0121,0.0291
mas_Latn,0.0291,0.0151,0.0291
nob_Latn,0.835,0.4202,0.835
urt_Latn,0.0388,0.0087,0.0388
gun_Latn,0.0388,0.0147,0.0388
cmo_Latn,0.0194,0.0084,0.0194
cha_Latn,0.0485,0.0194,0.0485
fil_Latn,0.2136,0.0854,0.2136
hun_Latn,0.4951,0.1948,0.4951
toi_Latn,0.0291,0.0154,0.0291
log_Latn,0.0291,0.0064,0.0291
gaa_Latn,0.0485,0.0208,0.0485
kor_Hang,0.8252,0.3726,0.8252
sig_Latn,0.0194,0.0097,0.0194
bpr_Latn,0.0097,0.0067,0.0097
nhd_Latn,0.0388,0.0187,0.0388
dop_Latn,0.0194,0.003,0.0194
mse_Latn,0.0388,0.0198,0.0388
kan_Knda,0.2427,0.0418,0.2427
prf_Latn,0.0583,0.0298,0.0583
yaa_Latn,0.0485,0.0151,0.0485
abx_Latn,0.068,0.0231,0.068
mig_Latn,0.0388,0.0084,0.0388
ibo_Latn,0.0388,0.0094,0.0388
myy_Latn,0.0291,0.0137,0.0291
hns_Latn,0.068,0.0144,0.068
tuk_Latn,0.0583,0.0117,0.0583
big_Latn,0.0097,0.001,0.0097
dur_Latn,0.0291,0.0057,0.0291
gom_Latn,0.0291,0.0104,0.0291
dru_Latn,0.0388,0.0144,0.0388
mhy_Latn,0.0874,0.0385,0.0874
acf_Latn,0.0777,0.0241,0.0777
rmn_Latn,0.0194,0.01,0.0194
mal_Mlym,0.3689,0.0706,0.3689
fuv_Latn,0.0291,0.0084,0.0291
cak_Latn,0.0485,0.0127,0.0485
ktb_Ethi,0.0,0.0,0.0
plt_Latn,0.0388,0.011,0.0388
npo_Latn,0.0388,0.0104,0.0388
qvo_Latn,0.0388,0.0094,0.0388
bul_Cyrl,0.8932,0.4453,0.8932
jae_Latn,0.0485,0.0074,0.0485
yom_Latn,0.0388,0.0124,0.0388
etu_Latn,0.0291,0.0057,0.0291
pua_Latn,0.0388,0.0124,0.0388
