code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
tku_Latn,0.068,0.0117,0.068
xsr_Deva,0.0097,0.0007,0.0097
mbi_Latn,0.0485,0.0054,0.0485
guc_Latn,0.0291,0.0121,0.0291
mrw_Latn,0.0291,0.008,0.0291
ilo_Latn,0.0971,0.0258,0.0971
shu_Latn,0.0291,0.008,0.0291
xed_Latn,0.0194,0.0067,0.0194
crn_Latn,0.0388,0.0064,0.0388
ldi_Latn,0.0194,0.0074,0.0194
nst_Latn,0.0291,0.0117,0.0291
qvc_Latn,0.0485,0.0097,0.0485
dww_Latn,0.0291,0.009,0.0291
tgp_Latn,0.068,0.0238,0.068
ncj_Latn,0.0777,0.0238,0.0777
dgi_Latn,0.0291,0.0067,0.0291
cag_Latn,0.0485,0.0184,0.0485
stn_Latn,0.0194,0.0104,0.0194
hix_Latn,0.0097,0.0007,0.0097
glv_Latn,0.0485,0.0154,0.0485
tca_Latn,0.0097,0.0017,0.0097
ntr_Latn,0.0388,0.0094,0.0388
kaa_Cyrl,0.0971,0.0305,0.0971
yal_Latn,0.0291,0.0077,0.0291
yre_Latn,0.0194,0.0037,0.0194
nbu_Latn,0.0388,0.0077,0.0388
cco_Latn,0.0388,0.0107,0.0388
tuf_Latn,0.0291,0.0054,0.0291
ksf_Latn,0.0291,0.0067,0.0291
gkp_Latn,0.0291,0.0064,0.0291
adl_Latn,0.0194,0.0087,0.0194
mos_Latn,0.0388,0.0094,0.0388
zpq_Latn,0.068,0.0161,0.068
cym_Latn,0.0777,0.0174,0.0777
kjs_Latn,0.0291,0.005,0.0291
grt_Beng,0.0097,0.0007,0.0097
uvh_Latn,0.0194,0.0064,0.0194
nhi_Latn,0.0388,0.0124,0.0388
gqr_Latn,0.0194,0.006,0.0194
nnp_Latn,0.0291,0.0087,0.0291
pab_Latn,0.0388,0.0124,0.0388
beo_Latn,0.0,0.0,0.0
qxn_Latn,0.0874,0.0187,0.0874
prk_Latn,0.0194,0.0064,0.0194
sld_Latn,0.0194,0.0064,0.0194
hub_Latn,0.0485,0.0121,0.0485
aly_Latn,0.0388,0.0077,0.0388
khz_Latn,0.0485,0.0107,0.0485
aon_Latn,0.0291,0.008,0.0291
ewo_Latn,0.0485,0.0208,0.0485
rro_Latn,0.0291,0.0127,0.0291
jra_Latn,0.0194,0.006,0.0194
mto_Latn,0.0388,0.0037,0.0388
pfe_Latn,0.0291,0.0057,0.0291
gub_Latn,0.0097,0.0013,0.0097
pck_Latn,0.0485,0.0198,0.0485
xsb_Latn,0.0485,0.0201,0.0485
cnt_Latn,0.0485,0.0094,0.0485
mbh_Latn,0.0291,0.0114,0.0291
gfk_Latn,0.0388,0.0137,0.0388
lhm_Latn,0.0097,0.0007,0.0097
rmc_Latn,0.0485,0.0134,0.0485
apb_Latn,0.0485,0.009,0.0485
kqo_Latn,0.0,0.0,0.0
san_Deva,0.2039,0.0559,0.2039
pon_Latn,0.0097,0.005,0.0097
caf_Latn,0.0388,0.0114,0.0388
kaq_Latn,0.0291,0.0074,0.0291
aer_Latn,0.0485,0.0141,0.0485
gjn_Latn,0.0291,0.007,0.0291
nsu_Latn,0.0583,0.0157,0.0583
iws_Latn,0.0194,0.0007,0.0194
mor_Latn,0.0194,0.0077,0.0194
lew_Latn,0.0485,0.0167,0.0485
mle_Latn,0.0,0.0,0.0
pmf_Latn,0.0485,0.0121,0.0485
tpi_Latn,0.1262,0.0435,0.1262
cui_Latn,0.0388,0.0114,0.0388
abt_Latn,0.0194,0.0033,0.0194
yam_Latn,0.0194,0.0013,0.0194
qxo_Latn,0.0583,0.0134,0.0583
amh_Ethi,0.0388,0.0084,0.0388
nmf_Latn,0.0485,0.0137,0.0485
djr_Latn,0.0097,0.0017,0.0097
cok_Latn,0.0291,0.0077,0.0291
nnq_Latn,0.0291,0.0087,0.0291
bcw_Latn,0.0194,0.006,0.0194
szb_Latn,0.0291,0.01,0.0291
amf_Latn,0.0291,0.0054,0.0291
tir_Ethi,0.0291,0.0047,0.0291
mfy_Latn,0.068,0.0164,0.068
men_Latn,0.0388,0.0134,0.0388
gam_Latn,0.0194,0.0027,0.0194
vid_Latn,0.0583,0.0147,0.0583
nij_Latn,0.0971,0.0305,0.0971
wca_Latn,0.0194,0.0017,0.0194
mwe_Latn,0.0194,0.0054,0.0194
shi_Latn,0.0291,0.0097,0.0291
ald_Latn,0.0194,0.0064,0.0194
snp_Latn,0.0194,0.004,0.0194
nld_Latn,0.835,0.4838,0.835
fuf_Latn,0.0485,0.009,0.0485
tuk_Cyrl,0.0388,0.0117,0.0388
bnp_Latn,0.0388,0.0144,0.0388
swe_Latn,0.8738,0.3736,0.8738
mhi_Latn,0.0388,0.0201,0.0388
quh_Latn,0.0777,0.0187,0.0777
tgl_Latn,0.1748,0.0663,0.1748
gid_Latn,0.0194,0.0087,0.0194
oym_Latn,0.0194,0.0027,0.0194
kal_Latn,0.0485,0.007,0.0485
sab_Latn,0.0777,0.0127,0.0777
eng_Latn,1.0,1.0,1.0
tte_Latn,0.0194,0.004,0.0194
emp_Latn,0.0291,0.0077,0.0291
vap_Latn,0.0485,0.0228,0.0485
biv_Latn,0.0291,0.0087,0.0291
agg_Latn,0.0194,0.0037,0.0194
ted_Latn,0.0097,0.001,0.0097
fai_Latn,0.0291,0.007,0.0291
ses_Latn,0.0291,0.008,0.0291
gnb_Latn,0.0291,0.008,0.0291
yap_Latn,0.068,0.0127,0.068
cut_Latn,0.0485,0.0134,0.0485
iqw_Latn,0.0291,0.0074,0.0291
tpt_Latn,0.0485,0.0114,0.0485
ndp_Latn,0.0194,0.009,0.0194
pkb_Latn,0.0485,0.0127,0.0485
lsm_Latn,0.0291,0.006,0.0291
nnl_Latn,0.0485,0.0117,0.0485
bfd_Latn,0.0388,0.0114,0.0388
tzh_Latn,0.068,0.0208,0.068
pbi_Latn,0.0194,0.0054,0.0194
bum_Latn,0.0485,0.0154,0.0485
klv_Latn,0.0291,0.008,0.0291
qxr_Latn,0.0388,0.0104,0.0388
akb_Latn,0.068,0.0251,0.068
sja_Latn,0.0388,0.0144,0.0388
zpm_Latn,0.0485,0.011,0.0485
kix_Latn,0.0388,0.0084,0.0388
nhu_Latn,0.0291,0.0067,0.0291
kyf_Latn,0.0194,0.003,0.0194
urd_Latn,0.1262,0.0271,0.1262
cnh_Latn,0.0583,0.0171,0.0583
azb_Latn,0.2718,0.0807,0.2718
mar_Deva,0.4369,0.1416,0.4369
bgz_Latn,0.0388,0.0084,0.0388
mbt_Latn,0.0194,0.005,0.0194
bts_Latn,0.0777,0.0251,0.0777
nyu_Latn,0.0291,0.008,0.0291
chq_Latn,0.0485,0.0124,0.0485
vie_Latn,0.8932,0.5367,0.8932
zam_Latn,0.0291,0.0027,0.0291
por_Latn,0.9515,0.5936,0.9515
kqs_Latn,0.0388,0.0131,0.0388
kru_Deva,0.0194,0.003,0.0194
crs_Latn,0.0777,0.0268,0.0777
kdc_Latn,0.0291,0.0077,0.0291
sgz_Latn,0.0194,0.0047,0.0194
tbc_Latn,0.0388,0.011,0.0388
cgc_Latn,0.0777,0.0244,0.0777
mxv_Latn,0.0291,0.0067,0.0291
kwj_Latn,0.0097,0.0033,0.0097
kub_Latn,0.0485,0.0137,0.0485
bon_Latn,0.0388,0.0064,0.0388
cek_Latn,0.0388,0.005,0.0388
yaq_Latn,0.0291,0.0037,0.0291
tee_Latn,0.0388,0.0117,0.0388
fra_Latn,0.9515,0.5966,0.9515
kyg_Latn,0.0,0.0,0.0
anm_Latn,0.0388,0.011,0.0388
mfe_Latn,0.0583,0.0231,0.0583
zpl_Latn,0.0777,0.0181,0.0777
mck_Latn,0.0194,0.0047,0.0194
lin_Latn,0.0388,0.0157,0.0388
alt_Cyrl,0.0388,0.0117,0.0388
nmz_Latn,0.0194,0.0097,0.0194
kan_Latn,0.0388,0.0057,0.0388
sgw_Ethi,0.0194,0.0037,0.0194
nct_Latn,0.0583,0.0117,0.0583
kqp_Latn,0.0291,0.0044,0.0291
uzb_Cyrl,0.0388,0.004,0.0388
sri_Latn,0.0291,0.0097,0.0291
dan_Latn,0.8447,0.4017,0.8447
swg_Latn,0.4175,0.1881,0.4175
stp_Latn,0.0194,0.0044,0.0194
hif_Latn,0.0777,0.0271,0.0777
nus_Latn,0.0,0.0,0.0
ffm_Latn,0.0291,0.008,0.0291
ckb_Arab,0.0291,0.0094,0.0291
taw_Latn,0.0291,0.0064,0.0291
kmk_Latn,0.0485,0.0121,0.0485
sme_Latn,0.0388,0.008,0.0388
mri_Latn,0.0485,0.0171,0.0485
chr_Latn,0.0097,0.0027,0.0097
mtp_Latn,0.0097,0.002,0.0097
shk_Latn,0.0194,0.003,0.0194
zpo_Latn,0.0388,0.0124,0.0388
kiz_Latn,0.0291,0.0154,0.0291
ann_Latn,0.0291,0.0131,0.0291
meq_Latn,0.0194,0.0057,0.0194
nhw_Latn,0.0194,0.009,0.0194
bch_Latn,0.0388,0.0164,0.0388
ckt_Cyrl,0.0388,0.0084,0.0388
tzj_Latn,0.0777,0.0167,0.0777
cot_Latn,0.0097,0.003,0.0097
beq_Latn,0.0291,0.0104,0.0291
ikw_Latn,0.0388,0.0077,0.0388
xrb_Latn,0.0291,0.006,0.0291
som_Latn,0.0583,0.0107,0.0583
mit_Latn,0.068,0.0194,0.068
mjc_Latn,0.0583,0.0154,0.0583
bom_Latn,0.0194,0.0027,0.0194
blz_Latn,0.0485,0.0211,0.0485
kua_Latn,0.0485,0.0171,0.0485
spa_Latn,0.8447,0.4895,0.8447
var_Latn,0.0194,0.0057,0.0194
gkn_Latn,0.0291,0.0054,0.0291
leh_Latn,0.0194,0.0054,0.0194
cso_Latn,0.0194,0.005,0.0194
crm_Cans,0.0,0.0,0.0
rim_Latn,0.0291,0.0124,0.0291
jic_Latn,0.0485,0.0084,0.0485
acu_Latn,0.0291,0.0064,0.0291
cth_Latn,0.0388,0.0151,0.0388
tav_Latn,0.0194,0.0047,0.0194
mxt_Latn,0.0583,0.0174,0.0583
hig_Latn,0.0194,0.007,0.0194
stq_Latn,0.0874,0.0325,0.0874
yrk_Cyrl,0.0388,0.0097,0.0388
ncu_Latn,0.0097,0.003,0.0097
plg_Latn,0.0583,0.0117,0.0583
cax_Latn,0.068,0.0181,0.068
kao_Latn,0.0194,0.0097,0.0194
crq_Latn,0.0388,0.0104,0.0388
tgo_Latn,0.0194,0.0104,0.0194
shj_Latn,0.0194,0.003,0.0194
jav_Latn,0.068,0.0221,0.068
zao_Latn,0.0388,0.0097,0.0388
nii_Latn,0.0194,0.0084,0.0194
nlg_Latn,0.1068,0.0258,0.1068
dks_Latn,0.0194,0.006,0.0194
nop_Latn,0.0291,0.0074,0.0291
maa_Latn,0.0485,0.0147,0.0485
aii_Syrc,0.0097,0.0007,0.0097
nno_Latn,0.4078,0.1724,0.4078
jvn_Latn,0.1553,0.0321,0.1553
dob_Latn,0.0097,0.0044,0.0097
waj_Latn,0.0097,0.0007,0.0097
bci_Latn,0.068,0.0137,0.068
imo_Latn,0.0194,0.002,0.0194
agd_Latn,0.0097,0.0023,0.0097
biu_Latn,0.0291,0.0114,0.0291
pmx_Latn,0.0388,0.0064,0.0388
prs_Arab,0.4563,0.1835,0.4563
ssw_Latn,0.0388,0.0174,0.0388
myk_Latn,0.0194,0.0077,0.0194
nds_Latn,0.0583,0.0318,0.0583
sun_Latn,0.1165,0.0378,0.1165
mcn_Latn,0.0291,0.0131,0.0291
ots_Latn,0.0388,0.0121,0.0388
djk_Latn,0.0388,0.0134,0.0388
cor_Latn,0.0291,0.0161,0.0291
che_Cyrl,0.0097,0.0017,0.0097
hat_Latn,0.1165,0.0415,0.1165
nnh_Latn,0.0291,0.0074,0.0291
rup_Latn,0.0388,0.0141,0.0388
cle_Latn,0.0388,0.0114,0.0388
mpg_Latn,0.0388,0.0144,0.0388
pdt_Latn,0.0971,0.0415,0.0971
bsp_Latn,0.0194,0.003,0.0194
zpi_Latn,0.0485,0.0124,0.0485
dug_Latn,0.0485,0.0137,0.0485
zyb_Latn,0.0097,0.0007,0.0097
ngc_Latn,0.0291,0.0131,0.0291
tpp_Latn,0.068,0.0127,0.068
tha_Thai,0.6893,0.2538,0.6893
tsg_Latn,0.0485,0.0121,0.0485
lsi_Latn,0.0097,0.0037,0.0097
tam_Taml,0.2621,0.0529,0.2621
taq_Latn,0.0097,0.0037,0.0097
tbf_Latn,0.0388,0.0137,0.0388
acr_Latn,0.0485,0.0144,0.0485
fub_Latn,0.0388,0.0144,0.0388
dah_Latn,0.0194,0.0047,0.0194
kat_Geor,0.1068,0.0325,0.1068
ifk_Latn,0.0874,0.0184,0.0874
qul_Latn,0.0777,0.0224,0.0777
nin_Latn,0.0194,0.0054,0.0194
ura_Latn,0.0097,0.004,0.0097
bdh_Latn,0.0194,0.0047,0.0194
gvl_Latn,0.0485,0.01,0.0485
azg_Latn,0.0388,0.0127,0.0388
kmm_Latn,0.0777,0.0214,0.0777
hak_Hani,0.7087,0.2986,0.7087
maf_Latn,0.0291,0.0157,0.0291
ell_Grek,0.6408,0.2163,0.6408
tlj_Latn,0.0194,0.0033,0.0194
nog_Cyrl,0.0388,0.011,0.0388
zca_Latn,0.0388,0.0067,0.0388
muh_Latn,0.0194,0.005,0.0194
kyc_Latn,0.0194,0.0077,0.0194
hau_Latn,0.0583,0.0181,0.0583
cmo_Khmr,0.0,0.0,0.0
mco_Latn,0.0583,0.0124,0.0583
gng_Latn,0.0291,0.0094,0.0291
boj_Latn,0.0388,0.0117,0.0388
nbl_Latn,0.0388,0.0137,0.0388
bis_Latn,0.1068,0.0328,0.1068
sco_Latn,0.3398,0.1413,0.3398
jid_Latn,0.0388,0.0214,0.0388
fal_Latn,0.0291,0.0161,0.0291
rkb_Latn,0.0097,0.0023,0.0097
nsm_Latn,0.0291,0.0097,0.0291
qvz_Latn,0.0388,0.0097,0.0388
sag_Latn,0.0485,0.0127,0.0485
srn_Latn,0.0777,0.0328,0.0777
enb_Latn,0.0097,0.0003,0.0097
yuz_Latn,0.0485,0.0137,0.0485
cbi_Latn,0.0485,0.0104,0.0485
bhl_Latn,0.0194,0.004,0.0194
bmb_Latn,0.0291,0.0114,0.0291
apz_Latn,0.0097,0.0013,0.0097
pio_Latn,0.1068,0.011,0.1068
kqy_Ethi,0.0,0.0,0.0
rnl_Latn,0.0291,0.0094,0.0291
tbg_Latn,0.0194,0.0033,0.0194
mhl_Latn,0.0291,0.0104,0.0291
kgp_Latn,0.0583,0.011,0.0583
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0291,0.009,0.0291
cnl_Latn,0.0194,0.007,0.0194
mqy_Latn,0.0388,0.0137,0.0388
guz_Latn,0.0291,0.0137,0.0291
zai_Latn,0.068,0.0218,0.068
ons_Latn,0.0388,0.0097,0.0388
suk_Latn,0.0291,0.0064,0.0291
kue_Latn,0.0291,0.0057,0.0291
gnd_Latn,0.0291,0.006,0.0291
suz_Deva,0.0,0.0,0.0
fao_Latn,0.1456,0.0482,0.1456
csk_Latn,0.0291,0.006,0.0291
tab_Cyrl,0.0194,0.0027,0.0194
due_Latn,0.0485,0.0134,0.0485
tvk_Latn,0.0194,0.0037,0.0194
bcl_Latn,0.1456,0.0378,0.1456
meu_Latn,0.0291,0.0121,0.0291
ese_Latn,0.0,0.0,0.0
kog_Latn,0.0097,0.003,0.0097
otq_Latn,0.0,0.0,0.0
buk_Latn,0.0291,0.005,0.0291
aze_Latn,0.3107,0.082,0.3107
ayr_Latn,0.068,0.0167,0.068
nou_Latn,0.068,0.0131,0.068
gvn_Latn,0.068,0.0191,0.068
mad_Latn,0.0388,0.0127,0.0388
izr_Latn,0.0291,0.0067,0.0291
mbs_Latn,0.0388,0.0114,0.0388
btt_Latn,0.0194,0.0017,0.0194
kmo_Latn,0.0194,0.004,0.0194
gag_Cyrl,0.0777,0.0281,0.0777
kha_Latn,0.0971,0.0177,0.0971
tna_Latn,0.0388,0.0131,0.0388
hvn_Latn,0.0485,0.0121,0.0485
mwc_Latn,0.0485,0.0191,0.0485
zaj_Latn,0.0194,0.0117,0.0194
ttc_Latn,0.0194,0.0044,0.0194
ojb_Latn,0.0291,0.0084,0.0291
srm_Latn,0.0291,0.006,0.0291
nsn_Latn,0.0194,0.007,0.0194
crt_Latn,0.0388,0.0104,0.0388
urd_Arab,0.4757,0.1694,0.4757
npy_Latn,0.0485,0.0171,0.0485
sbs_Latn,0.0291,0.0107,0.0291
wob_Latn,0.0194,0.005,0.0194
mxq_Latn,0.0291,0.009,0.0291
eko_Latn,0.0194,0.006,0.0194
apy_Latn,0.0097,0.0027,0.0097
lus_Latn,0.0485,0.0154,0.0485
hmr_Latn,0.0874,0.0151,0.0874
kpj_Latn,0.0194,0.0067,0.0194
lem_Latn,0.0291,0.0057,0.0291
tcz_Latn,0.0777,0.0177,0.0777
miq_Latn,0.0388,0.0134,0.0388
kaz_Cyrl,0.1359,0.0348,0.1359
shn_Mymr,0.0,0.0,0.0
kez_Latn,0.0583,0.0097,0.0583
arp_Latn,0.0291,0.0084,0.0291
ian_Latn,0.0194,0.0057,0.0194
kud_Latn,0.0291,0.011,0.0291
tzo_Latn,0.068,0.0127,0.068
ake_Latn,0.0,0.0,0.0
tif_Latn,0.0194,0.0037,0.0194
tlh_Latn,0.2718,0.0673,0.2718
loq_Latn,0.0291,0.0087,0.0291
gaw_Latn,0.0388,0.0114,0.0388
met_Latn,0.0291,0.0087,0.0291
bss_Latn,0.0291,0.0107,0.0291
nhr_Latn,0.0194,0.004,0.0194
njz_Latn,0.0194,0.004,0.0194
nim_Latn,0.0291,0.0114,0.0291
bbr_Latn,0.0291,0.0054,0.0291
nys_Latn,0.0388,0.0134,0.0388
snw_Latn,0.0583,0.0114,0.0583
ajz_Latn,0.0291,0.0107,0.0291
aim_Latn,0.0291,0.007,0.0291
nlc_Latn,0.0388,0.0077,0.0388
gux_Latn,0.0388,0.0067,0.0388
not_Latn,0.0194,0.0033,0.0194
urb_Latn,0.0097,0.0027,0.0097
aso_Latn,0.0194,0.006,0.0194
mxp_Latn,0.0291,0.0077,0.0291
lbk_Latn,0.0485,0.0238,0.0485
rmy_Latn,0.068,0.0221,0.068
kde_Latn,0.0291,0.0124,0.0291
tar_Latn,0.0291,0.0064,0.0291
nso_Latn,0.0291,0.0157,0.0291
ivv_Latn,0.0583,0.0167,0.0583
cbk_Latn,0.7282,0.2916,0.7282
dgr_Latn,0.0291,0.0064,0.0291
twu_Latn,0.0485,0.0164,0.0485
npi_Deva,0.3981,0.0914,0.3981
tem_Latn,0.0291,0.0141,0.0291
agn_Latn,0.0777,0.0211,0.0777
awa_Deva,0.301,0.0867,0.301
whk_Latn,0.0388,0.0131,0.0388
atg_Latn,0.0097,0.004,0.0097
pne_Latn,0.0777,0.0198,0.0777
naw_Latn,0.0291,0.005,0.0291
kss_Latn,0.0097,0.0003,0.0097
kuj_Latn,0.0194,0.0047,0.0194
eza_Latn,0.0194,0.0097,0.0194
iri_Latn,0.0388,0.0131,0.0388
dyo_Latn,0.0388,0.0104,0.0388
bud_Latn,0.0388,0.01,0.0388
tih_Latn,0.0485,0.0161,0.0485
guj_Gujr,0.4369,0.1055,0.4369
hay_Latn,0.0388,0.0164,0.0388
tlf_Latn,0.0388,0.0067,0.0388
eus_Latn,0.1068,0.0341,0.1068
ary_Arab,0.1456,0.0311,0.1456
huv_Latn,0.068,0.0164,0.068
mgr_Latn,0.0291,0.0077,0.0291
tnn_Latn,0.0194,0.0054,0.0194
rar_Latn,0.0583,0.0141,0.0583
aoz_Latn,0.0388,0.0208,0.0388
heh_Latn,0.0194,0.005,0.0194
gso_Latn,0.0485,0.0171,0.0485
zae_Latn,0.0291,0.0124,0.0291
mwl_Latn,0.5437,0.2628,0.5437
mya_Mymr,0.1068,0.0171,0.1068
xuo_Latn,0.0097,0.0003,0.0097
ebk_Latn,0.0388,0.0171,0.0388
bgr_Latn,0.0388,0.0097,0.0388
mak_Latn,0.0583,0.01,0.0583
ubr_Latn,0.0583,0.0121,0.0583
yim_Latn,0.0583,0.0181,0.0583
tbk_Latn,0.0583,0.0151,0.0583
got_Latn,0.0388,0.0144,0.0388
tqb_Latn,0.0097,0.0013,0.0097
ktu_Latn,0.0291,0.01,0.0291
car_Latn,0.0291,0.0104,0.0291
yva_Latn,0.0291,0.0067,0.0291
hot_Latn,0.0194,0.0027,0.0194
nsa_Latn,0.0485,0.0134,0.0485
kbr_Latn,0.0194,0.001,0.0194
mmn_Latn,0.0291,0.0057,0.0291
ceb_Latn,0.1165,0.0355,0.1165
sue_Latn,0.0291,0.0054,0.0291
mzw_Latn,0.0194,0.0087,0.0194
tur_Latn,0.5049,0.2313,0.5049
ksr_Latn,0.0194,0.0017,0.0194
deu_Latn,0.7476,0.3803,0.7476
hnj_Latn,0.0097,0.001,0.0097
nav_Latn,0.0388,0.0067,0.0388
mog_Latn,0.0583,0.0144,0.0583
qwh_Latn,0.0874,0.0254,0.0874
faa_Latn,0.0097,0.0013,0.0097
mlp_Latn,0.0291,0.008,0.0291
ghs_Latn,0.0194,0.002,0.0194
gbo_Latn,0.0097,0.0017,0.0097
top_Latn,0.0971,0.009,0.0971
zsr_Latn,0.0291,0.0114,0.0291
cjp_Latn,0.0485,0.0147,0.0485
dip_Latn,0.0291,0.008,0.0291
bvr_Latn,0.0291,0.008,0.0291
esk_Latn,0.0485,0.0161,0.0485
ljp_Latn,0.1068,0.0435,0.1068
mcb_Latn,0.0097,0.003,0.0097
maj_Latn,0.0388,0.0124,0.0388
knv_Latn,0.0097,0.001,0.0097
smo_Latn,0.068,0.0234,0.068
kma_Latn,0.0194,0.005,0.0194
bgs_Latn,0.0777,0.0164,0.0777
lbj_Tibt,0.0,0.0,0.0
guw_Latn,0.0291,0.0084,0.0291
bdd_Latn,0.0194,0.0064,0.0194
zad_Latn,0.0388,0.0134,0.0388
mwm_Latn,0.0194,0.004,0.0194
cko_Latn,0.0388,0.009,0.0388
ium_Laoo,0.0097,0.001,0.0097
mmo_Latn,0.0291,0.0047,0.0291
gil_Latn,0.0291,0.0037,0.0291
yuw_Latn,0.0097,0.0017,0.0097
bkv_Latn,0.0194,0.0047,0.0194
cas_Latn,0.0485,0.009,0.0485
gyr_Latn,0.0583,0.0131,0.0583
eka_Latn,0.0291,0.0067,0.0291
wol_Latn,0.0291,0.0094,0.0291
dad_Latn,0.0194,0.0067,0.0194
pib_Latn,0.0097,0.004,0.0097
hil_Latn,0.1359,0.0462,0.1359
apw_Latn,0.0583,0.0077,0.0583
nuy_Latn,0.0388,0.0137,0.0388
kdj_Latn,0.0194,0.0084,0.0194
las_Latn,0.0194,0.0044,0.0194
cwt_Latn,0.0194,0.0054,0.0194
nki_Latn,0.0485,0.0181,0.0485
tos_Latn,0.0583,0.0087,0.0583
mca_Latn,0.0874,0.0117,0.0874
lid_Latn,0.0194,0.0047,0.0194
bex_Latn,0.0291,0.006,0.0291
nng_Latn,0.0388,0.01,0.0388
pbb_Latn,0.0388,0.0127,0.0388
dis_Latn,0.0291,0.007,0.0291
bfo_Latn,0.0097,0.0087,0.0097
aau_Latn,0.0194,0.0074,0.0194
irk_Latn,0.0388,0.0124,0.0388
crh_Cyrl,0.0291,0.007,0.0291
mkd_Cyrl,0.7184,0.2946,0.7184
teo_Latn,0.0291,0.0107,0.0291
kpf_Latn,0.0291,0.0107,0.0291
cap_Latn,0.0388,0.007,0.0388
lww_Latn,0.0194,0.0074,0.0194
enl_Latn,0.0485,0.0141,0.0485
bku_Latn,0.0291,0.011,0.0291
wiv_Latn,0.068,0.0244,0.068
yut_Latn,0.0485,0.0117,0.0485
hla_Latn,0.0583,0.0141,0.0583
quc_Latn,0.0291,0.0087,0.0291
ium_Latn,0.0097,0.0044,0.0097
kbp_Latn,0.0291,0.0097,0.0291
kdi_Latn,0.0291,0.01,0.0291
gla_Latn,0.0388,0.0134,0.0388
vut_Latn,0.0291,0.0097,0.0291
apt_Latn,0.0291,0.008,0.0291
gvc_Latn,0.0388,0.008,0.0388
sml_Latn,0.0291,0.005,0.0291
aia_Latn,0.0291,0.0094,0.0291
gej_Latn,0.0291,0.0157,0.0291
syc_Syrc,0.0194,0.0027,0.0194
nia_Latn,0.0291,0.007,0.0291
usp_Latn,0.0291,0.0141,0.0291
dje_Latn,0.0485,0.0184,0.0485
pbc_Latn,0.0583,0.0151,0.0583
tik_Latn,0.0194,0.0037,0.0194
bug_Latn,0.0485,0.0121,0.0485
akh_Latn,0.0194,0.0054,0.0194
esi_Latn,0.068,0.0174,0.068
kje_Latn,0.0291,0.0121,0.0291
arz_Arab,0.5437,0.1965,0.5437
mug_Latn,0.0583,0.0144,0.0583
syb_Latn,0.0485,0.0191,0.0485
mvp_Latn,0.0485,0.0201,0.0485
bjk_Latn,0.0194,0.008,0.0194
ksp_Latn,0.0194,0.008,0.0194
atd_Latn,0.0291,0.011,0.0291
nbc_Latn,0.0291,0.01,0.0291
kpg_Latn,0.068,0.0208,0.068
ojs_Cans,0.0097,0.0003,0.0097
agm_Latn,0.0194,0.0027,0.0194
mhr_Cyrl,0.0194,0.0054,0.0194
kew_Latn,0.0291,0.0084,0.0291
sey_Latn,0.068,0.0127,0.068
srp_Cyrl,0.6019,0.2524,0.6019
ndz_Latn,0.0291,0.004,0.0291
myb_Latn,0.0194,0.0064,0.0194
nfr_Latn,0.0485,0.0174,0.0485
apu_Latn,0.0194,0.0023,0.0194
hin_Latn,0.0485,0.0137,0.0485
kpv_Cyrl,0.0194,0.005,0.0194
cta_Latn,0.0485,0.0064,0.0485
qub_Latn,0.0485,0.0127,0.0485
kbq_Latn,0.0291,0.0074,0.0291
afr_Latn,0.7864,0.3934,0.7864
crx_Latn,0.0485,0.0127,0.0485
xon_Latn,0.0388,0.0134,0.0388
poy_Latn,0.0388,0.0114,0.0388
enm_Latn,0.699,0.469,0.699
caq_Latn,0.0194,0.0047,0.0194
ife_Latn,0.0097,0.0007,0.0097
chz_Latn,0.0291,0.008,0.0291
cop_Copt,0.0,0.0,0.0
aln_Latn,0.0777,0.0352,0.0777
huu_Latn,0.0485,0.0094,0.0485
btx_Latn,0.1068,0.0315,0.1068
mah_Latn,0.0388,0.0141,0.0388
fon_Latn,0.0194,0.004,0.0194
xsu_Latn,0.0194,0.003,0.0194
aeb_Arab,0.1845,0.0475,0.1845
wer_Latn,0.0097,0.0044,0.0097
dhm_Latn,0.0485,0.01,0.0485
trq_Latn,0.0291,0.0104,0.0291
neb_Latn,0.0194,0.004,0.0194
swh_Latn,0.0874,0.0281,0.0874
daa_Latn,0.0291,0.0064,0.0291
kwf_Latn,0.068,0.0171,0.068
apr_Latn,0.0194,0.0084,0.0194
tbo_Latn,0.0291,0.0077,0.0291
sda_Latn,0.0388,0.0161,0.0388
mks_Latn,0.0485,0.0094,0.0485
lav_Latn,0.4175,0.1336,0.4175
nse_Latn,0.0291,0.0124,0.0291
kaa_Latn,0.0388,0.0087,0.0388
ifb_Latn,0.0583,0.0137,0.0583
oji_Latn,0.0485,0.0181,0.0485
cav_Latn,0.0388,0.0121,0.0388
hop_Latn,0.0583,0.0107,0.0583
zaa_Latn,0.0874,0.0174,0.0874
bao_Latn,0.0388,0.01,0.0388
bzi_Thai,0.0097,0.0003,0.0097
nyy_Latn,0.0291,0.0114,0.0291
mda_Latn,0.0097,0.0007,0.0097
pse_Latn,0.165,0.0479,0.165
ztq_Latn,0.0971,0.0191,0.0971
ike_Cans,0.0097,0.0003,0.0097
xpe_Latn,0.0291,0.0064,0.0291
gur_Latn,0.0291,0.008,0.0291
ksw_Mymr,0.0,0.0,0.0
msy_Latn,0.0388,0.0097,0.0388
reg_Latn,0.0291,0.0084,0.0291
