code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
esi_Latn,0.0097,0.0067,0.0097
tik_Latn,0.0,0.0,0.0
bug_Latn,0.0097,0.0037,0.0097
pbc_Latn,0.0097,0.0015,0.0097
dje_Latn,0.0291,0.0142,0.0291
usp_Latn,0.0097,0.009,0.0097
ndz_Latn,0.0,0.0,0.0
myb_Latn,0.0194,0.0052,0.0194
srp_Cyrl,0.6602,0.3473,0.6602
sey_Latn,0.0097,0.0052,0.0097
kew_Latn,0.0097,0.0052,0.0097
mhr_Cyrl,0.0097,0.0037,0.0097
agm_Latn,0.0,0.0,0.0
nbc_Latn,0.0097,0.0037,0.0097
atd_Latn,0.0097,0.0015,0.0097
ojs_Cans,0.0,0.0,0.0
kpg_Latn,0.0097,0.0075,0.0097
ksp_Latn,0.0194,0.0045,0.0194
bjk_Latn,0.0097,0.0022,0.0097
apt_Latn,0.0194,0.0105,0.0194
vut_Latn,0.0,0.0,0.0
gla_Latn,0.0874,0.0358,0.0874
kdi_Latn,0.0097,0.0022,0.0097
ium_Latn,0.0,0.0,0.0
quc_Latn,0.0097,0.0007,0.0097
kbp_Latn,0.0097,0.0007,0.0097
wiv_Latn,0.0291,0.0097,0.0291
hla_Latn,0.0097,0.0045,0.0097
yut_Latn,0.0,0.0,0.0
enl_Latn,0.0,0.0,0.0
lww_Latn,0.0,0.0,0.0
cap_Latn,0.0097,0.0022,0.0097
bku_Latn,0.0097,0.0022,0.0097
nia_Latn,0.0194,0.0037,0.0194
syc_Syrc,0.0,0.0,0.0
gej_Latn,0.0194,0.0149,0.0194
sml_Latn,0.0194,0.003,0.0194
aia_Latn,0.0097,0.0015,0.0097
gvc_Latn,0.0,0.0,0.0
pbb_Latn,0.0097,0.0015,0.0097
bfo_Latn,0.0097,0.0037,0.0097
dis_Latn,0.0097,0.0015,0.0097
bex_Latn,0.0097,0.0015,0.0097
nng_Latn,0.0,0.0,0.0
mca_Latn,0.0,0.0,0.0
lid_Latn,0.0,0.0,0.0
tos_Latn,0.0,0.0,0.0
nki_Latn,0.0194,0.006,0.0194
kpf_Latn,0.0194,0.0097,0.0194
teo_Latn,0.0291,0.0119,0.0291
mkd_Cyrl,0.7184,0.3816,0.7184
crh_Cyrl,0.0097,0.0022,0.0097
aau_Latn,0.0097,0.003,0.0097
irk_Latn,0.0,0.0,0.0
vmy_Latn,0.0097,0.0082,0.0097
xbr_Latn,0.0097,0.0037,0.0097
