,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
kin_Latn,0.0616,0.0138,0.0774,0.0165,0.0153,0.0039,0.0012,0.0034,0.0006,0.0215
khm_Khmr,0.0913,0.0169,0.0646,0.0078,0.0057,0.0000,0.0000,0.0016,0.0000,0.0209
som_Latn,0.0638,0.0191,0.0660,0.0133,0.0110,0.0023,0.0018,0.0045,0.0039,0.0206
bem_Latn,0.0437,0.0161,0.0687,0.0131,0.0120,0.0056,0.0047,0.0069,0.0050,0.0195
pag_Latn,0.0411,0.0163,0.0537,0.0131,0.0129,0.0101,0.0075,0.0091,0.0052,0.0188
tso_Latn,0.0289,0.0104,0.0887,0.0102,0.0093,0.0036,0.0026,0.0072,0.0044,0.0184
lug_Latn,0.0305,0.0059,0.0957,0.0087,0.0082,0.0011,0.0028,0.0028,0.0034,0.0177
mya_Mymr,0.0560,0.0134,0.0667,0.0099,0.0088,0.0000,0.0001,0.0003,0.0000,0.0172
twi_Latn,0.0245,0.0116,0.0728,0.0106,0.0103,0.0074,0.0051,0.0062,0.0039,0.0169
fij_Latn,0.0277,0.0018,0.0993,0.0055,0.0038,0.0003,0.0006,0.0009,0.0026,0.0158
ban_Latn,0.0235,0.0086,0.0592,0.0133,0.0125,0.0018,0.0004,0.0050,0.0001,0.0138
ace_Latn,0.0106,0.0108,0.0520,0.0123,0.0094,0.0041,0.0051,0.0067,0.0037,0.0128
lin_Latn,0.0157,0.0049,0.0407,0.0119,0.0118,0.0056,0.0038,0.0066,0.0027,0.0115
kik_Latn,0.0177,0.0041,0.0421,0.0068,0.0069,0.0017,0.0009,0.0064,0.0006,0.0097
quy_Latn,0.0100,0.0061,0.0425,0.0085,0.0069,0.0038,0.0029,0.0048,0.0004,0.0095
ayr_Latn,0.0086,0.0039,0.0235,0.0068,0.0058,0.0051,0.0024,0.0069,0.0033,0.0074
luo_Latn,0.0050,0.0090,0.0198,0.0072,0.0055,0.0060,0.0038,0.0047,0.0040,0.0072
wol_Latn,0.0030,0.0028,0.0359,0.0068,0.0064,0.0021,0.0021,0.0014,0.0001,0.0067
bam_Latn,0.0088,0.0053,0.0149,0.0077,0.0062,0.0047,0.0034,0.0047,0.0042,0.0066
dyu_Latn,0.0072,0.0020,0.0274,0.0039,0.0033,0.0042,0.0026,0.0043,0.0043,0.0066
bug_Latn,0.0066,0.0012,0.0221,0.0094,0.0093,0.0030,0.0037,0.0036,0.0003,0.0066
sag_Latn,0.0038,0.0051,0.0132,0.0084,0.0076,0.0050,0.0031,0.0059,0.0042,0.0062
kab_Latn,0.0044,0.0029,0.0215,0.0061,0.0046,0.0048,0.0015,0.0050,0.0037,0.0061
fuv_Latn,0.0032,0.0029,0.0163,0.0065,0.0033,0.0002,0.0022,0.0007,0.0000,0.0039
ewe_Latn,0.0028,0.0010,0.0177,0.0036,0.0039,0.0015,0.0006,0.0036,0.0004,0.0039
tir_Ethi,0.0251,0.0041,0.0041,0.0007,0.0003,0.0000,0.0000,0.0007,0.0000,0.0039
dik_Latn,0.0004,0.0035,0.0107,0.0044,0.0026,0.0026,0.0022,0.0041,0.0037,0.0038
mos_Latn,0.0016,0.0020,0.0093,0.0061,0.0050,0.0009,0.0004,0.0031,0.0014,0.0033
kac_Latn,0.0028,0.0000,0.0153,0.0046,0.0022,0.0011,0.0001,0.0010,0.0016,0.0032
kbp_Latn,0.0044,0.0018,0.0058,0.0043,0.0034,0.0002,0.0022,0.0019,0.0000,0.0027
shn_Mymr,0.0008,0.0000,0.0149,0.0015,0.0024,0.0006,0.0000,0.0000,0.0000,0.0022
taq_Latn,0.0002,0.0018,0.0111,0.0015,0.0019,0.0002,0.0000,0.0017,0.0000,0.0020
nus_Latn,0.0034,0.0000,0.0035,0.0010,0.0005,0.0023,0.0010,0.0028,0.0011,0.0017
fon_Latn,0.0018,0.0000,0.0066,0.0009,0.0009,0.0005,0.0009,0.0012,0.0001,0.0014
