code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
kuj_Latn,0.0777,0.0134,0.0777
naw_Latn,0.0874,0.0119,0.0874
pne_Latn,0.1262,0.0254,0.1262
kss_Latn,0.0,0.0,0.0
whk_Latn,0.1553,0.0306,0.1553
atg_Latn,0.068,0.0224,0.068
agn_Latn,0.2039,0.0597,0.2039
awa_Deva,0.8155,0.2039,0.8155
tem_Latn,0.0583,0.0127,0.0583
mmn_Latn,0.1845,0.0485,0.1845
kbr_Latn,0.0583,0.0075,0.0583
nsa_Latn,0.1068,0.0194,0.1068
car_Latn,0.1553,0.0202,0.1553
hot_Latn,0.0777,0.0142,0.0777
yva_Latn,0.0485,0.0119,0.0485
tqb_Latn,0.0097,0.0007,0.0097
ktu_Latn,0.1845,0.0642,0.1845
got_Latn,0.233,0.0665,0.233
tbk_Latn,0.2039,0.0202,0.2039
ubr_Latn,0.1359,0.0381,0.1359
yim_Latn,0.0874,0.0246,0.0874
mak_Latn,0.165,0.0164,0.165
ebk_Latn,0.165,0.0351,0.165
bgr_Latn,0.1553,0.0232,0.1553
xuo_Latn,0.0777,0.0082,0.0777
gso_Latn,0.1262,0.0261,0.1262
heh_Latn,0.3107,0.1068,0.3107
zae_Latn,0.1359,0.0172,0.1359
mwl_Latn,0.9515,0.5131,0.9515
mya_Mymr,0.9709,0.4593,0.9709
rar_Latn,0.835,0.3786,0.835
tnn_Latn,0.0583,0.0075,0.0583
aoz_Latn,0.1165,0.0344,0.1165
huv_Latn,0.1456,0.0217,0.1456
mgr_Latn,0.3689,0.1531,0.3689
nhr_Latn,0.1068,0.0105,0.1068
loq_Latn,0.0583,0.0261,0.0583
gaw_Latn,0.0971,0.0164,0.0971
bss_Latn,0.068,0.0142,0.068
met_Latn,0.0971,0.0254,0.0971
tlh_Latn,0.3301,0.0926,0.3301
tif_Latn,0.0194,0.0015,0.0194
ake_Latn,0.0194,0.0015,0.0194
tzo_Latn,0.068,0.0082,0.068
kud_Latn,0.0485,0.0112,0.0485
arp_Latn,0.068,0.0187,0.068
ian_Latn,0.0388,0.0037,0.0388
kez_Latn,0.1262,0.0187,0.1262
tcz_Latn,0.1456,0.0269,0.1456
miq_Latn,0.0777,0.0179,0.0777
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.9612,0.5414,0.9612
lem_Latn,0.0485,0.0067,0.0485
lus_Latn,0.1748,0.0232,0.1748
hmr_Latn,0.1068,0.0217,0.1068
kpj_Latn,0.0583,0.0097,0.0583
npi_Deva,0.8932,0.4892,0.8932
twu_Latn,0.1262,0.0261,0.1262
cbk_Latn,0.7476,0.3092,0.7476
dgr_Latn,0.0388,0.0052,0.0388
nso_Latn,0.9417,0.4974,0.9417
ivv_Latn,0.1942,0.0358,0.1942
kde_Latn,0.2524,0.0762,0.2524
tar_Latn,0.0485,0.0037,0.0485
rmy_Latn,0.1553,0.0485,0.1553
lbk_Latn,0.1845,0.0463,0.1845
aso_Latn,0.0194,0.0015,0.0194
mxp_Latn,0.1262,0.0112,0.1262
not_Latn,0.0583,0.0142,0.0583
urb_Latn,0.0097,0.0007,0.0097
nlc_Latn,0.068,0.009,0.068
gux_Latn,0.0971,0.0269,0.0971
aim_Latn,0.0971,0.0209,0.0971
snw_Latn,0.1262,0.0239,0.1262
ajz_Latn,0.1068,0.0209,0.1068
nys_Latn,0.1165,0.0239,0.1165
nim_Latn,0.165,0.0448,0.165
bbr_Latn,0.0485,0.0112,0.0485
njz_Latn,0.0485,0.0082,0.0485
otq_Latn,0.068,0.0052,0.068
buk_Latn,0.0971,0.0164,0.0971
ese_Latn,0.0097,0.0007,0.0097
kog_Latn,0.0291,0.0037,0.0291
meu_Latn,0.1456,0.0269,0.1456
bcl_Latn,0.6117,0.292,0.6117
tvk_Latn,0.0291,0.0067,0.0291
tab_Cyrl,0.068,0.0119,0.068
due_Latn,0.1553,0.0478,0.1553
fao_Latn,0.9709,0.5519,0.9709
csk_Latn,0.0485,0.0127,0.0485
gnd_Latn,0.0485,0.0082,0.0485
suz_Deva,0.0388,0.0045,0.0388
kue_Latn,0.1068,0.0157,0.1068
suk_Latn,0.301,0.0792,0.301
ons_Latn,0.0485,0.0105,0.0485
apy_Latn,0.0291,0.0045,0.0291
wob_Latn,0.0194,0.0037,0.0194
mxq_Latn,0.068,0.0097,0.068
eko_Latn,0.1359,0.0553,0.1359
npy_Latn,0.1262,0.0306,0.1262
sbs_Latn,0.2621,0.1016,0.2621
nsn_Latn,0.0874,0.0164,0.0874
urd_Arab,0.9709,0.4817,0.9709
crt_Latn,0.0583,0.009,0.0583
ojb_Latn,0.068,0.006,0.068
srm_Latn,0.0583,0.0112,0.0583
ttc_Latn,0.0777,0.0127,0.0777
