code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
cnh_Latn,0.1068,0.0232,0.1068
nmz_Latn,0.0971,0.0157,0.0971
alt_Cyrl,0.6214,0.2502,0.6214
mck_Latn,0.1845,0.0665,0.1845
lin_Latn,0.2913,0.0799,0.2913
mfe_Latn,0.8544,0.4361,0.8544
zpl_Latn,0.1165,0.0239,0.1165
anm_Latn,0.1165,0.0217,0.1165
kyg_Latn,0.0097,0.0007,0.0097
fra_Latn,0.9806,0.7005,0.9806
tee_Latn,0.0485,0.0067,0.0485
yaq_Latn,0.0291,0.0022,0.0291
bon_Latn,0.068,0.009,0.068
cek_Latn,0.0583,0.0075,0.0583
kub_Latn,0.068,0.0134,0.068
emp_Latn,0.0291,0.006,0.0291
tte_Latn,0.0291,0.0082,0.0291
eng_Latn,1.0,1.0,1.0
oym_Latn,0.0388,0.0037,0.0388
sab_Latn,0.0777,0.0142,0.0777
kal_Latn,0.0777,0.0246,0.0777
quh_Latn,0.1262,0.0291,0.1262
tgl_Latn,1.0,0.6699,1.0
gid_Latn,0.0874,0.0187,0.0874
mhi_Latn,0.1553,0.0463,0.1553
tuk_Cyrl,0.699,0.2659,0.699
swe_Latn,0.9612,0.655,0.9612
bnp_Latn,0.1262,0.0291,0.1262
fuf_Latn,0.1262,0.0336,0.1262
nld_Latn,1.0,0.8521,1.0
snp_Latn,0.0388,0.0052,0.0388
shi_Latn,0.0194,0.0045,0.0194
ald_Latn,0.0777,0.0097,0.0777
mwe_Latn,0.165,0.0351,0.165
nij_Latn,0.3204,0.0866,0.3204
vid_Latn,0.2913,0.1046,0.2913
wca_Latn,0.0097,0.0007,0.0097
kyf_Latn,0.0388,0.003,0.0388
nhu_Latn,0.0388,0.0105,0.0388
kix_Latn,0.0971,0.0149,0.0971
zpm_Latn,0.0777,0.0134,0.0777
sja_Latn,0.0777,0.0097,0.0777
qxr_Latn,0.0583,0.0112,0.0583
akb_Latn,0.3204,0.0896,0.3204
bum_Latn,0.1553,0.0433,0.1553
klv_Latn,0.0874,0.0202,0.0874
bfd_Latn,0.1068,0.0142,0.1068
tzh_Latn,0.1748,0.0306,0.1748
pbi_Latn,0.0388,0.009,0.0388
nnl_Latn,0.1165,0.0314,0.1165
pkb_Latn,0.3495,0.1285,0.3495
ndp_Latn,0.0777,0.0194,0.0777
lsm_Latn,0.233,0.0732,0.233
tpt_Latn,0.1165,0.0149,0.1165
cut_Latn,0.0971,0.0194,0.0971
iqw_Latn,0.0971,0.0246,0.0971
ses_Latn,0.0971,0.0284,0.0971
yap_Latn,0.1359,0.0276,0.1359
gnb_Latn,0.1165,0.0187,0.1165
ted_Latn,0.0,0.0,0.0
fai_Latn,0.0388,0.0045,0.0388
agg_Latn,0.0485,0.0037,0.0485
biv_Latn,0.1068,0.0261,0.1068
vap_Latn,0.1553,0.0284,0.1553
kaq_Latn,0.0485,0.0067,0.0485
gjn_Latn,0.0874,0.0164,0.0874
nsu_Latn,0.1456,0.0358,0.1456
aer_Latn,0.068,0.0082,0.068
pon_Latn,0.0388,0.0082,0.0388
caf_Latn,0.0874,0.0134,0.0874
kqo_Latn,0.0,0.0,0.0
san_Deva,0.4078,0.0799,0.4078
apb_Latn,0.0583,0.0112,0.0583
rmc_Latn,0.165,0.0597,0.165
mbh_Latn,0.0971,0.0157,0.0971
gfk_Latn,0.0874,0.0239,0.0874
lhm_Latn,0.0097,0.0007,0.0097
xsb_Latn,0.2427,0.0553,0.2427
cnt_Latn,0.0777,0.009,0.0777
gub_Latn,0.0097,0.0007,0.0097
pck_Latn,0.165,0.0329,0.165
mto_Latn,0.0777,0.006,0.0777
pfe_Latn,0.0777,0.0194,0.0777
jra_Latn,0.0583,0.0097,0.0583
rro_Latn,0.1359,0.0299,0.1359
aon_Latn,0.0388,0.006,0.0388
ewo_Latn,0.1553,0.0366,0.1553
hub_Latn,0.0583,0.0142,0.0583
aly_Latn,0.0485,0.006,0.0485
khz_Latn,0.1262,0.0284,0.1262
men_Latn,0.068,0.0232,0.068
gam_Latn,0.0874,0.009,0.0874
amf_Latn,0.0485,0.0082,0.0485
tir_Ethi,0.2816,0.0568,0.2816
mfy_Latn,0.1262,0.0239,0.1262
szb_Latn,0.0777,0.0119,0.0777
bcw_Latn,0.0485,0.0037,0.0485
djr_Latn,0.0194,0.0015,0.0194
cok_Latn,0.0874,0.0112,0.0874
nnq_Latn,0.1845,0.0709,0.1845
nmf_Latn,0.0874,0.0202,0.0874
amh_Ethi,0.9806,0.6169,0.9806
qxo_Latn,0.1068,0.0164,0.1068
yam_Latn,0.0388,0.0045,0.0388
cui_Latn,0.0777,0.009,0.0777
abt_Latn,0.0583,0.0045,0.0583
tpi_Latn,0.1262,0.0224,0.1262
pmf_Latn,0.1262,0.0172,0.1262
mle_Latn,0.0291,0.0037,0.0291
iws_Latn,0.068,0.0075,0.068
mor_Latn,0.0,0.0,0.0
lew_Latn,0.1942,0.0418,0.1942
glv_Latn,0.1165,0.0284,0.1165
stn_Latn,0.0777,0.0142,0.0777
hix_Latn,0.0,0.0,0.0
cag_Latn,0.1456,0.0209,0.1456
ncj_Latn,0.1359,0.0276,0.1359
dgi_Latn,0.068,0.0127,0.068
tgp_Latn,0.1748,0.0433,0.1748
ldi_Latn,0.0874,0.0366,0.0874
crn_Latn,0.1068,0.0097,0.1068
nst_Latn,0.0291,0.0022,0.0291
qvc_Latn,0.0291,0.006,0.0291
dww_Latn,0.068,0.0194,0.068
xed_Latn,0.0583,0.0134,0.0583
shu_Latn,0.0583,0.0157,0.0583
ilo_Latn,0.2136,0.062,0.2136
mrw_Latn,0.1456,0.0396,0.1456
guc_Latn,0.0583,0.0105,0.0583
mbi_Latn,0.0583,0.0082,0.0583
xsr_Deva,0.0097,0.0007,0.0097
tku_Latn,0.0874,0.0105,0.0874
sld_Latn,0.0291,0.0045,0.0291
qxn_Latn,0.1359,0.0284,0.1359
prk_Latn,0.068,0.0112,0.068
pab_Latn,0.0777,0.0134,0.0777
nnp_Latn,0.0874,0.0149,0.0874
beo_Latn,0.0194,0.0015,0.0194
nhi_Latn,0.1359,0.0306,0.1359
gqr_Latn,0.0388,0.0112,0.0388
uvh_Latn,0.0388,0.006,0.0388
cym_Latn,1.0,0.6684,1.0
kjs_Latn,0.0583,0.0119,0.0583
grt_Beng,0.0097,0.0022,0.0097
zpq_Latn,0.0777,0.0097,0.0777
adl_Latn,0.0874,0.0105,0.0874
gkp_Latn,0.0388,0.0067,0.0388
mos_Latn,0.0971,0.0246,0.0971
ksf_Latn,0.0583,0.0075,0.0583
nbu_Latn,0.0971,0.0179,0.0971
cco_Latn,0.0291,0.0045,0.0291
tuf_Latn,0.0388,0.0075,0.0388
yre_Latn,0.0291,0.0037,0.0291
yal_Latn,0.068,0.0149,0.068
tca_Latn,0.0194,0.0015,0.0194
ntr_Latn,0.0485,0.0082,0.0485
kaa_Cyrl,0.932,0.4197,0.932
njb_Latn,0.0777,0.0149,0.0777
zas_Latn,0.0874,0.0269,0.0874
bbj_Latn,0.1068,0.0217,0.1068
bqc_Latn,0.0777,0.0209,0.0777
rad_Latn,0.1359,0.0239,0.1359
mbj_Latn,0.0485,0.0075,0.0485
trc_Latn,0.0583,0.0067,0.0583
hye_Latn,0.0485,0.0112,0.0485
mmx_Latn,0.0583,0.0187,0.0583
quw_Latn,0.1068,0.0299,0.1068
wib_Latn,0.068,0.0097,0.068
enx_Latn,0.1165,0.0127,0.1165
pol_Latn,0.9806,0.6804,0.9806
kum_Cyrl,0.699,0.23,0.699
tue_Latn,0.1068,0.0142,0.1068
mop_Latn,0.0874,0.0112,0.0874
leu_Latn,0.0777,0.0366,0.0777
uli_Latn,0.1748,0.0351,0.1748
uig_Latn,0.5243,0.1434,0.5243
cuk_Latn,0.0874,0.0157,0.0874
yao_Latn,0.1942,0.0568,0.1942
kff_Telu,0.1165,0.0157,0.1165
ndo_Latn,0.165,0.0396,0.165
iba_Latn,0.6117,0.2211,0.6117
sur_Latn,0.0874,0.0142,0.0874
dig_Latn,0.5437,0.227,0.5437
msk_Latn,0.1553,0.0366,0.1553
xav_Latn,0.0,0.0,0.0
sop_Latn,0.2233,0.0799,0.2233
mcu_Latn,0.0485,0.0149,0.0485
lip_Latn,0.165,0.0239,0.165
ory_Orya,0.9709,0.6311,0.9709
ind_Latn,0.9806,0.7132,0.9806
mur_Latn,0.068,0.0172,0.068
obo_Latn,0.1165,0.0187,0.1165
mqb_Latn,0.0874,0.0112,0.0874
cnw_Latn,0.0971,0.0239,0.0971
snn_Latn,0.068,0.0082,0.068
khy_Latn,0.0874,0.0329,0.0874
alz_Latn,0.1748,0.0403,0.1748
aom_Latn,0.0777,0.006,0.0777
bru_Latn,0.0583,0.0075,0.0583
zar_Latn,0.0777,0.0105,0.0777
cbr_Latn,0.0777,0.0112,0.0777
nch_Latn,0.0388,0.0097,0.0388
yua_Latn,0.1068,0.0239,0.1068
hlt_Latn,0.0874,0.0112,0.0874
qva_Latn,0.0971,0.0217,0.0971
sbk_Latn,0.2524,0.106,0.2524
giz_Latn,0.1165,0.0299,0.1165
ach_Latn,0.0777,0.0314,0.0777
ctu_Latn,0.0583,0.009,0.0583
kgk_Latn,0.0485,0.0052,0.0485
kvj_Latn,0.0485,0.0097,0.0485
sus_Latn,0.1068,0.0209,0.1068
mza_Latn,0.0583,0.0082,0.0583
yby_Latn,0.0388,0.0052,0.0388
ntp_Latn,0.0291,0.0022,0.0291
tcc_Latn,0.0777,0.0232,0.0777
lcm_Latn,0.1359,0.0291,0.1359
mih_Latn,0.1262,0.0194,0.1262
yan_Latn,0.0971,0.0164,0.0971
nri_Latn,0.1553,0.0291,0.1553
ign_Latn,0.1165,0.0119,0.1165
ksd_Latn,0.1845,0.0568,0.1845
khm_Khmr,0.932,0.4623,0.932
ptp_Latn,0.0583,0.0105,0.0583
ame_Latn,0.068,0.0134,0.068
tof_Latn,0.0485,0.0134,0.0485
pwg_Latn,0.0971,0.0149,0.0971
bsj_Latn,0.0485,0.0187,0.0485
qxl_Latn,0.0583,0.0179,0.0583
bvd_Latn,0.0485,0.0105,0.0485
soq_Latn,0.0583,0.0119,0.0583
hye_Armn,0.9417,0.6131,0.9417
pri_Latn,0.1068,0.0142,0.1068
ahk_Latn,0.0,0.0,0.0
bus_Latn,0.0874,0.0157,0.0874
dif_Latn,0.1553,0.0299,0.1553
gwi_Latn,0.1068,0.0157,0.1068
bem_Latn,0.4951,0.2054,0.4951
ikk_Latn,0.3592,0.0732,0.3592
tpm_Latn,0.0583,0.0202,0.0583
arn_Latn,0.1262,0.0224,0.1262
ndi_Latn,0.068,0.0119,0.068
ces_Latn,1.0,0.7491,1.0
tsz_Latn,0.0971,0.0209,0.0971
bov_Latn,0.1165,0.0209,0.1165
iry_Latn,0.233,0.0724,0.233
roo_Latn,0.0583,0.0045,0.0583
mio_Latn,0.1068,0.0119,0.1068
cpc_Latn,0.1068,0.0232,0.1068
adi_Latn,0.1165,0.0269,0.1165
ded_Latn,0.0777,0.0202,0.0777
ksc_Latn,0.1262,0.0366,0.1262
fry_Latn,1.0,0.6408,1.0
tuc_Latn,0.0874,0.0172,0.0874
zia_Latn,0.0583,0.0082,0.0583
wap_Latn,0.0971,0.009,0.0971
inb_Latn,0.0583,0.0142,0.0583
gai_Latn,0.0485,0.0097,0.0485
mej_Latn,0.1262,0.0209,0.1262
zpt_Latn,0.1553,0.0261,0.1553
kia_Latn,0.1748,0.0426,0.1748
yml_Latn,0.0194,0.0067,0.0194
otn_Latn,0.0971,0.0127,0.0971
gdg_Latn,0.165,0.0411,0.165
pag_Latn,0.2913,0.0836,0.2913
msm_Latn,0.1748,0.0388,0.1748
aym_Latn,0.1068,0.0209,0.1068
azz_Latn,0.0874,0.0134,0.0874
eve_Cyrl,0.0874,0.0254,0.0874
lhi_Latn,0.0097,0.0007,0.0097
mbl_Latn,0.0097,0.0007,0.0097
lif_Limb,0.0,0.0,0.0
kng_Latn,0.1748,0.0724,0.1748
kki_Latn,0.3786,0.1553,0.3786
shp_Latn,0.0971,0.0172,0.0971
sxn_Latn,0.1845,0.0276,0.1845
cab_Latn,0.068,0.0134,0.068
cbu_Latn,0.0194,0.0052,0.0194
emi_Latn,0.1068,0.0232,0.1068
bhp_Latn,0.2136,0.0373,0.2136
sbl_Latn,0.1456,0.0187,0.1456
dwr_Latn,0.0583,0.009,0.0583
cwe_Latn,0.3981,0.1524,0.3981
sgb_Latn,0.2233,0.0358,0.2233
old_Latn,0.233,0.0612,0.233
pis_Latn,0.0971,0.0179,0.0971
naf_Latn,0.0291,0.0067,0.0291
ksb_Latn,0.3107,0.1307,0.3107
nbq_Latn,0.0388,0.0075,0.0388
cpb_Latn,0.1262,0.0209,0.1262
ita_Latn,0.9903,0.7177,0.9903
adh_Latn,0.1359,0.0336,0.1359
ron_Latn,0.9806,0.6378,0.9806
min_Latn,0.3495,0.0859,0.3495
cul_Latn,0.0,0.0,0.0
wnc_Latn,0.0388,0.0045,0.0388
con_Latn,0.0874,0.0119,0.0874
lif_Deva,0.0097,0.0007,0.0097
cly_Latn,0.0777,0.0134,0.0777
bak_Cyrl,0.2039,0.0456,0.2039
mcr_Latn,0.0291,0.0045,0.0291
tiy_Latn,0.0777,0.0149,0.0777
hra_Latn,0.1165,0.0314,0.1165
gah_Latn,0.0388,0.0045,0.0388
zpu_Latn,0.1165,0.0187,0.1165
uig_Arab,0.9223,0.4182,0.9223
uvl_Latn,0.0485,0.0119,0.0485
mtj_Latn,0.1165,0.0232,0.1165
tyv_Cyrl,0.5049,0.1173,0.5049
zat_Latn,0.1262,0.0209,0.1262
jam_Latn,0.1456,0.0612,0.1456
maz_Latn,0.0874,0.0112,0.0874
knf_Latn,0.068,0.0172,0.068
gug_Latn,0.1359,0.0321,0.1359
pir_Latn,0.0485,0.0037,0.0485
lac_Latn,0.0388,0.0052,0.0388
tbz_Latn,0.0291,0.0067,0.0291
acn_Latn,0.0291,0.0075,0.0291
qup_Latn,0.0485,0.0075,0.0485
kbc_Latn,0.1068,0.0172,0.1068
cac_Latn,0.0971,0.0127,0.0971
cbt_Latn,0.0097,0.0007,0.0097
sot_Latn,0.9612,0.5803,0.9612
gde_Latn,0.0971,0.0134,0.0971
epo_Latn,1.0,0.7774,1.0
lit_Latn,0.9806,0.6594,0.9806
mcq_Latn,0.0291,0.003,0.0291
mpx_Latn,0.0583,0.0202,0.0583
upv_Latn,0.0777,0.0082,0.0777
nnw_Latn,0.0097,0.0015,0.0097
hak_Latn,0.0097,0.0007,0.0097
usa_Latn,0.0097,0.0015,0.0097
mva_Latn,0.0485,0.0097,0.0485
war_Latn,0.8447,0.4085,0.8447
zpv_Latn,0.068,0.0082,0.068
sim_Latn,0.0291,0.0097,0.0291
ptu_Latn,0.1456,0.0284,0.1456
toc_Latn,0.1845,0.0336,0.1845
lom_Latn,0.0194,0.0037,0.0194
far_Latn,0.0971,0.0217,0.0971
bzd_Latn,0.1456,0.0232,0.1456
tel_Telu,0.9417,0.4996,0.9417
cpa_Latn,0.0874,0.0082,0.0874
luo_Latn,0.1165,0.0441,0.1165
ojb_Cans,0.0874,0.0142,0.0874
bim_Latn,0.0777,0.0284,0.0777
awb_Latn,0.0097,0.0007,0.0097
arl_Latn,0.0388,0.0037,0.0388
wmw_Latn,0.5146,0.2091,0.5146
zlm_Latn,0.932,0.6303,0.932
ntu_Latn,0.0194,0.0052,0.0194
sah_Cyrl,0.233,0.0463,0.233
seh_Latn,0.6408,0.2435,0.6408
nwb_Latn,0.0194,0.0015,0.0194
tby_Latn,0.0777,0.0105,0.0777
ctp_Latn,0.0583,0.0075,0.0583
pes_Arab,0.9612,0.6169,0.9612
isd_Latn,0.1942,0.0336,0.1942
gof_Latn,0.0583,0.0082,0.0583
hin_Deva,0.9223,0.5922,0.9223
srp_Latn,0.9903,0.7296,0.9903
twi_Latn,0.2621,0.0627,0.2621
gya_Latn,0.1262,0.0209,0.1262
poh_Latn,0.0874,0.0119,0.0874
mnk_Latn,0.1748,0.0269,0.1748
nyo_Latn,0.4272,0.1897,0.4272
zaw_Latn,0.1165,0.0321,0.1165
niq_Latn,0.1845,0.0381,0.1845
chk_Latn,0.1068,0.0254,0.1068
mti_Latn,0.0777,0.0358,0.0777
gud_Latn,0.0388,0.006,0.0388
pcm_Latn,0.4466,0.1815,0.4466
cme_Latn,0.0777,0.0157,0.0777
gvs_Latn,0.0388,0.0067,0.0388
ayo_Latn,0.068,0.0075,0.068
kir_Cyrl,0.9806,0.5452,0.9806
kne_Latn,0.2233,0.0463,0.2233
mdy_Ethi,0.0194,0.0022,0.0194
kmr_Latn,0.9515,0.5967,0.9515
sil_Latn,0.0388,0.0112,0.0388
bsn_Latn,0.0583,0.006,0.0583
lol_Latn,0.0874,0.0261,0.0874
tob_Latn,0.0485,0.006,0.0485
anv_Latn,0.0874,0.0164,0.0874
nho_Latn,0.2039,0.0478,0.2039
efi_Latn,0.4951,0.1374,0.4951
nma_Latn,0.0583,0.0134,0.0583
run_Latn,0.9417,0.5138,0.9417
pad_Latn,0.0388,0.003,0.0388
qxh_Latn,0.068,0.0164,0.068
otm_Latn,0.1068,0.0127,0.1068
mcp_Latn,0.1068,0.0194,0.1068
mil_Latn,0.0097,0.0037,0.0097
kvn_Latn,0.0583,0.0112,0.0583
ndj_Latn,0.1942,0.0642,0.1942
spy_Latn,0.0194,0.0022,0.0194
att_Latn,0.068,0.0194,0.068
hmo_Latn,0.165,0.0164,0.165
pma_Latn,0.0291,0.0067,0.0291
byr_Latn,0.0194,0.0045,0.0194
adj_Latn,0.1068,0.0127,0.1068
pan_Guru,0.9806,0.5997,0.9806
qve_Latn,0.068,0.0082,0.068
aeu_Latn,0.0,0.0,0.0
ifu_Latn,0.0971,0.0246,0.0971
cbv_Latn,0.068,0.0075,0.068
ncl_Latn,0.0971,0.0142,0.0971
caa_Latn,0.1553,0.0179,0.1553
poi_Latn,0.1262,0.0209,0.1262
bkd_Latn,0.2621,0.0777,0.2621
srq_Latn,0.068,0.0067,0.068
bnj_Latn,0.0097,0.0022,0.0097
ape_Latn,0.068,0.009,0.068
gog_Latn,0.3883,0.1576,0.3883
kms_Latn,0.0777,0.009,0.0777
bth_Latn,0.2524,0.0739,0.2524
mai_Deva,0.7864,0.2248,0.7864
zav_Latn,0.0388,0.0067,0.0388
guk_Ethi,0.0194,0.0075,0.0194
kkj_Latn,0.0583,0.0105,0.0583
aoi_Latn,0.0097,0.0007,0.0097
nyn_Latn,0.4466,0.165,0.4466
mvn_Latn,0.068,0.0134,0.068
muy_Latn,0.0388,0.0075,0.0388
xtm_Latn,0.1068,0.0194,0.1068
amo_Latn,0.1359,0.0336,0.1359
lob_Latn,0.0583,0.0149,0.0583
hwc_Latn,0.8155,0.363,0.8155
sll_Latn,0.0485,0.0075,0.0485
nmo_Latn,0.0971,0.0172,0.0971
clu_Latn,0.5728,0.2128,0.5728
chu_Cyrl,1.0,0.6931,1.0
tsw_Latn,0.0583,0.0164,0.0583
mzk_Latn,0.1359,0.0269,0.1359
mib_Latn,0.1845,0.0246,0.1845
bxr_Cyrl,0.466,0.1008,0.466
yad_Latn,0.0388,0.0075,0.0388
csy_Latn,0.1262,0.0246,0.1262
bib_Latn,0.0388,0.009,0.0388
cao_Latn,0.068,0.0097,0.068
sba_Latn,0.0583,0.0097,0.0583
mkj_Latn,0.0971,0.0306,0.0971
asm_Beng,0.932,0.4309,0.932
zga_Latn,0.165,0.0426,0.165
kxc_Ethi,0.0291,0.0075,0.0291
mav_Latn,0.0194,0.0052,0.0194
bwq_Latn,0.0485,0.0127,0.0485
knj_Latn,0.0874,0.0142,0.0874
aji_Latn,0.1262,0.0246,0.1262
ppk_Latn,0.1359,0.0246,0.1359
khs_Latn,0.0097,0.0007,0.0097
xal_Cyrl,0.1359,0.0202,0.1359
alp_Latn,0.0874,0.0276,0.0874
wsk_Latn,0.165,0.0306,0.165
mwq_Latn,0.1068,0.0112,0.1068
dnj_Latn,0.0097,0.0007,0.0097
bav_Latn,0.0971,0.0127,0.0971
chd_Latn,0.1068,0.0134,0.1068
bba_Latn,0.068,0.0232,0.068
msa_Latn,0.699,0.1718,0.699
bef_Latn,0.0097,0.0015,0.0097
hae_Latn,0.1262,0.0179,0.1262
amn_Latn,0.0485,0.0105,0.0485
mfq_Latn,0.0388,0.0075,0.0388
any_Latn,0.0388,0.006,0.0388
mux_Latn,0.0583,0.0052,0.0583
kpx_Latn,0.0194,0.0082,0.0194
tuo_Latn,0.0777,0.0067,0.0777
nak_Latn,0.0291,0.0052,0.0291
xnn_Latn,0.1553,0.0329,0.1553
ade_Latn,0.0874,0.0119,0.0874
agr_Latn,0.0777,0.0164,0.0777
bzj_Latn,0.1456,0.0351,0.1456
mic_Latn,0.0388,0.006,0.0388
urk_Thai,0.0,0.0,0.0
gnw_Latn,0.1165,0.0149,0.1165
aak_Latn,0.0291,0.0022,0.0291
nde_Latn,0.8932,0.4683,0.8932
omw_Latn,0.0,0.0,0.0
swp_Latn,0.1553,0.0448,0.1553
mxb_Latn,0.1165,0.0127,0.1165
yss_Latn,0.0583,0.0127,0.0583
bmr_Latn,0.0874,0.0112,0.0874
sqi_Latn,0.9806,0.6841,0.9806
pww_Thai,0.0,0.0,0.0
yuj_Latn,0.068,0.0082,0.068
sxb_Latn,0.2816,0.0739,0.2816
mwp_Latn,0.0388,0.0045,0.0388
mtg_Latn,0.0777,0.009,0.0777
lmk_Latn,0.1165,0.0224,0.1165
alq_Latn,0.068,0.009,0.068
nya_Latn,0.9515,0.5818,0.9515
eri_Latn,0.068,0.0164,0.068
knk_Latn,0.0485,0.0119,0.0485
maw_Latn,0.0291,0.009,0.0291
thk_Latn,0.0583,0.0194,0.0583
hne_Deva,0.7864,0.2031,0.7864
ter_Latn,0.0388,0.0037,0.0388
zyp_Latn,0.0874,0.0149,0.0874
cce_Latn,0.2816,0.065,0.2816
ava_Cyrl,0.0291,0.006,0.0291
kek_Latn,0.1068,0.0112,0.1068
mjw_Latn,0.0971,0.0187,0.0971
tgk_Cyrl,0.9806,0.6161,0.9806
cub_Latn,0.068,0.009,0.068
tuk_Arab,0.0874,0.0097,0.0874
soy_Latn,0.0291,0.0067,0.0291
esu_Latn,0.1359,0.0381,0.1359
pah_Latn,0.0485,0.006,0.0485
msb_Latn,0.8155,0.4018,0.8155
rub_Latn,0.1748,0.062,0.1748
dow_Latn,0.0583,0.0172,0.0583
ton_Latn,0.2039,0.0583,0.2039
mee_Latn,0.0583,0.0112,0.0583
kin_Latn,0.9126,0.5198,0.9126
amm_Latn,0.0097,0.0022,0.0097
jac_Latn,0.0485,0.0082,0.0485
bqj_Latn,0.0777,0.0246,0.0777
hui_Latn,0.0291,0.009,0.0291
chf_Latn,0.1262,0.0224,0.1262
bbc_Latn,0.2718,0.0762,0.2718
rus_Cyrl,1.0,0.7401,1.0
xsi_Latn,0.0583,0.0075,0.0583
mqj_Latn,0.2039,0.0463,0.2039
gui_Latn,0.1068,0.0187,0.1068
mbc_Latn,0.0291,0.003,0.0291
btd_Latn,0.2816,0.0695,0.2816
kjh_Cyrl,0.2913,0.0605,0.2913
snf_Latn,0.068,0.0194,0.068
for_Latn,0.0194,0.003,0.0194
lam_Latn,0.3786,0.0874,0.3786
tac_Latn,0.0388,0.0067,0.0388
ycn_Latn,0.0388,0.0045,0.0388
bmq_Latn,0.0583,0.0239,0.0583
ktj_Latn,0.0097,0.0007,0.0097
poe_Latn,0.1262,0.0209,0.1262
enq_Latn,0.0194,0.0037,0.0194
dgc_Latn,0.2427,0.0635,0.2427
ify_Latn,0.1165,0.0276,0.1165
kbm_Latn,0.068,0.0119,0.068
aey_Latn,0.0583,0.0097,0.0583
qvi_Latn,0.0291,0.0037,0.0291
sat_Latn,0.0485,0.0127,0.0485
mnf_Latn,0.0388,0.0075,0.0388
aai_Latn,0.1456,0.0187,0.1456
cuc_Latn,0.0485,0.0075,0.0485
ngp_Latn,0.3301,0.112,0.3301
mzh_Latn,0.1068,0.0179,0.1068
krc_Cyrl,0.7767,0.3077,0.7767
box_Latn,0.068,0.0127,0.068
ndg_Latn,0.4951,0.1987,0.4951
vag_Latn,0.0583,0.0149,0.0583
bjv_Latn,0.0388,0.0105,0.0388
kpz_Latn,0.068,0.0187,0.068
tum_Latn,0.7087,0.2965,0.7087
jiv_Latn,0.0388,0.0075,0.0388
bzh_Latn,0.0971,0.0164,0.0971
zho_Hani,0.9806,0.5803,0.9806
mox_Latn,0.0194,0.0045,0.0194
zsm_Latn,0.8835,0.2696,0.8835
bsc_Latn,0.1068,0.0172,0.1068
gag_Latn,0.8641,0.4436,0.8641
too_Latn,0.1068,0.0127,0.1068
zpz_Latn,0.0485,0.0075,0.0485
xtn_Latn,0.1165,0.0239,0.1165
wbi_Latn,0.2039,0.056,0.2039
kzf_Latn,0.1845,0.0358,0.1845
cjo_Latn,0.0,0.0,0.0
aze_Cyrl,0.6893,0.2539,0.6893
kyq_Latn,0.0777,0.0112,0.0777
dov_Latn,0.3981,0.1553,0.3981
chv_Cyrl,0.165,0.0269,0.165
hag_Latn,0.1165,0.0209,0.1165
mpt_Latn,0.0097,0.0045,0.0097
est_Latn,0.9515,0.6819,0.9515
mbb_Latn,0.0583,0.0052,0.0583
mau_Latn,0.1068,0.0157,0.1068
guh_Latn,0.0388,0.006,0.0388
udu_Latn,0.0291,0.003,0.0291
tnp_Latn,0.0194,0.0015,0.0194
ewe_Latn,0.1165,0.0209,0.1165
jbu_Latn,0.0777,0.0209,0.0777
fij_Latn,0.1068,0.0217,0.1068
nph_Latn,0.1262,0.0149,0.1262
ozm_Latn,0.0874,0.0067,0.0874
qvh_Latn,0.0971,0.0209,0.0971
bki_Latn,0.0194,0.003,0.0194
kqe_Latn,0.2524,0.0769,0.2524
pls_Latn,0.165,0.0276,0.165
nca_Latn,0.0777,0.0134,0.0777
fuq_Latn,0.1942,0.0411,0.1942
wos_Latn,0.068,0.0067,0.068
aca_Latn,0.165,0.0209,0.165
bwu_Latn,0.0583,0.0142,0.0583
wuv_Latn,0.1845,0.0456,0.1845
urd_Deva,0.8738,0.4593,0.8738
ppo_Latn,0.068,0.0052,0.068
guo_Latn,0.0777,0.0105,0.0777
hch_Latn,0.0291,0.0022,0.0291
njm_Latn,0.1456,0.0276,0.1456
bar_Latn,0.5437,0.1964,0.5437
etu_Latn,0.0583,0.0097,0.0583
pua_Latn,0.0971,0.0209,0.0971
bul_Cyrl,1.0,0.755,1.0
jae_Latn,0.1068,0.0179,0.1068
yom_Latn,0.1359,0.0471,0.1359
qvo_Latn,0.0583,0.0202,0.0583
npo_Latn,0.0874,0.0164,0.0874
ktb_Ethi,0.0291,0.0097,0.0291
plt_Latn,0.9806,0.6154,0.9806
cak_Latn,0.0874,0.0097,0.0874
mal_Mlym,0.9126,0.46,0.9126
fuv_Latn,0.1942,0.053,0.1942
mhy_Latn,0.3592,0.106,0.3592
acf_Latn,0.6602,0.2793,0.6602
rmn_Latn,0.1942,0.0627,0.1942
gom_Latn,0.1068,0.0276,0.1068
dru_Latn,0.0583,0.0172,0.0583
mif_Latn,0.0874,0.0105,0.0874
nwi_Latn,0.0388,0.006,0.0388
myx_Latn,0.2524,0.0635,0.2524
nwx_Deva,0.2039,0.0329,0.2039
cfm_Latn,0.1165,0.0209,0.1165
blh_Latn,0.0194,0.0037,0.0194
kus_Latn,0.1165,0.0269,0.1165
sps_Latn,0.068,0.0149,0.068
nan_Latn,0.0194,0.003,0.0194
awi_Latn,0.0485,0.0097,0.0485
ssd_Latn,0.0971,0.0127,0.0971
ksj_Latn,0.1165,0.0202,0.1165
byx_Latn,0.0291,0.0067,0.0291
agw_Latn,0.0971,0.0224,0.0971
