code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
zia_Latn,0.0097,0.0008,0.0097
cpc_Latn,0.0291,0.0068,0.0291
adi_Latn,0.0097,0.0008,0.0097
iry_Latn,0.0291,0.008,0.0291
roo_Latn,0.0097,0.0034,0.0097
mio_Latn,0.0097,0.0008,0.0097
tpm_Latn,0.0097,0.0008,0.0097
arn_Latn,0.0194,0.0021,0.0194
ndi_Latn,0.0,0.0,0.0
ces_Latn,0.7379,0.2554,0.7379
tsz_Latn,0.0097,0.0013,0.0097
bov_Latn,0.0194,0.003,0.0194
pag_Latn,0.0388,0.0156,0.0388
msm_Latn,0.0388,0.0097,0.0388
otn_Latn,0.0097,0.0004,0.0097
gdg_Latn,0.0388,0.0135,0.0388
gai_Latn,0.0097,0.0021,0.0097
mej_Latn,0.0194,0.0021,0.0194
zpt_Latn,0.0388,0.0068,0.0388
kia_Latn,0.0388,0.0101,0.0388
yml_Latn,0.0097,0.003,0.0097
inb_Latn,0.0194,0.0025,0.0194
wap_Latn,0.0097,0.0034,0.0097
sxn_Latn,0.0,0.0,0.0
kki_Latn,0.0485,0.0165,0.0485
shp_Latn,0.0097,0.0042,0.0097
eve_Cyrl,0.0097,0.0038,0.0097
lhi_Latn,0.0097,0.0004,0.0097
mbl_Latn,0.0097,0.0025,0.0097
lif_Limb,0.0,0.0,0.0
kng_Latn,0.0194,0.0055,0.0194
aym_Latn,0.0291,0.0072,0.0291
azz_Latn,0.0097,0.0042,0.0097
old_Latn,0.0291,0.0063,0.0291
pis_Latn,0.0194,0.0042,0.0194
cwe_Latn,0.0485,0.0131,0.0485
sgb_Latn,0.0388,0.0097,0.0388
sbl_Latn,0.0097,0.0004,0.0097
dwr_Latn,0.0097,0.0038,0.0097
cab_Latn,0.0097,0.0025,0.0097
cbu_Latn,0.0194,0.0013,0.0194
emi_Latn,0.0097,0.0021,0.0097
bhp_Latn,0.0291,0.008,0.0291
jiv_Latn,0.0,0.0,0.0
bzh_Latn,0.0097,0.0034,0.0097
zho_Hani,0.4078,0.1461,0.4078
mox_Latn,0.0097,0.0021,0.0097
vag_Latn,0.0097,0.0021,0.0097
bjv_Latn,0.0097,0.0013,0.0097
kpz_Latn,0.0194,0.0055,0.0194
tum_Latn,0.0291,0.0122,0.0291
ngp_Latn,0.0194,0.0097,0.0194
mzh_Latn,0.0194,0.003,0.0194
krc_Cyrl,0.0777,0.0156,0.0777
box_Latn,0.0194,0.0017,0.0194
ndg_Latn,0.068,0.0148,0.068
aai_Latn,0.0388,0.0059,0.0388
cuc_Latn,0.0097,0.0021,0.0097
est_Latn,0.4466,0.1169,0.4466
chv_Cyrl,0.0097,0.0017,0.0097
hag_Latn,0.0,0.0,0.0
mpt_Latn,0.0097,0.0017,0.0097
xtn_Latn,0.0194,0.0042,0.0194
wbi_Latn,0.0097,0.0017,0.0097
kzf_Latn,0.0097,0.0004,0.0097
cjo_Latn,0.0097,0.0004,0.0097
aze_Cyrl,0.0,0.0,0.0
kyq_Latn,0.0097,0.0004,0.0097
dov_Latn,0.0194,0.0059,0.0194
zsm_Latn,0.0874,0.0249,0.0874
bsc_Latn,0.0097,0.003,0.0097
gag_Latn,0.1456,0.0473,0.1456
too_Latn,0.0097,0.0004,0.0097
zpz_Latn,0.0097,0.0034,0.0097
udu_Latn,0.0097,0.0004,0.0097
