code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
kyf_Latn,0.0,0.0,0.0
nhu_Latn,0.0,0.0,0.0
biv_Latn,0.0194,0.0034,0.0194
vap_Latn,0.0097,0.0008,0.0097
ted_Latn,0.0,0.0,0.0
fai_Latn,0.0,0.0,0.0
agg_Latn,0.0,0.0,0.0
cut_Latn,0.0194,0.008,0.0194
iqw_Latn,0.0,0.0,0.0
ses_Latn,0.0291,0.0038,0.0291
gnb_Latn,0.0097,0.0017,0.0097
yap_Latn,0.0194,0.0051,0.0194
ndp_Latn,0.0194,0.0059,0.0194
pkb_Latn,0.0194,0.0072,0.0194
lsm_Latn,0.0194,0.0063,0.0194
tpt_Latn,0.0097,0.0051,0.0097
kqs_Latn,0.0097,0.0008,0.0097
por_Latn,0.7767,0.3491,0.7767
crs_Latn,0.1165,0.0477,0.1165
kru_Deva,0.0,0.0,0.0
sgz_Latn,0.0097,0.0008,0.0097
tbc_Latn,0.0194,0.0038,0.0194
kdc_Latn,0.0291,0.0144,0.0291
kwj_Latn,0.0097,0.0021,0.0097
mxv_Latn,0.0097,0.0008,0.0097
cgc_Latn,0.0388,0.0122,0.0388
azb_Latn,0.2136,0.0418,0.2136
mar_Deva,0.1553,0.0338,0.1553
bgz_Latn,0.0291,0.0063,0.0291
urd_Latn,0.0097,0.0042,0.0097
cnh_Latn,0.0194,0.008,0.0194
bts_Latn,0.0485,0.0131,0.0485
mbt_Latn,0.0097,0.0051,0.0097
nyu_Latn,0.0388,0.008,0.0388
zam_Latn,0.0,0.0,0.0
chq_Latn,0.0194,0.0034,0.0194
vie_Latn,0.4951,0.179,0.4951
kyg_Latn,0.0097,0.0004,0.0097
mfe_Latn,0.165,0.0435,0.165
zpl_Latn,0.0097,0.0059,0.0097
anm_Latn,0.0194,0.0034,0.0194
alt_Cyrl,0.0291,0.003,0.0291
mck_Latn,0.0291,0.0097,0.0291
lin_Latn,0.0388,0.0063,0.0388
nmz_Latn,0.0097,0.0004,0.0097
bon_Latn,0.0,0.0,0.0
cek_Latn,0.0097,0.0004,0.0097
kub_Latn,0.0097,0.0013,0.0097
yaq_Latn,0.0,0.0,0.0
tee_Latn,0.0097,0.0008,0.0097
fra_Latn,0.8252,0.3331,0.8252
sme_Latn,0.0194,0.0046,0.0194
kmk_Latn,0.0291,0.0122,0.0291
mri_Latn,0.1165,0.0367,0.1165
chr_Latn,0.0097,0.0038,0.0097
mtp_Latn,0.0,0.0,0.0
shk_Latn,0.0,0.0,0.0
sgw_Ethi,0.0097,0.0008,0.0097
kan_Latn,0.0,0.0,0.0
uzb_Cyrl,0.068,0.0139,0.068
sri_Latn,0.0,0.0,0.0
nct_Latn,0.0194,0.0042,0.0194
kqp_Latn,0.0097,0.0004,0.0097
stp_Latn,0.0,0.0,0.0
hif_Latn,0.0388,0.0089,0.0388
dan_Latn,0.9029,0.4432,0.9029
swg_Latn,0.3204,0.1195,0.3204
ckb_Arab,0.0194,0.0076,0.0194
taw_Latn,0.0097,0.0004,0.0097
nus_Latn,0.0,0.0,0.0
ffm_Latn,0.0194,0.0013,0.0194
mjc_Latn,0.0194,0.0038,0.0194
mit_Latn,0.0097,0.0017,0.0097
blz_Latn,0.0388,0.0076,0.0388
kua_Latn,0.0194,0.0063,0.0194
bom_Latn,0.0194,0.0076,0.0194
var_Latn,0.0,0.0,0.0
spa_Latn,0.5631,0.29,0.5631
crm_Cans,0.0,0.0,0.0
jic_Latn,0.0097,0.0021,0.0097
rim_Latn,0.0097,0.0025,0.0097
gkn_Latn,0.0,0.0,0.0
cso_Latn,0.0,0.0,0.0
leh_Latn,0.0194,0.0068,0.0194
ann_Latn,0.0097,0.0004,0.0097
meq_Latn,0.0194,0.0025,0.0194
kiz_Latn,0.0291,0.0084,0.0291
zpo_Latn,0.0291,0.0063,0.0291
nhw_Latn,0.0097,0.0008,0.0097
bch_Latn,0.0194,0.0072,0.0194
cot_Latn,0.0097,0.0008,0.0097
beq_Latn,0.0097,0.0055,0.0097
xrb_Latn,0.0194,0.0025,0.0194
ikw_Latn,0.0097,0.0038,0.0097
ckt_Cyrl,0.0097,0.0021,0.0097
tzj_Latn,0.0194,0.0034,0.0194
som_Latn,0.0874,0.0122,0.0874
jav_Latn,0.0874,0.0295,0.0874
shj_Latn,0.0194,0.0051,0.0194
nii_Latn,0.0,0.0,0.0
zao_Latn,0.0291,0.0046,0.0291
dks_Latn,0.0194,0.0034,0.0194
nop_Latn,0.0097,0.0008,0.0097
nlg_Latn,0.0291,0.0165,0.0291
maa_Latn,0.0097,0.0042,0.0097
tav_Latn,0.0,0.0,0.0
acu_Latn,0.0097,0.0008,0.0097
cth_Latn,0.0194,0.0038,0.0194
hig_Latn,0.0097,0.0063,0.0097
stq_Latn,0.0583,0.0198,0.0583
mxt_Latn,0.0194,0.0038,0.0194
cax_Latn,0.0194,0.0076,0.0194
yrk_Cyrl,0.0194,0.003,0.0194
ncu_Latn,0.0,0.0,0.0
plg_Latn,0.0097,0.0008,0.0097
tgo_Latn,0.0097,0.0008,0.0097
kao_Latn,0.0194,0.0051,0.0194
crq_Latn,0.0194,0.0021,0.0194
agd_Latn,0.0,0.0,0.0
prs_Arab,0.4757,0.1798,0.4757
ssw_Latn,0.0291,0.0097,0.0291
biu_Latn,0.0194,0.0038,0.0194
pmx_Latn,0.0194,0.0038,0.0194
sun_Latn,0.068,0.022,0.068
myk_Latn,0.0097,0.0025,0.0097
nds_Latn,0.0777,0.0245,0.0777
nno_Latn,0.5437,0.2123,0.5437
jvn_Latn,0.0583,0.0118,0.0583
aii_Syrc,0.0,0.0,0.0
bci_Latn,0.0097,0.0004,0.0097
imo_Latn,0.0194,0.0025,0.0194
dob_Latn,0.0097,0.0008,0.0097
waj_Latn,0.0,0.0,0.0
