code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
gya_Latn,0.0388,0.0118,0.0388
srp_Latn,0.9223,0.4285,0.9223
gof_Latn,0.0291,0.0084,0.0291
hin_Deva,0.9029,0.3283,0.9029
isd_Latn,0.0291,0.0213,0.0291
pes_Arab,0.8058,0.329,0.8058
ctp_Latn,0.0291,0.0102,0.0291
tby_Latn,0.0583,0.015,0.0583
kmr_Latn,0.1068,0.0281,0.1068
mdy_Ethi,0.0,0.0,0.0
kir_Cyrl,0.2039,0.0512,0.2039
kne_Latn,0.0485,0.0231,0.0485
ayo_Latn,0.0388,0.0073,0.0388
gvs_Latn,0.0194,0.0079,0.0194
pcm_Latn,0.466,0.2188,0.466
gud_Latn,0.0097,0.0021,0.0097
cme_Latn,0.0194,0.0084,0.0194
mti_Latn,0.0291,0.0079,0.0291
niq_Latn,0.0291,0.015,0.0291
chk_Latn,0.0388,0.0115,0.0388
zaw_Latn,0.0583,0.0192,0.0583
nyo_Latn,0.0291,0.0121,0.0291
lom_Latn,0.0097,0.0042,0.0097
toc_Latn,0.068,0.011,0.068
ptu_Latn,0.068,0.0186,0.068
sim_Latn,0.0388,0.0047,0.0388
zpv_Latn,0.0194,0.0081,0.0194
mva_Latn,0.0388,0.0079,0.0388
war_Latn,0.3204,0.0706,0.3204
usa_Latn,0.0097,0.0003,0.0097
hak_Latn,0.0,0.0,0.0
nnw_Latn,0.0291,0.0026,0.0291
upv_Latn,0.0291,0.0052,0.0291
mpx_Latn,0.0194,0.0052,0.0194
mcq_Latn,0.0097,0.0005,0.0097
lit_Latn,0.7767,0.3616,0.7767
epo_Latn,0.767,0.4117,0.767
gde_Latn,0.0194,0.0045,0.0194
sot_Latn,0.0388,0.0181,0.0388
nwb_Latn,0.0097,0.0003,0.0097
seh_Latn,0.0388,0.0155,0.0388
sah_Cyrl,0.0485,0.0097,0.0485
ntu_Latn,0.0194,0.0055,0.0194
wmw_Latn,0.0388,0.016,0.0388
zlm_Latn,0.8641,0.4925,0.8641
arl_Latn,0.0485,0.0068,0.0485
awb_Latn,0.0,0.0,0.0
bim_Latn,0.0388,0.0168,0.0388
ojb_Cans,0.0194,0.001,0.0194
luo_Latn,0.0485,0.0205,0.0485
tel_Telu,0.6311,0.1926,0.6311
cpa_Latn,0.0777,0.016,0.0777
bzd_Latn,0.0388,0.0163,0.0388
far_Latn,0.0388,0.0144,0.0388
gog_Latn,0.0291,0.0113,0.0291
ape_Latn,0.0291,0.0058,0.0291
bnj_Latn,0.0194,0.0084,0.0194
srq_Latn,0.0583,0.0157,0.0583
bkd_Latn,0.0583,0.0194,0.0583
caa_Latn,0.0874,0.0226,0.0874
poi_Latn,0.0971,0.0252,0.0971
cbv_Latn,0.068,0.0144,0.068
ncl_Latn,0.0583,0.0131,0.0583
ifu_Latn,0.0485,0.0171,0.0485
aeu_Latn,0.0,0.0,0.0
qve_Latn,0.1068,0.0304,0.1068
nyn_Latn,0.0291,0.0136,0.0291
aoi_Latn,0.0,0.0,0.0
kkj_Latn,0.0583,0.0079,0.0583
guk_Ethi,0.0097,0.0005,0.0097
zav_Latn,0.0388,0.0068,0.0388
mai_Deva,0.4951,0.1265,0.4951
bth_Latn,0.1068,0.0422,0.1068
kms_Latn,0.0291,0.0058,0.0291
otm_Latn,0.0583,0.0129,0.0583
mcp_Latn,0.0485,0.0089,0.0485
qxh_Latn,0.0485,0.0202,0.0485
pad_Latn,0.0388,0.0079,0.0388
nma_Latn,0.0291,0.0081,0.0291
run_Latn,0.0388,0.0165,0.0388
nho_Latn,0.0874,0.0302,0.0874
efi_Latn,0.068,0.0155,0.068
tob_Latn,0.0291,0.0047,0.0291
lol_Latn,0.0097,0.0029,0.0097
anv_Latn,0.0388,0.0058,0.0388
bsn_Latn,0.0388,0.0118,0.0388
sil_Latn,0.0388,0.0073,0.0388
pan_Guru,0.4563,0.1262,0.4563
adj_Latn,0.068,0.0129,0.068
byr_Latn,0.0194,0.0071,0.0194
pma_Latn,0.0194,0.0042,0.0194
hmo_Latn,0.0777,0.0152,0.0777
att_Latn,0.0291,0.0136,0.0291
spy_Latn,0.0097,0.0003,0.0097
ndj_Latn,0.0388,0.0108,0.0388
kvn_Latn,0.0388,0.0157,0.0388
mil_Latn,0.0291,0.0071,0.0291
mxp_Latn,0.0777,0.0097,0.0777
aso_Latn,0.0097,0.0018,0.0097
lbk_Latn,0.0777,0.026,0.0777
rmy_Latn,0.0583,0.0283,0.0583
tar_Latn,0.0388,0.0063,0.0388
kde_Latn,0.0194,0.0055,0.0194
ivv_Latn,0.1068,0.0215,0.1068
nso_Latn,0.0291,0.0121,0.0291
dgr_Latn,0.0583,0.0055,0.0583
cbk_Latn,0.7087,0.2724,0.7087
twu_Latn,0.0874,0.0194,0.0874
npi_Deva,0.5631,0.1713,0.5631
njz_Latn,0.0291,0.0084,0.0291
bbr_Latn,0.0388,0.0087,0.0388
nim_Latn,0.0194,0.0042,0.0194
nys_Latn,0.0291,0.015,0.0291
ajz_Latn,0.0291,0.0089,0.0291
snw_Latn,0.0583,0.0129,0.0583
aim_Latn,0.0388,0.0144,0.0388
gux_Latn,0.0194,0.006,0.0194
nlc_Latn,0.0388,0.0118,0.0388
urb_Latn,0.0097,0.0018,0.0097
not_Latn,0.0097,0.0034,0.0097
tzo_Latn,0.0485,0.0147,0.0485
ake_Latn,0.0,0.0,0.0
tif_Latn,0.0194,0.0037,0.0194
tlh_Latn,0.2718,0.0748,0.2718
met_Latn,0.0583,0.0126,0.0583
bss_Latn,0.0485,0.0126,0.0485
loq_Latn,0.0194,0.0092,0.0194
gaw_Latn,0.0388,0.015,0.0388
nhr_Latn,0.0097,0.0018,0.0097
kpj_Latn,0.0097,0.0042,0.0097
lus_Latn,0.0583,0.0207,0.0583
hmr_Latn,0.0583,0.0202,0.0583
lem_Latn,0.0194,0.0039,0.0194
miq_Latn,0.0388,0.0189,0.0388
kaz_Cyrl,0.3883,0.1309,0.3883
shn_Mymr,0.0,0.0,0.0
tcz_Latn,0.0777,0.0257,0.0777
kez_Latn,0.0583,0.011,0.0583
ian_Latn,0.0291,0.0071,0.0291
arp_Latn,0.0194,0.0115,0.0194
kud_Latn,0.0291,0.0084,0.0291
ttc_Latn,0.0291,0.006,0.0291
ojb_Latn,0.0388,0.0071,0.0388
srm_Latn,0.0291,0.0123,0.0291
nsn_Latn,0.0291,0.0081,0.0291
crt_Latn,0.0388,0.0092,0.0388
urd_Arab,0.6699,0.2524,0.6699
sbs_Latn,0.0291,0.0113,0.0291
npy_Latn,0.0485,0.0165,0.0485
eko_Latn,0.0291,0.0087,0.0291
wob_Latn,0.0194,0.0034,0.0194
mxq_Latn,0.0291,0.0079,0.0291
apy_Latn,0.0194,0.0016,0.0194
aze_Latn,0.6602,0.2351,0.6602
ayr_Latn,0.0485,0.0213,0.0485
gvn_Latn,0.0874,0.0239,0.0874
nou_Latn,0.0291,0.0102,0.0291
mad_Latn,0.0485,0.0176,0.0485
gag_Cyrl,0.1456,0.0451,0.1456
izr_Latn,0.0194,0.0058,0.0194
mbs_Latn,0.0291,0.0102,0.0291
kmo_Latn,0.0291,0.005,0.0291
btt_Latn,0.0097,0.0013,0.0097
kha_Latn,0.0971,0.0215,0.0971
tna_Latn,0.0583,0.0194,0.0583
hvn_Latn,0.0583,0.0163,0.0583
zaj_Latn,0.0583,0.0168,0.0583
mwc_Latn,0.0485,0.0189,0.0485
bcl_Latn,0.2718,0.0758,0.2718
meu_Latn,0.0485,0.0181,0.0485
kog_Latn,0.0,0.0,0.0
ese_Latn,0.0,0.0,0.0
otq_Latn,0.0291,0.0037,0.0291
buk_Latn,0.0388,0.0081,0.0388
ons_Latn,0.0485,0.0147,0.0485
suk_Latn,0.0388,0.0084,0.0388
kue_Latn,0.0485,0.0108,0.0485
suz_Deva,0.0485,0.0089,0.0485
gnd_Latn,0.0388,0.0063,0.0388
csk_Latn,0.0194,0.0047,0.0194
fao_Latn,0.301,0.1026,0.301
due_Latn,0.0388,0.0136,0.0388
tab_Cyrl,0.0291,0.0052,0.0291
tvk_Latn,0.0291,0.006,0.0291
zty_Latn,0.0291,0.0045,0.0291
lhu_Latn,0.0291,0.0013,0.0291
cnl_Latn,0.0291,0.0052,0.0291
guz_Latn,0.0291,0.0126,0.0291
mqy_Latn,0.068,0.0262,0.068
zai_Latn,0.1165,0.0362,0.1165
qvz_Latn,0.068,0.0165,0.068
sag_Latn,0.0388,0.0155,0.0388
rkb_Latn,0.0,0.0,0.0
nsm_Latn,0.0388,0.0165,0.0388
enb_Latn,0.0097,0.0013,0.0097
srn_Latn,0.0777,0.0367,0.0777
bhl_Latn,0.0097,0.0003,0.0097
yuz_Latn,0.0485,0.0181,0.0485
cbi_Latn,0.0485,0.0121,0.0485
apz_Latn,0.0,0.0,0.0
pio_Latn,0.0777,0.0131,0.0777
kqy_Ethi,0.0,0.0,0.0
bmb_Latn,0.0291,0.0108,0.0291
rnl_Latn,0.068,0.0157,0.068
mhl_Latn,0.0291,0.0115,0.0291
kgp_Latn,0.0583,0.0089,0.0583
tbg_Latn,0.0097,0.0005,0.0097
gng_Latn,0.0388,0.0121,0.0388
boj_Latn,0.0194,0.0055,0.0194
bis_Latn,0.1262,0.0467,0.1262
nbl_Latn,0.0388,0.0118,0.0388
jid_Latn,0.0291,0.0168,0.0291
sco_Latn,0.7379,0.2839,0.7379
fal_Latn,0.0291,0.0142,0.0291
ell_Grek,0.8252,0.3036,0.8252
tlj_Latn,0.0194,0.0045,0.0194
muh_Latn,0.0291,0.01,0.0291
zca_Latn,0.0485,0.0157,0.0485
nog_Cyrl,0.1748,0.0562,0.1748
kyc_Latn,0.0194,0.01,0.0194
hau_Latn,0.068,0.0155,0.068
cmo_Khmr,0.0,0.0,0.0
mco_Latn,0.0971,0.016,0.0971
nin_Latn,0.0194,0.0081,0.0194
gvl_Latn,0.0485,0.01,0.0485
bdh_Latn,0.0388,0.0081,0.0388
ura_Latn,0.0097,0.0016,0.0097
azg_Latn,0.068,0.0147,0.068
kmm_Latn,0.0485,0.0181,0.0485
maf_Latn,0.0388,0.0139,0.0388
hak_Hani,0.7184,0.3448,0.7184
taq_Latn,0.0291,0.0084,0.0291
tbf_Latn,0.068,0.0168,0.068
acr_Latn,0.0583,0.0181,0.0583
fub_Latn,0.0485,0.0147,0.0485
kat_Geor,0.2233,0.0842,0.2233
dah_Latn,0.0291,0.0055,0.0291
ifk_Latn,0.0485,0.0173,0.0485
qul_Latn,0.0777,0.0291,0.0777
dug_Latn,0.0291,0.0118,0.0291
zyb_Latn,0.0,0.0,0.0
ngc_Latn,0.0291,0.011,0.0291
tpp_Latn,0.0485,0.0157,0.0485
tha_Thai,0.835,0.2997,0.835
tsg_Latn,0.0485,0.0108,0.0485
lsi_Latn,0.0291,0.0066,0.0291
tam_Taml,0.6602,0.165,0.6602
mcn_Latn,0.0485,0.0134,0.0485
ots_Latn,0.0874,0.0178,0.0874
cor_Latn,0.0388,0.021,0.0388
hat_Latn,0.233,0.0834,0.233
che_Cyrl,0.0097,0.0026,0.0097
nnh_Latn,0.0194,0.0047,0.0194
djk_Latn,0.0291,0.0081,0.0291
mpg_Latn,0.0388,0.0118,0.0388
rup_Latn,0.0291,0.0186,0.0291
cle_Latn,0.0583,0.0126,0.0583
pdt_Latn,0.1456,0.0627,0.1456
bsp_Latn,0.0291,0.0055,0.0291
zpi_Latn,0.0388,0.0165,0.0388
agd_Latn,0.0097,0.001,0.0097
pmx_Latn,0.0291,0.0118,0.0291
biu_Latn,0.0388,0.021,0.0388
prs_Arab,0.8058,0.3288,0.8058
ssw_Latn,0.0485,0.0131,0.0485
nds_Latn,0.1262,0.047,0.1262
myk_Latn,0.0291,0.0071,0.0291
sun_Latn,0.2136,0.0779,0.2136
aii_Syrc,0.0388,0.0076,0.0388
nno_Latn,0.5437,0.2461,0.5437
jvn_Latn,0.2816,0.0921,0.2816
dob_Latn,0.0194,0.0063,0.0194
waj_Latn,0.0097,0.0008,0.0097
bci_Latn,0.0388,0.0231,0.0388
imo_Latn,0.0291,0.0047,0.0291
shj_Latn,0.0097,0.0026,0.0097
jav_Latn,0.2136,0.0782,0.2136
zao_Latn,0.0583,0.0171,0.0583
nii_Latn,0.0291,0.0052,0.0291
nlg_Latn,0.1068,0.0262,0.1068
nop_Latn,0.0194,0.0045,0.0194
dks_Latn,0.0485,0.0108,0.0485
maa_Latn,0.0388,0.0186,0.0388
acu_Latn,0.0583,0.0144,0.0583
cth_Latn,0.0388,0.0213,0.0388
tav_Latn,0.0388,0.0063,0.0388
mxt_Latn,0.068,0.0218,0.068
stq_Latn,0.1748,0.0669,0.1748
hig_Latn,0.0388,0.0068,0.0388
yrk_Cyrl,0.0485,0.0121,0.0485
ncu_Latn,0.0388,0.0039,0.0388
plg_Latn,0.0485,0.0087,0.0485
cax_Latn,0.0777,0.0202,0.0777
crq_Latn,0.0388,0.0092,0.0388
kao_Latn,0.0388,0.0092,0.0388
tgo_Latn,0.0388,0.0115,0.0388
mit_Latn,0.0583,0.0165,0.0583
mjc_Latn,0.0485,0.0176,0.0485
bom_Latn,0.0583,0.0102,0.0583
kua_Latn,0.0388,0.0194,0.0388
blz_Latn,0.0874,0.0294,0.0874
spa_Latn,0.9515,0.6224,0.9515
var_Latn,0.0097,0.0055,0.0097
gkn_Latn,0.0291,0.0055,0.0291
leh_Latn,0.0097,0.0073,0.0097
cso_Latn,0.0485,0.0089,0.0485
crm_Cans,0.0,0.0,0.0
rim_Latn,0.0485,0.0134,0.0485
jic_Latn,0.0485,0.015,0.0485
zpo_Latn,0.0388,0.0155,0.0388
kiz_Latn,0.0583,0.0184,0.0583
meq_Latn,0.0194,0.0068,0.0194
ann_Latn,0.0097,0.0087,0.0097
bch_Latn,0.0388,0.0136,0.0388
nhw_Latn,0.0388,0.0087,0.0388
ckt_Cyrl,0.0388,0.0089,0.0388
tzj_Latn,0.1165,0.0265,0.1165
beq_Latn,0.0291,0.0102,0.0291
ikw_Latn,0.0291,0.0108,0.0291
xrb_Latn,0.0194,0.0018,0.0194
cot_Latn,0.0097,0.0029,0.0097
som_Latn,0.0388,0.0084,0.0388
kmk_Latn,0.0583,0.0184,0.0583
sme_Latn,0.068,0.0163,0.068
mri_Latn,0.0874,0.0241,0.0874
mtp_Latn,0.0,0.0,0.0
chr_Latn,0.0097,0.0013,0.0097
shk_Latn,0.0291,0.0058,0.0291
kan_Latn,0.0583,0.0063,0.0583
sgw_Ethi,0.0194,0.0026,0.0194
kqp_Latn,0.0583,0.0131,0.0583
nct_Latn,0.068,0.0168,0.068
uzb_Cyrl,0.2136,0.0417,0.2136
sri_Latn,0.0388,0.0118,0.0388
swg_Latn,0.5437,0.2467,0.5437
dan_Latn,0.8835,0.5112,0.8835
hif_Latn,0.3689,0.1246,0.3689
stp_Latn,0.0097,0.0034,0.0097
ffm_Latn,0.0291,0.0055,0.0291
nus_Latn,0.0194,0.0026,0.0194
taw_Latn,0.0194,0.0092,0.0194
ckb_Arab,0.0388,0.0084,0.0388
kyg_Latn,0.0097,0.0005,0.0097
anm_Latn,0.0388,0.0171,0.0388
zpl_Latn,0.068,0.0247,0.068
mfe_Latn,0.0777,0.0346,0.0777
lin_Latn,0.0291,0.016,0.0291
mck_Latn,0.0291,0.0094,0.0291
alt_Cyrl,0.1165,0.0365,0.1165
nmz_Latn,0.0291,0.0071,0.0291
kub_Latn,0.0291,0.0066,0.0291
cek_Latn,0.0291,0.0071,0.0291
bon_Latn,0.0291,0.005,0.0291
yaq_Latn,0.0291,0.0063,0.0291
tee_Latn,0.0291,0.0071,0.0291
fra_Latn,0.9709,0.6458,0.9709
por_Latn,0.9806,0.6421,0.9806
kqs_Latn,0.0485,0.0079,0.0485
kru_Deva,0.0485,0.0108,0.0485
crs_Latn,0.1262,0.0378,0.1262
kdc_Latn,0.0485,0.0144,0.0485
tbc_Latn,0.0485,0.011,0.0485
sgz_Latn,0.0388,0.0089,0.0388
cgc_Latn,0.1068,0.0234,0.1068
mxv_Latn,0.0583,0.0108,0.0583
kwj_Latn,0.0291,0.005,0.0291
cnh_Latn,0.068,0.021,0.068
urd_Latn,0.4175,0.1522,0.4175
mar_Deva,0.6311,0.2154,0.6311
bgz_Latn,0.0388,0.0168,0.0388
azb_Latn,0.6699,0.2393,0.6699
mbt_Latn,0.0097,0.0045,0.0097
bts_Latn,0.0583,0.0223,0.0583
nyu_Latn,0.0291,0.0105,0.0291
chq_Latn,0.0485,0.0118,0.0485
vie_Latn,0.9515,0.583,0.9515
zam_Latn,0.0388,0.0076,0.0388
nnl_Latn,0.0485,0.0176,0.0485
tzh_Latn,0.0777,0.026,0.0777
pbi_Latn,0.0194,0.0089,0.0194
bfd_Latn,0.0583,0.006,0.0583
klv_Latn,0.0194,0.0052,0.0194
bum_Latn,0.0485,0.0163,0.0485
akb_Latn,0.0777,0.0207,0.0777
qxr_Latn,0.0971,0.0244,0.0971
sja_Latn,0.0485,0.0118,0.0485
zpm_Latn,0.0388,0.01,0.0388
kix_Latn,0.0485,0.0052,0.0485
nhu_Latn,0.0291,0.01,0.0291
kyf_Latn,0.0097,0.0029,0.0097
vap_Latn,0.068,0.0223,0.068
biv_Latn,0.068,0.0123,0.068
agg_Latn,0.0097,0.001,0.0097
fai_Latn,0.0194,0.005,0.0194
ted_Latn,0.0097,0.0003,0.0097
gnb_Latn,0.0485,0.0142,0.0485
yap_Latn,0.0583,0.0173,0.0583
ses_Latn,0.0291,0.0118,0.0291
iqw_Latn,0.0194,0.0071,0.0194
cut_Latn,0.0388,0.0168,0.0388
tpt_Latn,0.0583,0.0134,0.0583
ndp_Latn,0.0291,0.0081,0.0291
pkb_Latn,0.068,0.021,0.068
lsm_Latn,0.0388,0.0094,0.0388
fuf_Latn,0.0291,0.005,0.0291
bnp_Latn,0.0583,0.0244,0.0583
swe_Latn,0.932,0.524,0.932
tuk_Cyrl,0.1068,0.0299,0.1068
mhi_Latn,0.068,0.0294,0.068
tgl_Latn,0.5728,0.2404,0.5728
gid_Latn,0.0194,0.0097,0.0194
quh_Latn,0.1068,0.0341,0.1068
oym_Latn,0.0097,0.0005,0.0097
kal_Latn,0.0388,0.0108,0.0388
sab_Latn,0.0291,0.0113,0.0291
eng_Latn,1.0,1.0,1.0
tte_Latn,0.0194,0.0016,0.0194
emp_Latn,0.0388,0.0105,0.0388
wca_Latn,0.0291,0.0058,0.0291
vid_Latn,0.0291,0.0105,0.0291
nij_Latn,0.1165,0.0383,0.1165
mwe_Latn,0.0291,0.0092,0.0291
ald_Latn,0.0291,0.0084,0.0291
shi_Latn,0.0291,0.0092,0.0291
snp_Latn,0.0194,0.0042,0.0194
nld_Latn,0.9612,0.6048,0.9612
lia_Latn,0.0291,0.0042,0.0291
slv_Latn,0.7961,0.3537,0.7961
mcd_Latn,0.0583,0.0129,0.0583
nnb_Latn,0.0291,0.0079,0.0291
pap_Latn,0.2816,0.1136,0.2816
mpm_Latn,0.0874,0.0299,0.0874
wbp_Latn,0.0,0.0,0.0
cjv_Latn,0.0291,0.0034,0.0291
zpc_Latn,0.068,0.021,0.068
gbi_Latn,0.0485,0.0131,0.0485
amu_Latn,0.0583,0.01,0.0583
ria_Latn,0.068,0.0131,0.068
moa_Latn,0.0194,0.0039,0.0194
des_Latn,0.0291,0.0126,0.0291
suc_Latn,0.0388,0.0102,0.0388
tpz_Latn,0.0388,0.0084,0.0388
boa_Latn,0.0097,0.0005,0.0097
wnu_Latn,0.0291,0.0097,0.0291
kbd_Cyrl,0.0097,0.0003,0.0097
tcs_Latn,0.0388,0.0126,0.0388
kdl_Latn,0.0291,0.01,0.0291
agx_Cyrl,0.0291,0.0097,0.0291
jni_Latn,0.0291,0.005,0.0291
tbl_Latn,0.0388,0.0097,0.0388
nep_Deva,0.6019,0.1968,0.6019
fuh_Latn,0.0583,0.0113,0.0583
taj_Deva,0.0388,0.0108,0.0388
swk_Latn,0.0583,0.0165,0.0583
bhg_Latn,0.0583,0.0234,0.0583
ifa_Latn,0.0291,0.0113,0.0291
quf_Latn,0.0583,0.0192,0.0583
lgl_Latn,0.0291,0.0129,0.0291
uig_Cyrl,0.1359,0.031,0.1359
kab_Latn,0.0194,0.0066,0.0194
bre_Latn,0.0583,0.027,0.0583
nzm_Latn,0.0583,0.0129,0.0583
alj_Latn,0.0388,0.0136,0.0388
lmp_Latn,0.0194,0.0045,0.0194
bel_Cyrl,0.7864,0.3217,0.7864
kxw_Latn,0.0291,0.0058,0.0291
zab_Latn,0.068,0.022,0.068
gvf_Latn,0.0194,0.0055,0.0194
guq_Latn,0.0291,0.0102,0.0291
kmg_Latn,0.0485,0.0163,0.0485
ubu_Latn,0.0097,0.0034,0.0097
izz_Latn,0.0291,0.0081,0.0291
mal_Latn,0.0097,0.0021,0.0097
wro_Latn,0.0485,0.0108,0.0485
nxd_Latn,0.0194,0.0058,0.0194
hto_Latn,0.0583,0.0155,0.0583
kiw_Latn,0.0194,0.0037,0.0194
mfk_Latn,0.0291,0.0081,0.0291
zul_Latn,0.0485,0.0139,0.0485
cmn_Hani,0.9709,0.6733,0.9709
hrv_Latn,0.8058,0.3692,0.8058
dyi_Latn,0.0194,0.0047,0.0194
wwa_Latn,0.0,0.0,0.0
miy_Latn,0.0777,0.0113,0.0777
blw_Latn,0.0583,0.0189,0.0583
naq_Latn,0.0485,0.0087,0.0485
ghe_Deva,0.0971,0.0165,0.0971
ziw_Latn,0.0388,0.0126,0.0388
dar_Cyrl,0.0291,0.0045,0.0291
ata_Latn,0.0194,0.0031,0.0194
cpu_Latn,0.0485,0.0163,0.0485
itv_Latn,0.0874,0.0176,0.0874
kck_Latn,0.0194,0.0084,0.0194
kxm_Thai,0.0194,0.0034,0.0194
lee_Latn,0.0291,0.005,0.0291
lgm_Latn,0.0194,0.0055,0.0194
qug_Latn,0.0583,0.0197,0.0583
dts_Latn,0.0194,0.0052,0.0194
kac_Latn,0.0291,0.0076,0.0291
tdt_Latn,0.0874,0.0262,0.0874
cat_Latn,0.932,0.5072,0.932
bkq_Latn,0.0583,0.0173,0.0583
krj_Latn,0.3301,0.0911,0.3301
dgz_Latn,0.0194,0.0045,0.0194
myv_Cyrl,0.0583,0.0176,0.0583
cbc_Latn,0.0583,0.0097,0.0583
bmh_Latn,0.0194,0.006,0.0194
kwd_Latn,0.0388,0.0155,0.0388
asg_Latn,0.0291,0.0084,0.0291
ven_Latn,0.0388,0.0136,0.0388
lat_Latn,0.9515,0.6061,0.9515
gor_Latn,0.0485,0.0129,0.0485
rmq_Latn,0.1068,0.0457,0.1068
ctd_Latn,0.0583,0.0199,0.0583
gle_Latn,0.0485,0.0186,0.0485
mam_Latn,0.068,0.0215,0.068
gup_Latn,0.0874,0.0168,0.0874
bgt_Latn,0.0485,0.0129,0.0485
zac_Latn,0.068,0.0234,0.068
bam_Latn,0.0388,0.0129,0.0388
yor_Latn,0.0874,0.0234,0.0874
yle_Latn,0.0097,0.0003,0.0097
tso_Latn,0.0388,0.0178,0.0388
zom_Latn,0.0874,0.0207,0.0874
cux_Latn,0.1068,0.0302,0.1068
miz_Latn,0.0388,0.0129,0.0388
gnn_Latn,0.0097,0.0003,0.0097
heb_Hebr,0.7282,0.4159,0.7282
lef_Latn,0.0583,0.015,0.0583
moc_Latn,0.0291,0.0076,0.0291
mlt_Latn,0.1456,0.0611,0.1456
nbe_Latn,0.0583,0.0226,0.0583
atb_Latn,0.0194,0.0068,0.0194
ssx_Latn,0.0097,0.0008,0.0097
hnn_Latn,0.0485,0.0199,0.0485
nhy_Latn,0.0583,0.0194,0.0583
mua_Latn,0.0583,0.0139,0.0583
mfh_Latn,0.0291,0.0126,0.0291
loz_Latn,0.0388,0.0155,0.0388
ben_Beng,0.835,0.2997,0.835
gdr_Latn,0.0388,0.0073,0.0388
tim_Latn,0.0388,0.0076,0.0388
xbr_Latn,0.0097,0.0031,0.0097
mcf_Latn,0.0,0.0,0.0
vmy_Latn,0.068,0.0186,0.068
mrg_Latn,0.0291,0.0045,0.0291
uri_Latn,0.0194,0.0031,0.0194
tke_Latn,0.0291,0.0092,0.0291
pps_Latn,0.068,0.0192,0.068
smk_Latn,0.068,0.0173,0.068
mgw_Latn,0.0388,0.0129,0.0388
bqp_Latn,0.0291,0.0047,0.0291
khk_Latn,0.0388,0.011,0.0388
hus_Latn,0.0485,0.015,0.0485
tnk_Latn,0.0291,0.0071,0.0291
ban_Latn,0.0583,0.0231,0.0583
nif_Latn,0.0097,0.0034,0.0097
kri_Latn,0.1359,0.0409,0.1359
qvs_Latn,0.0583,0.0192,0.0583
dtp_Latn,0.0388,0.0084,0.0388
trp_Latn,0.0388,0.0097,0.0388
nas_Latn,0.0194,0.0026,0.0194
fad_Latn,0.0291,0.0068,0.0291
xho_Latn,0.0388,0.0094,0.0388
tsn_Latn,0.0194,0.01,0.0194
ceg_Latn,0.0874,0.0178,0.0874
msy_Latn,0.0291,0.0113,0.0291
reg_Latn,0.0291,0.0097,0.0291
yka_Latn,0.0583,0.0171,0.0583
sin_Sinh,0.1165,0.0283,0.1165
tlb_Latn,0.0485,0.0113,0.0485
mfi_Latn,0.0291,0.005,0.0291
kjb_Latn,0.068,0.0168,0.068
nko_Latn,0.0388,0.0136,0.0388
nhx_Latn,0.0777,0.0197,0.0777
zaa_Latn,0.1456,0.0346,0.1456
bao_Latn,0.0388,0.0115,0.0388
bzi_Thai,0.0291,0.0045,0.0291
mda_Latn,0.0291,0.0042,0.0291
nyy_Latn,0.0097,0.0045,0.0097
pse_Latn,0.165,0.0462,0.165
ztq_Latn,0.068,0.0173,0.068
gur_Latn,0.0388,0.0113,0.0388
ike_Cans,0.0,0.0,0.0
xpe_Latn,0.0097,0.0037,0.0097
ksw_Mymr,0.0,0.0,0.0
daa_Latn,0.0291,0.0073,0.0291
swh_Latn,0.165,0.0653,0.165
kwf_Latn,0.0291,0.0115,0.0291
trq_Latn,0.0583,0.0118,0.0583
neb_Latn,0.0097,0.0037,0.0097
apr_Latn,0.0291,0.0063,0.0291
tbo_Latn,0.0291,0.0058,0.0291
lav_Latn,0.699,0.3188,0.699
sda_Latn,0.0583,0.021,0.0583
mks_Latn,0.0583,0.0147,0.0583
kaa_Latn,0.0971,0.0304,0.0971
nse_Latn,0.0485,0.0157,0.0485
ifb_Latn,0.068,0.0142,0.068
cav_Latn,0.0583,0.0192,0.0583
hop_Latn,0.0388,0.011,0.0388
oji_Latn,0.0485,0.0171,0.0485
chz_Latn,0.0291,0.0087,0.0291
cop_Copt,0.0,0.0,0.0
huu_Latn,0.0583,0.0071,0.0583
aln_Latn,0.5437,0.1874,0.5437
btx_Latn,0.0874,0.0325,0.0874
mah_Latn,0.0388,0.0184,0.0388
fon_Latn,0.0194,0.0042,0.0194
aeb_Arab,0.466,0.1212,0.466
xsu_Latn,0.0291,0.006,0.0291
wer_Latn,0.0097,0.0034,0.0097
dhm_Latn,0.0388,0.0139,0.0388
nfr_Latn,0.0291,0.0165,0.0291
hin_Latn,0.2427,0.0792,0.2427
apu_Latn,0.0194,0.0031,0.0194
kpv_Cyrl,0.0388,0.0126,0.0388
cta_Latn,0.0583,0.0073,0.0583
afr_Latn,0.932,0.5329,0.932
qub_Latn,0.068,0.0262,0.068
kbq_Latn,0.0097,0.0024,0.0097
xon_Latn,0.0291,0.0102,0.0291
crx_Latn,0.0485,0.0113,0.0485
poy_Latn,0.0485,0.016,0.0485
enm_Latn,0.8835,0.5812,0.8835
caq_Latn,0.0194,0.0052,0.0194
ife_Latn,0.0194,0.0037,0.0194
ksp_Latn,0.0194,0.0081,0.0194
bjk_Latn,0.0388,0.0136,0.0388
kpg_Latn,0.0583,0.0218,0.0583
ojs_Cans,0.0,0.0,0.0
