code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
nak_Latn,0.0291,0.0066,0.0291
tuo_Latn,0.0485,0.0084,0.0485
kpx_Latn,0.0194,0.0052,0.0194
snf_Latn,0.0291,0.0045,0.0291
for_Latn,0.0097,0.0018,0.0097
btd_Latn,0.1068,0.0367,0.1068
mbc_Latn,0.0485,0.0092,0.0485
kjh_Cyrl,0.068,0.0178,0.068
gui_Latn,0.0583,0.0239,0.0583
mqj_Latn,0.0777,0.027,0.0777
xsi_Latn,0.0388,0.006,0.0388
rus_Cyrl,0.9612,0.6172,0.9612
bbc_Latn,0.0583,0.0202,0.0583
chf_Latn,0.0971,0.0257,0.0971
hui_Latn,0.0194,0.0113,0.0194
bqj_Latn,0.0291,0.0094,0.0291
jac_Latn,0.068,0.0165,0.068
qvi_Latn,0.068,0.0134,0.068
mnf_Latn,0.0194,0.0039,0.0194
sat_Latn,0.0388,0.0037,0.0388
aey_Latn,0.0485,0.0102,0.0485
kbm_Latn,0.0291,0.0144,0.0291
dgc_Latn,0.0777,0.0218,0.0777
ify_Latn,0.0583,0.022,0.0583
poe_Latn,0.0485,0.0163,0.0485
enq_Latn,0.0194,0.0052,0.0194
ktj_Latn,0.0097,0.0003,0.0097
bmq_Latn,0.0388,0.0126,0.0388
ycn_Latn,0.0194,0.0071,0.0194
tac_Latn,0.0097,0.0042,0.0097
lam_Latn,0.0194,0.0039,0.0194
cub_Latn,0.0583,0.015,0.0583
tgk_Cyrl,0.1942,0.0685,0.1942
mjw_Latn,0.0485,0.0163,0.0485
kek_Latn,0.0777,0.0213,0.0777
ava_Cyrl,0.0194,0.0039,0.0194
cce_Latn,0.0388,0.0168,0.0388
zyp_Latn,0.0291,0.0136,0.0291
ter_Latn,0.0291,0.0052,0.0291
hne_Deva,0.4369,0.1152,0.4369
amm_Latn,0.0,0.0,0.0
kin_Latn,0.0485,0.0115,0.0485
mee_Latn,0.0291,0.0081,0.0291
ton_Latn,0.0291,0.0055,0.0291
dow_Latn,0.0388,0.015,0.0388
rub_Latn,0.0388,0.0079,0.0388
msb_Latn,0.2427,0.0672,0.2427
pah_Latn,0.068,0.0108,0.068
esu_Latn,0.0485,0.0155,0.0485
soy_Latn,0.0097,0.0024,0.0097
tuk_Arab,0.0777,0.0178,0.0777
fij_Latn,0.0291,0.0079,0.0291
jbu_Latn,0.0485,0.0105,0.0485
ewe_Latn,0.068,0.0105,0.068
tnp_Latn,0.0194,0.0031,0.0194
udu_Latn,0.0097,0.0005,0.0097
guh_Latn,0.0485,0.0139,0.0485
mau_Latn,0.0583,0.0115,0.0583
mbb_Latn,0.0291,0.0047,0.0291
aca_Latn,0.0583,0.0178,0.0583
wos_Latn,0.0388,0.0052,0.0388
fuq_Latn,0.0291,0.0079,0.0291
nca_Latn,0.0097,0.0052,0.0097
pls_Latn,0.0777,0.0231,0.0777
kqe_Latn,0.0388,0.0134,0.0388
bki_Latn,0.0291,0.0047,0.0291
qvh_Latn,0.0971,0.0226,0.0971
ozm_Latn,0.0291,0.01,0.0291
nph_Latn,0.0388,0.0066,0.0388
mox_Latn,0.0097,0.0047,0.0097
zho_Hani,0.8738,0.3902,0.8738
bzh_Latn,0.0194,0.0073,0.0194
jiv_Latn,0.0291,0.0055,0.0291
tum_Latn,0.0583,0.0129,0.0583
kpz_Latn,0.0194,0.0076,0.0194
bjv_Latn,0.0194,0.0037,0.0194
vag_Latn,0.0291,0.0121,0.0291
ndg_Latn,0.0485,0.0223,0.0485
box_Latn,0.0194,0.0045,0.0194
mzh_Latn,0.0971,0.0186,0.0971
krc_Cyrl,0.0874,0.0312,0.0874
ngp_Latn,0.0291,0.0123,0.0291
cuc_Latn,0.0583,0.0071,0.0583
aai_Latn,0.068,0.0165,0.068
est_Latn,0.6214,0.2223,0.6214
mpt_Latn,0.0291,0.0052,0.0291
hag_Latn,0.0388,0.0063,0.0388
chv_Cyrl,0.0194,0.006,0.0194
dov_Latn,0.0485,0.0105,0.0485
kyq_Latn,0.0291,0.0073,0.0291
cjo_Latn,0.0097,0.001,0.0097
aze_Cyrl,0.0583,0.0147,0.0583
wbi_Latn,0.0194,0.0071,0.0194
xtn_Latn,0.0777,0.0199,0.0777
kzf_Latn,0.0388,0.01,0.0388
zpz_Latn,0.0388,0.0076,0.0388
gag_Latn,0.3495,0.1538,0.3495
too_Latn,0.0777,0.0192,0.0777
bsc_Latn,0.0388,0.0055,0.0388
zsm_Latn,0.3883,0.1388,0.3883
mlh_Latn,0.0291,0.0058,0.0291
tat_Cyrl,0.1553,0.0412,0.1553
agw_Latn,0.0291,0.0092,0.0291
byx_Latn,0.0291,0.0052,0.0291
ksj_Latn,0.0583,0.0121,0.0583
ssd_Latn,0.0291,0.0102,0.0291
awi_Latn,0.0194,0.0052,0.0194
nan_Latn,0.0,0.0,0.0
sps_Latn,0.0291,0.0087,0.0291
kus_Latn,0.0583,0.0228,0.0583
blh_Latn,0.0097,0.0029,0.0097
cfm_Latn,0.068,0.0202,0.068
nwx_Deva,0.068,0.0139,0.068
myx_Latn,0.0388,0.0097,0.0388
nwi_Latn,0.0388,0.0084,0.0388
mif_Latn,0.0291,0.0063,0.0291
ixl_Latn,0.0291,0.0126,0.0291
gdn_Latn,0.0097,0.0016,0.0097
cof_Latn,0.0583,0.0199,0.0583
mps_Latn,0.0194,0.0037,0.0194
