code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
due_Latn,Latn,58.703,60.265,0.3516,0.0405,4
dug_Latn,Latn,55.672,56.705,0.3887,0.0834,4
dur_Latn,Latn,82.352,86.955,0.6295,0.0188,4
dwr_Latn,Latn,52.27,53.69,0.3914,0.0217,4
dww_Latn,Latn,62.022,64.535,0.3907,0.0245,4
dyi_Latn,Latn,75.375,78.06,0.4994,0.0166,4
dyo_Latn,Latn,54.53,55.88,0.4037,0.0291,4
dyu_Latn,Latn,63.735,65.43,0.476,0.0691,4
ebk_Latn,Latn,55.903,55.885,0.3554,0.0491,4
efi_Latn,Latn,66.795,66.41,0.5235,0.0942,4
eka_Latn,Latn,56.55,54.62,0.42,0.028,4
eko_Latn,Latn,51.383,53.655,0.3941,0.0348,4
ell_Grek,Grek,62.047,81.705,0.461,0.6391,4
emi_Latn,Latn,59.96,61.9,0.3759,0.0274,4
emp_Latn,Latn,78.752,83.025,0.5597,0.016,4
enb_Latn,Latn,77.305,79.65,0.5027,0.0097,4
enl_Latn,Latn,68.392,67.535,0.3852,0.0291,4
enm_Latn,Latn,41.88,39.11,0.334,0.6813,4
enq_Latn,Latn,70.627,72.815,0.3702,0.0108,4
enx_Latn,Latn,90.67,91.58,0.4477,0.0291,4
epo_Latn,Latn,40.155,42.57,0.3407,0.6122,4
eri_Latn,Latn,70.632,72.385,0.3805,0.0251,4
ese_Latn,Latn,102.248,99.845,0.4264,0.0063,4
esi_Latn,Latn,66.925,69.99,0.4808,0.0314,4
esk_Latn,Latn,64.055,66.96,0.48,0.0291,4
est_Latn,Latn,40.007,45.395,0.3454,0.5226,4
esu_Latn,Latn,47.83,48.3,0.4166,0.0411,4
etu_Latn,Latn,71.328,74.975,0.5456,0.0166,4
eus_Latn,Latn,48.543,49.535,0.36,0.1353,4
eve_Cyrl,Cyrl,63.565,70.01,0.5314,0.0303,4
ewe_Latn,Latn,69.608,71.445,0.5083,0.0771,4
ewo_Latn,Latn,46.775,46.86,0.4695,0.0451,4
