code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
xuo_Latn,0.0,0.0,0.0
heh_Latn,0.0388,0.0149,0.0388
gso_Latn,0.0194,0.0045,0.0194
mya_Mymr,0.0874,0.0329,0.0874
mwl_Latn,0.6214,0.2696,0.6214
zae_Latn,0.0097,0.0022,0.0097
aoz_Latn,0.0291,0.0119,0.0291
tnn_Latn,0.0,0.0,0.0
rar_Latn,0.3883,0.1494,0.3883
huv_Latn,0.0097,0.0015,0.0097
mgr_Latn,0.2816,0.1217,0.2816
kbr_Latn,0.0,0.0,0.0
mmn_Latn,0.0097,0.0015,0.0097
nsa_Latn,0.0194,0.0067,0.0194
yva_Latn,0.0097,0.0015,0.0097
hot_Latn,0.0,0.0,0.0
car_Latn,0.0097,0.0007,0.0097
tqb_Latn,0.0,0.0,0.0
ktu_Latn,0.5146,0.2128,0.5146
got_Latn,0.0291,0.0112,0.0291
tbk_Latn,0.0,0.0,0.0
iri_Latn,0.0,0.0,0.0
eza_Latn,0.0388,0.0134,0.0388
kuj_Latn,0.0,0.0,0.0
naw_Latn,0.0,0.0,0.0
pne_Latn,0.0194,0.006,0.0194
kss_Latn,0.0,0.0,0.0
whk_Latn,0.0097,0.006,0.0097
atg_Latn,0.0097,0.0015,0.0097
awa_Deva,0.0291,0.0097,0.0291
agn_Latn,0.0097,0.0015,0.0097
tem_Latn,0.0194,0.009,0.0194
ary_Arab,0.0097,0.0007,0.0097
tlf_Latn,0.0,0.0,0.0
eus_Latn,0.0388,0.0187,0.0388
hay_Latn,0.2233,0.109,0.2233
guj_Gujr,0.5243,0.2397,0.5243
bud_Latn,0.0,0.0,0.0
tih_Latn,0.1942,0.0829,0.1942
dyo_Latn,0.0194,0.003,0.0194
ife_Latn,0.0,0.0,0.0
enm_Latn,0.7476,0.4989,0.7476
caq_Latn,0.1748,0.0545,0.1748
poy_Latn,0.0583,0.0202,0.0583
crx_Latn,0.0,0.0,0.0
xon_Latn,0.0194,0.0052,0.0194
kbq_Latn,0.0097,0.0007,0.0097
qub_Latn,0.2427,0.0851,0.2427
afr_Latn,0.9223,0.5116,0.9223
cta_Latn,0.0,0.0,0.0
kpv_Cyrl,0.0485,0.0149,0.0485
nfr_Latn,0.0097,0.0037,0.0097
hin_Latn,0.3786,0.1329,0.3786
apu_Latn,0.0,0.0,0.0
dhm_Latn,0.0583,0.0269,0.0583
aeb_Arab,0.0097,0.0007,0.0097
xsu_Latn,0.0,0.0,0.0
wer_Latn,0.0,0.0,0.0
fon_Latn,0.1165,0.0351,0.1165
mah_Latn,0.2427,0.0963,0.2427
btx_Latn,0.3398,0.121,0.3398
huu_Latn,0.0097,0.0015,0.0097
aln_Latn,0.8641,0.416,0.8641
cop_Copt,0.0,0.0,0.0
chz_Latn,0.0,0.0,0.0
mvp_Latn,0.0291,0.0105,0.0291
syb_Latn,0.0194,0.0037,0.0194
mug_Latn,0.0097,0.0022,0.0097
arz_Arab,0.1262,0.0299,0.1262
kje_Latn,0.0097,0.0067,0.0097
esi_Latn,0.0194,0.003,0.0194
akh_Latn,0.0,0.0,0.0
tik_Latn,0.0,0.0,0.0
bug_Latn,0.0194,0.0067,0.0194
pbc_Latn,0.0097,0.0022,0.0097
usp_Latn,0.0097,0.0015,0.0097
dje_Latn,0.0194,0.006,0.0194
ndz_Latn,0.0,0.0,0.0
myb_Latn,0.0194,0.0067,0.0194
srp_Cyrl,0.8932,0.4862,0.8932
kew_Latn,0.0097,0.0022,0.0097
sey_Latn,0.0097,0.0015,0.0097
mhr_Cyrl,0.3495,0.1232,0.3495
agm_Latn,0.0,0.0,0.0
atd_Latn,0.0,0.0,0.0
nbc_Latn,0.0194,0.009,0.0194
kpg_Latn,0.301,0.1113,0.301
ojs_Cans,0.0,0.0,0.0
ksp_Latn,0.0291,0.0067,0.0291
bjk_Latn,0.0097,0.0015,0.0097
apt_Latn,0.0097,0.0052,0.0097
gla_Latn,0.2233,0.0732,0.2233
vut_Latn,0.0,0.0,0.0
kdi_Latn,0.0097,0.003,0.0097
kbp_Latn,0.0485,0.0187,0.0485
quc_Latn,0.1456,0.0508,0.1456
ium_Latn,0.1456,0.0538,0.1456
wiv_Latn,0.0388,0.0194,0.0388
yut_Latn,0.0,0.0,0.0
hla_Latn,0.0,0.0,0.0
cap_Latn,0.0,0.0,0.0
enl_Latn,0.0,0.0,0.0
lww_Latn,0.0,0.0,0.0
bku_Latn,0.0097,0.0015,0.0097
nia_Latn,0.068,0.0306,0.068
syc_Syrc,0.0,0.0,0.0
gej_Latn,0.0194,0.0105,0.0194
sml_Latn,0.0097,0.0007,0.0097
aia_Latn,0.0,0.0,0.0
gvc_Latn,0.0,0.0,0.0
pbb_Latn,0.0,0.0,0.0
dis_Latn,0.0097,0.003,0.0097
bfo_Latn,0.0194,0.0015,0.0194
bex_Latn,0.0097,0.0007,0.0097
nng_Latn,0.0,0.0,0.0
mca_Latn,0.0097,0.0007,0.0097
lid_Latn,0.0097,0.0007,0.0097
tos_Latn,0.0,0.0,0.0
nki_Latn,0.0971,0.0396,0.0971
kpf_Latn,0.0194,0.003,0.0194
teo_Latn,0.165,0.0627,0.165
mkd_Cyrl,0.8835,0.4765,0.8835
crh_Cyrl,0.6505,0.236,0.6505
aau_Latn,0.0,0.0,0.0
irk_Latn,0.0,0.0,0.0
tbg_Latn,0.0,0.0,0.0
mhl_Latn,0.0097,0.0007,0.0097
kgp_Latn,0.0,0.0,0.0
rnl_Latn,0.0291,0.0097,0.0291
bmb_Latn,0.0291,0.0134,0.0291
kqy_Ethi,0.0,0.0,0.0
apz_Latn,0.0,0.0,0.0
pio_Latn,0.0,0.0,0.0
cbi_Latn,0.0,0.0,0.0
yuz_Latn,0.0,0.0,0.0
bhl_Latn,0.0,0.0,0.0
srn_Latn,0.5922,0.2562,0.5922
enb_Latn,0.0,0.0,0.0
nsm_Latn,0.0097,0.0022,0.0097
rkb_Latn,0.0,0.0,0.0
sag_Latn,0.2427,0.0874,0.2427
qvz_Latn,0.0485,0.0202,0.0485
zai_Latn,0.0971,0.0448,0.0971
mqy_Latn,0.0194,0.0037,0.0194
guz_Latn,0.0485,0.0112,0.0485
cnl_Latn,0.0,0.0,0.0
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0,0.0,0.0
cmo_Khmr,0.0097,0.0007,0.0097
mco_Latn,0.0,0.0,0.0
hau_Latn,0.4466,0.1456,0.4466
kyc_Latn,0.0,0.0,0.0
nog_Cyrl,0.2718,0.1016,0.2718
muh_Latn,0.0,0.0,0.0
zca_Latn,0.0,0.0,0.0
tlj_Latn,0.0097,0.0015,0.0097
ell_Grek,0.7476,0.3391,0.7476
fal_Latn,0.0388,0.0119,0.0388
sco_Latn,0.1942,0.1075,0.1942
jid_Latn,0.0097,0.003,0.0097
nbl_Latn,0.4369,0.1621,0.4369
bis_Latn,0.2524,0.0762,0.2524
boj_Latn,0.0097,0.0007,0.0097
gng_Latn,0.0097,0.0007,0.0097
qul_Latn,0.3689,0.1352,0.3689
ifk_Latn,0.0583,0.0329,0.0583
kat_Geor,0.7087,0.351,0.7087
dah_Latn,0.0,0.0,0.0
fub_Latn,0.068,0.0276,0.068
acr_Latn,0.0388,0.0127,0.0388
tbf_Latn,0.0,0.0,0.0
taq_Latn,0.0,0.0,0.0
hak_Hani,0.3204,0.1434,0.3204
maf_Latn,0.0,0.0,0.0
kmm_Latn,0.2427,0.0769,0.2427
azg_Latn,0.0097,0.0045,0.0097
bdh_Latn,0.0,0.0,0.0
ura_Latn,0.0,0.0,0.0
gvl_Latn,0.0,0.0,0.0
nin_Latn,0.0097,0.0022,0.0097
zpi_Latn,0.0097,0.0015,0.0097
bsp_Latn,0.0097,0.0015,0.0097
pdt_Latn,0.6699,0.2905,0.6699
rup_Latn,0.0097,0.0022,0.0097
