code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
kmr_Latn,0.0388,0.0087,0.0388
mdy_Ethi,0.0097,0.0005,0.0097
kir_Cyrl,0.0777,0.0228,0.0777
kne_Latn,0.0291,0.0121,0.0291
nyo_Latn,0.0291,0.0076,0.0291
mti_Latn,0.0291,0.0063,0.0291
niq_Latn,0.0194,0.011,0.0194
chk_Latn,0.0194,0.0068,0.0194
zaw_Latn,0.0194,0.01,0.0194
twi_Latn,0.0194,0.0092,0.0194
gya_Latn,0.0194,0.0076,0.0194
poh_Latn,0.0291,0.0105,0.0291
srp_Latn,0.5825,0.2666,0.5825
mnk_Latn,0.0291,0.006,0.0291
gof_Latn,0.0097,0.0018,0.0097
hin_Deva,0.301,0.1113,0.301
pes_Arab,0.4078,0.1388,0.4078
isd_Latn,0.0291,0.0115,0.0291
tby_Latn,0.0194,0.0071,0.0194
ctp_Latn,0.0194,0.006,0.0194
wmw_Latn,0.0291,0.0089,0.0291
zlm_Latn,0.7282,0.3493,0.7282
arl_Latn,0.0097,0.0013,0.0097
nwb_Latn,0.0097,0.0003,0.0097
seh_Latn,0.0291,0.01,0.0291
sah_Cyrl,0.0291,0.0058,0.0291
ntu_Latn,0.0194,0.0031,0.0194
tel_Telu,0.0777,0.0236,0.0777
cpa_Latn,0.0194,0.0055,0.0194
bzd_Latn,0.0194,0.0073,0.0194
far_Latn,0.0291,0.006,0.0291
awb_Latn,0.0097,0.0003,0.0097
bim_Latn,0.0291,0.0089,0.0291
ojb_Cans,0.0,0.0,0.0
luo_Latn,0.0291,0.0092,0.0291
mva_Latn,0.0194,0.0039,0.0194
war_Latn,0.233,0.0771,0.233
lom_Latn,0.0097,0.0005,0.0097
toc_Latn,0.0097,0.0008,0.0097
ptu_Latn,0.0291,0.0092,0.0291
zpv_Latn,0.0194,0.0047,0.0194
sim_Latn,0.0194,0.0045,0.0194
mcq_Latn,0.0,0.0,0.0
epo_Latn,0.6893,0.2753,0.6893
lit_Latn,0.4854,0.1984,0.4854
gde_Latn,0.0194,0.0034,0.0194
sot_Latn,0.0388,0.0115,0.0388
usa_Latn,0.0,0.0,0.0
hak_Latn,0.0097,0.0005,0.0097
nnw_Latn,0.0,0.0,0.0
upv_Latn,0.0194,0.0042,0.0194
mpx_Latn,0.0097,0.0008,0.0097
guk_Ethi,0.0,0.0,0.0
zav_Latn,0.0097,0.0013,0.0097
nyn_Latn,0.0194,0.006,0.0194
aoi_Latn,0.0,0.0,0.0
kkj_Latn,0.0194,0.0042,0.0194
kms_Latn,0.0097,0.0018,0.0097
bth_Latn,0.0388,0.0165,0.0388
mai_Deva,0.0874,0.0247,0.0874
ape_Latn,0.0194,0.005,0.0194
bnj_Latn,0.0194,0.0031,0.0194
gog_Latn,0.0194,0.0045,0.0194
aeu_Latn,0.0,0.0,0.0
qve_Latn,0.0291,0.0066,0.0291
srq_Latn,0.0097,0.0058,0.0097
bkd_Latn,0.0291,0.0087,0.0291
caa_Latn,0.0388,0.0071,0.0388
poi_Latn,0.0097,0.0055,0.0097
cbv_Latn,0.0291,0.0058,0.0291
ncl_Latn,0.0194,0.0052,0.0194
ifu_Latn,0.0291,0.0097,0.0291
pma_Latn,0.0,0.0,0.0
att_Latn,0.0291,0.0073,0.0291
hmo_Latn,0.0194,0.0039,0.0194
spy_Latn,0.0097,0.0029,0.0097
pan_Guru,0.068,0.0152,0.068
adj_Latn,0.0194,0.0018,0.0194
byr_Latn,0.0097,0.0005,0.0097
mil_Latn,0.0194,0.0034,0.0194
ndj_Latn,0.0194,0.0066,0.0194
kvn_Latn,0.0194,0.0073,0.0194
pad_Latn,0.0097,0.001,0.0097
nma_Latn,0.0097,0.0005,0.0097
run_Latn,0.0388,0.0121,0.0388
otm_Latn,0.0291,0.0081,0.0291
mcp_Latn,0.0097,0.0042,0.0097
qxh_Latn,0.0291,0.0102,0.0291
tob_Latn,0.0097,0.0037,0.0097
lol_Latn,0.0097,0.0026,0.0097
anv_Latn,0.0194,0.0024,0.0194
bsn_Latn,0.0291,0.0055,0.0291
sil_Latn,0.0291,0.0039,0.0291
nho_Latn,0.0485,0.0152,0.0485
efi_Latn,0.0291,0.0089,0.0291
nys_Latn,0.0291,0.0079,0.0291
njz_Latn,0.0194,0.0029,0.0194
bbr_Latn,0.0194,0.0037,0.0194
nim_Latn,0.0291,0.005,0.0291
nlc_Latn,0.0194,0.0073,0.0194
gux_Latn,0.0194,0.0021,0.0194
urb_Latn,0.0,0.0,0.0
not_Latn,0.0097,0.0003,0.0097
ajz_Latn,0.0194,0.0055,0.0194
snw_Latn,0.0194,0.0068,0.0194
aim_Latn,0.0194,0.0024,0.0194
rmy_Latn,0.0291,0.0139,0.0291
lbk_Latn,0.0485,0.0181,0.0485
tar_Latn,0.0097,0.0018,0.0097
kde_Latn,0.0194,0.0039,0.0194
mxp_Latn,0.0097,0.0024,0.0097
aso_Latn,0.0097,0.0016,0.0097
dgr_Latn,0.0097,0.0005,0.0097
cbk_Latn,0.1553,0.0743,0.1553
twu_Latn,0.0194,0.0079,0.0194
npi_Deva,0.1748,0.0512,0.1748
ivv_Latn,0.0291,0.0089,0.0291
nso_Latn,0.0194,0.0058,0.0194
lem_Latn,0.0097,0.0018,0.0097
kpj_Latn,0.0097,0.0008,0.0097
lus_Latn,0.0194,0.0031,0.0194
hmr_Latn,0.0097,0.0029,0.0097
ian_Latn,0.0097,0.0013,0.0097
arp_Latn,0.0097,0.0055,0.0097
kud_Latn,0.0194,0.0024,0.0194
miq_Latn,0.0291,0.0087,0.0291
kaz_Cyrl,0.1456,0.0478,0.1456
shn_Mymr,0.0,0.0,0.0
tcz_Latn,0.0194,0.0073,0.0194
kez_Latn,0.0194,0.0052,0.0194
ake_Latn,0.0,0.0,0.0
tif_Latn,0.0,0.0,0.0
tzo_Latn,0.0194,0.0073,0.0194
nhr_Latn,0.0097,0.0003,0.0097
tlh_Latn,0.0971,0.0257,0.0971
met_Latn,0.0194,0.0045,0.0194
bss_Latn,0.0194,0.0066,0.0194
loq_Latn,0.0194,0.0058,0.0194
gaw_Latn,0.0097,0.0037,0.0097
mad_Latn,0.0388,0.0147,0.0388
gag_Cyrl,0.068,0.0194,0.068
izr_Latn,0.0194,0.0018,0.0194
mbs_Latn,0.0388,0.0097,0.0388
btt_Latn,0.0097,0.0016,0.0097
kmo_Latn,0.0,0.0,0.0
aze_Latn,0.2816,0.0958,0.2816
ayr_Latn,0.0194,0.0066,0.0194
nou_Latn,0.0097,0.0037,0.0097
gvn_Latn,0.0291,0.0052,0.0291
mwc_Latn,0.0194,0.0079,0.0194
zaj_Latn,0.0291,0.0092,0.0291
kha_Latn,0.0194,0.0055,0.0194
tna_Latn,0.0194,0.0079,0.0194
hvn_Latn,0.0291,0.0123,0.0291
nsn_Latn,0.0194,0.0042,0.0194
crt_Latn,0.0194,0.005,0.0194
urd_Arab,0.2524,0.0871,0.2524
sbs_Latn,0.0291,0.0102,0.0291
npy_Latn,0.0388,0.0129,0.0388
ttc_Latn,0.0097,0.0031,0.0097
ojb_Latn,0.0097,0.0005,0.0097
srm_Latn,0.0194,0.0068,0.0194
eko_Latn,0.0194,0.0018,0.0194
wob_Latn,0.0097,0.0026,0.0097
mxq_Latn,0.0194,0.0026,0.0194
apy_Latn,0.0,0.0,0.0
suz_Deva,0.0194,0.0021,0.0194
gnd_Latn,0.0097,0.0013,0.0097
ons_Latn,0.0194,0.0021,0.0194
suk_Latn,0.0194,0.0029,0.0194
kue_Latn,0.0097,0.0008,0.0097
tvk_Latn,0.0194,0.0013,0.0194
csk_Latn,0.0291,0.0042,0.0291
fao_Latn,0.1748,0.0625,0.1748
due_Latn,0.0388,0.0168,0.0388
tab_Cyrl,0.0,0.0,0.0
meu_Latn,0.0291,0.0089,0.0291
bcl_Latn,0.165,0.0575,0.165
kog_Latn,0.0097,0.0008,0.0097
ese_Latn,0.0097,0.0005,0.0097
otq_Latn,0.0097,0.0016,0.0097
buk_Latn,0.0097,0.0016,0.0097
enb_Latn,0.0,0.0,0.0
srn_Latn,0.0388,0.0168,0.0388
bhl_Latn,0.0097,0.0008,0.0097
yuz_Latn,0.0194,0.0066,0.0194
cbi_Latn,0.0194,0.0037,0.0194
qvz_Latn,0.0194,0.0026,0.0194
sag_Latn,0.0291,0.0084,0.0291
rkb_Latn,0.0,0.0,0.0
nsm_Latn,0.0291,0.0047,0.0291
rnl_Latn,0.0194,0.0042,0.0194
mhl_Latn,0.0194,0.0029,0.0194
kgp_Latn,0.0097,0.0026,0.0097
tbg_Latn,0.0,0.0,0.0
apz_Latn,0.0,0.0,0.0
pio_Latn,0.0194,0.0058,0.0194
kqy_Ethi,0.0,0.0,0.0
bmb_Latn,0.0291,0.0089,0.0291
cnl_Latn,0.0194,0.0018,0.0194
guz_Latn,0.0291,0.0071,0.0291
mqy_Latn,0.0388,0.0144,0.0388
zty_Latn,0.0097,0.0029,0.0097
lhu_Latn,0.0,0.0,0.0
zai_Latn,0.0388,0.0115,0.0388
zca_Latn,0.0388,0.0134,0.0388
muh_Latn,0.0097,0.0021,0.0097
nog_Cyrl,0.0388,0.0102,0.0388
kyc_Latn,0.0,0.0,0.0
ell_Grek,0.3592,0.1622,0.3592
tlj_Latn,0.0097,0.0008,0.0097
cmo_Khmr,0.0,0.0,0.0
mco_Latn,0.0194,0.0039,0.0194
hau_Latn,0.0194,0.0034,0.0194
boj_Latn,0.0097,0.0026,0.0097
gng_Latn,0.0291,0.0102,0.0291
jid_Latn,0.0291,0.0076,0.0291
sco_Latn,0.233,0.1102,0.233
fal_Latn,0.0291,0.0121,0.0291
bis_Latn,0.0485,0.0157,0.0485
nbl_Latn,0.0485,0.0108,0.0485
fub_Latn,0.0291,0.006,0.0291
dah_Latn,0.0097,0.0003,0.0097
kat_Geor,0.1068,0.0365,0.1068
taq_Latn,0.0194,0.0016,0.0194
tbf_Latn,0.0388,0.0115,0.0388
acr_Latn,0.0291,0.0113,0.0291
qul_Latn,0.0291,0.0071,0.0291
ifk_Latn,0.0291,0.0105,0.0291
nin_Latn,0.0097,0.0008,0.0097
kmm_Latn,0.0194,0.005,0.0194
maf_Latn,0.0291,0.01,0.0291
hak_Hani,0.4757,0.2083,0.4757
gvl_Latn,0.0097,0.0039,0.0097
ura_Latn,0.0,0.0,0.0
bdh_Latn,0.0097,0.0018,0.0097
azg_Latn,0.0097,0.006,0.0097
cor_Latn,0.0291,0.0142,0.0291
che_Cyrl,0.0097,0.0018,0.0097
hat_Latn,0.0777,0.0249,0.0777
nnh_Latn,0.0097,0.0021,0.0097
djk_Latn,0.0097,0.0042,0.0097
mpg_Latn,0.0194,0.0066,0.0194
rup_Latn,0.0291,0.0134,0.0291
cle_Latn,0.0194,0.0039,0.0194
mcn_Latn,0.0194,0.0084,0.0194
ots_Latn,0.0097,0.0045,0.0097
bsp_Latn,0.0194,0.0037,0.0194
zpi_Latn,0.0291,0.0079,0.0291
pdt_Latn,0.0583,0.0223,0.0583
dug_Latn,0.0291,0.0089,0.0291
zyb_Latn,0.0097,0.0005,0.0097
tam_Taml,0.1359,0.0462,0.1359
ngc_Latn,0.0194,0.0052,0.0194
tpp_Latn,0.0194,0.0081,0.0194
tha_Thai,0.5049,0.1595,0.5049
tsg_Latn,0.0097,0.0021,0.0097
lsi_Latn,0.0097,0.001,0.0097
aii_Syrc,0.0485,0.01,0.0485
nno_Latn,0.3883,0.1658,0.3883
jvn_Latn,0.1359,0.0378,0.1359
dob_Latn,0.0097,0.0026,0.0097
waj_Latn,0.0097,0.0005,0.0097
bci_Latn,0.0291,0.0097,0.0291
imo_Latn,0.0097,0.0005,0.0097
pmx_Latn,0.0291,0.006,0.0291
biu_Latn,0.0291,0.0045,0.0291
prs_Arab,0.4078,0.1388,0.4078
ssw_Latn,0.0388,0.0121,0.0388
agd_Latn,0.0097,0.0003,0.0097
nds_Latn,0.068,0.0252,0.068
myk_Latn,0.0291,0.0026,0.0291
sun_Latn,0.1165,0.0357,0.1165
mxt_Latn,0.0291,0.0087,0.0291
stq_Latn,0.1068,0.0388,0.1068
hig_Latn,0.0194,0.0039,0.0194
acu_Latn,0.0194,0.006,0.0194
cth_Latn,0.0194,0.006,0.0194
tav_Latn,0.0194,0.0026,0.0194
crq_Latn,0.0194,0.005,0.0194
kao_Latn,0.0291,0.0076,0.0291
tgo_Latn,0.0194,0.0068,0.0194
yrk_Cyrl,0.0194,0.0063,0.0194
plg_Latn,0.0194,0.0031,0.0194
ncu_Latn,0.0194,0.001,0.0194
cax_Latn,0.0194,0.0076,0.0194
zao_Latn,0.0291,0.0121,0.0291
nii_Latn,0.0097,0.0029,0.0097
shj_Latn,0.0097,0.0034,0.0097
jav_Latn,0.1456,0.043,0.1456
maa_Latn,0.0291,0.0094,0.0291
nlg_Latn,0.0291,0.0126,0.0291
nop_Latn,0.0097,0.001,0.0097
dks_Latn,0.0388,0.0094,0.0388
bch_Latn,0.0291,0.0092,0.0291
nhw_Latn,0.0194,0.0045,0.0194
zpo_Latn,0.0291,0.0092,0.0291
kiz_Latn,0.0291,0.011,0.0291
meq_Latn,0.0194,0.0052,0.0194
ann_Latn,0.0194,0.0042,0.0194
som_Latn,0.0194,0.0018,0.0194
ckt_Cyrl,0.0194,0.005,0.0194
tzj_Latn,0.0194,0.0081,0.0194
beq_Latn,0.0291,0.0089,0.0291
ikw_Latn,0.0097,0.0029,0.0097
xrb_Latn,0.0,0.0,0.0
cot_Latn,0.0097,0.0047,0.0097
bom_Latn,0.0194,0.0039,0.0194
blz_Latn,0.0388,0.0155,0.0388
kua_Latn,0.0291,0.0084,0.0291
mit_Latn,0.0194,0.0047,0.0194
mjc_Latn,0.0291,0.0092,0.0291
gkn_Latn,0.0194,0.0029,0.0194
leh_Latn,0.0194,0.0047,0.0194
cso_Latn,0.0097,0.0037,0.0097
crm_Cans,0.0,0.0,0.0
rim_Latn,0.0388,0.0123,0.0388
jic_Latn,0.0194,0.005,0.0194
spa_Latn,0.7573,0.4479,0.7573
var_Latn,0.0194,0.0016,0.0194
kqp_Latn,0.0097,0.0037,0.0097
nct_Latn,0.0097,0.0029,0.0097
uzb_Cyrl,0.1068,0.0257,0.1068
sri_Latn,0.0194,0.0047,0.0194
kan_Latn,0.0194,0.0042,0.0194
sgw_Ethi,0.0097,0.0018,0.0097
ffm_Latn,0.0194,0.0031,0.0194
nus_Latn,0.0,0.0,0.0
taw_Latn,0.0097,0.0016,0.0097
ckb_Arab,0.0291,0.0055,0.0291
dan_Latn,0.6893,0.3416,0.6893
swg_Latn,0.2136,0.0787,0.2136
hif_Latn,0.068,0.0197,0.068
stp_Latn,0.0097,0.0016,0.0097
mri_Latn,0.0583,0.0121,0.0583
kmk_Latn,0.0194,0.0097,0.0194
sme_Latn,0.0291,0.0047,0.0291
shk_Latn,0.0097,0.001,0.0097
mtp_Latn,0.0097,0.0008,0.0097
chr_Latn,0.0097,0.0045,0.0097
yaq_Latn,0.0097,0.0024,0.0097
kub_Latn,0.0194,0.0037,0.0194
cek_Latn,0.0097,0.0016,0.0097
bon_Latn,0.0097,0.0005,0.0097
fra_Latn,0.9223,0.5684,0.9223
tee_Latn,0.0194,0.0034,0.0194
anm_Latn,0.0291,0.0031,0.0291
mfe_Latn,0.068,0.0176,0.068
zpl_Latn,0.0291,0.0089,0.0291
kyg_Latn,0.0097,0.0008,0.0097
nmz_Latn,0.0291,0.0052,0.0291
lin_Latn,0.0291,0.0094,0.0291
mck_Latn,0.0097,0.0021,0.0097
alt_Cyrl,0.068,0.015,0.068
mbt_Latn,0.0194,0.0047,0.0194
bts_Latn,0.0291,0.0134,0.0291
cnh_Latn,0.0097,0.0047,0.0097
urd_Latn,0.1262,0.0375,0.1262
mar_Deva,0.2233,0.0617,0.2233
bgz_Latn,0.0194,0.0081,0.0194
azb_Latn,0.301,0.1042,0.301
chq_Latn,0.0194,0.0076,0.0194
vie_Latn,0.7184,0.3902,0.7184
zam_Latn,0.0097,0.0029,0.0097
nyu_Latn,0.0291,0.0102,0.0291
kru_Deva,0.0194,0.0063,0.0194
crs_Latn,0.068,0.0184,0.068
por_Latn,0.8058,0.4831,0.8058
kqs_Latn,0.0194,0.0039,0.0194
cgc_Latn,0.0485,0.0186,0.0485
mxv_Latn,0.0194,0.0042,0.0194
kwj_Latn,0.0097,0.0013,0.0097
kdc_Latn,0.0291,0.0092,0.0291
tbc_Latn,0.0194,0.0039,0.0194
sgz_Latn,0.0194,0.0045,0.0194
agg_Latn,0.0,0.0,0.0
fai_Latn,0.0097,0.0005,0.0097
ted_Latn,0.0,0.0,0.0
vap_Latn,0.0194,0.0045,0.0194
biv_Latn,0.0194,0.0045,0.0194
tpt_Latn,0.0194,0.006,0.0194
pkb_Latn,0.0194,0.0087,0.0194
ndp_Latn,0.0194,0.0045,0.0194
lsm_Latn,0.0291,0.0031,0.0291
yap_Latn,0.0291,0.0079,0.0291
gnb_Latn,0.0097,0.0037,0.0097
ses_Latn,0.0291,0.0092,0.0291
iqw_Latn,0.0194,0.0026,0.0194
cut_Latn,0.0291,0.0089,0.0291
bum_Latn,0.0291,0.0121,0.0291
klv_Latn,0.0097,0.0016,0.0097
akb_Latn,0.0388,0.0118,0.0388
qxr_Latn,0.0194,0.0031,0.0194
nnl_Latn,0.0194,0.0039,0.0194
tzh_Latn,0.0291,0.0121,0.0291
pbi_Latn,0.0194,0.0052,0.0194
bfd_Latn,0.0194,0.0039,0.0194
nhu_Latn,0.0194,0.0031,0.0194
kyf_Latn,0.0,0.0,0.0
sja_Latn,0.0291,0.0063,0.0291
zpm_Latn,0.0194,0.0052,0.0194
kix_Latn,0.0194,0.0016,0.0194
ald_Latn,0.0194,0.0045,0.0194
shi_Latn,0.0097,0.0016,0.0097
wca_Latn,0.0097,0.001,0.0097
vid_Latn,0.0291,0.0058,0.0291
nij_Latn,0.0388,0.0155,0.0388
mwe_Latn,0.0097,0.0037,0.0097
nld_Latn,0.8641,0.4545,0.8641
snp_Latn,0.0097,0.0008,0.0097
mhi_Latn,0.0388,0.0105,0.0388
fuf_Latn,0.0194,0.0024,0.0194
bnp_Latn,0.0291,0.0121,0.0291
swe_Latn,0.6311,0.2999,0.6311
tuk_Cyrl,0.0777,0.0171,0.0777
eng_Latn,1.0,1.0,1.0
tte_Latn,0.0097,0.0026,0.0097
emp_Latn,0.0097,0.0052,0.0097
tgl_Latn,0.4854,0.1703,0.4854
gid_Latn,0.0291,0.011,0.0291
quh_Latn,0.0388,0.0097,0.0388
oym_Latn,0.0194,0.0029,0.0194
kal_Latn,0.0291,0.0026,0.0291
sab_Latn,0.0291,0.0066,0.0291
des_Latn,0.0194,0.0045,0.0194
ria_Latn,0.0194,0.0024,0.0194
moa_Latn,0.0097,0.001,0.0097
kbd_Cyrl,0.0097,0.0008,0.0097
tcs_Latn,0.0388,0.0094,0.0388
suc_Latn,0.0291,0.0066,0.0291
tpz_Latn,0.0097,0.0026,0.0097
boa_Latn,0.0,0.0,0.0
wnu_Latn,0.0097,0.0016,0.0097
pap_Latn,0.1068,0.0404,0.1068
nnb_Latn,0.0194,0.0055,0.0194
mpm_Latn,0.0194,0.0092,0.0194
lia_Latn,0.0194,0.0026,0.0194
mcd_Latn,0.0194,0.0073,0.0194
slv_Latn,0.4757,0.1874,0.4757
zpc_Latn,0.0291,0.0094,0.0291
gbi_Latn,0.0097,0.0045,0.0097
amu_Latn,0.0194,0.0052,0.0194
wbp_Latn,0.0,0.0,0.0
cjv_Latn,0.0,0.0,0.0
bel_Cyrl,0.466,0.1939,0.466
kxw_Latn,0.0097,0.0013,0.0097
zab_Latn,0.0388,0.0123,0.0388
bre_Latn,0.0291,0.0094,0.0291
nzm_Latn,0.0097,0.0013,0.0097
alj_Latn,0.0291,0.0068,0.0291
lmp_Latn,0.0194,0.0021,0.0194
ubu_Latn,0.0097,0.0003,0.0097
kmg_Latn,0.0097,0.0034,0.0097
izz_Latn,0.0194,0.0031,0.0194
mal_Latn,0.0194,0.0039,0.0194
gvf_Latn,0.0097,0.0005,0.0097
guq_Latn,0.0194,0.0058,0.0194
fuh_Latn,0.0194,0.0045,0.0194
taj_Deva,0.0194,0.0029,0.0194
swk_Latn,0.0388,0.011,0.0388
kdl_Latn,0.0097,0.0047,0.0097
jni_Latn,0.0097,0.0016,0.0097
agx_Cyrl,0.0097,0.005,0.0097
tbl_Latn,0.0194,0.0042,0.0194
nep_Deva,0.1068,0.0341,0.1068
quf_Latn,0.0194,0.0071,0.0194
lgl_Latn,0.0194,0.0058,0.0194
uig_Cyrl,0.068,0.0173,0.068
kab_Latn,0.0194,0.0076,0.0194
bhg_Latn,0.0194,0.0071,0.0194
ifa_Latn,0.0291,0.0113,0.0291
blw_Latn,0.0291,0.0097,0.0291
miy_Latn,0.0097,0.0013,0.0097
cpu_Latn,0.0388,0.01,0.0388
itv_Latn,0.0388,0.0136,0.0388
kck_Latn,0.0291,0.0068,0.0291
kxm_Thai,0.0194,0.0018,0.0194
lee_Latn,0.0097,0.0024,0.0097
naq_Latn,0.0097,0.0037,0.0097
ghe_Deva,0.0194,0.0058,0.0194
ziw_Latn,0.0388,0.0058,0.0388
dar_Cyrl,0.0097,0.0024,0.0097
ata_Latn,0.0097,0.0016,0.0097
wro_Latn,0.0194,0.0066,0.0194
nxd_Latn,0.0194,0.0039,0.0194
hto_Latn,0.0097,0.0031,0.0097
kiw_Latn,0.0097,0.0026,0.0097
mfk_Latn,0.0194,0.0026,0.0194
zul_Latn,0.0388,0.0084,0.0388
cmn_Hani,0.932,0.598,0.932
hrv_Latn,0.5146,0.2199,0.5146
dyi_Latn,0.0097,0.0005,0.0097
wwa_Latn,0.0097,0.0005,0.0097
gup_Latn,0.0291,0.0089,0.0291
bgt_Latn,0.0291,0.0108,0.0291
mam_Latn,0.0194,0.0066,0.0194
yor_Latn,0.0291,0.0047,0.0291
yle_Latn,0.0,0.0,0.0
zac_Latn,0.0291,0.0136,0.0291
bam_Latn,0.0194,0.0063,0.0194
cat_Latn,0.7087,0.343,0.7087
krj_Latn,0.2816,0.0966,0.2816
bkq_Latn,0.0291,0.0081,0.0291
dgz_Latn,0.0097,0.0016,0.0097
myv_Cyrl,0.0194,0.0087,0.0194
cbc_Latn,0.0194,0.0034,0.0194
lgm_Latn,0.0194,0.0039,0.0194
qug_Latn,0.0194,0.0018,0.0194
dts_Latn,0.0194,0.0034,0.0194
kac_Latn,0.0097,0.0016,0.0097
tdt_Latn,0.0291,0.01,0.0291
lat_Latn,0.8447,0.4652,0.8447
gor_Latn,0.0291,0.0084,0.0291
rmq_Latn,0.0777,0.0226,0.0777
ctd_Latn,0.0291,0.0047,0.0291
gle_Latn,0.0583,0.0189,0.0583
bmh_Latn,0.0097,0.0042,0.0097
kwd_Latn,0.0194,0.0045,0.0194
ven_Latn,0.0097,0.0047,0.0097
asg_Latn,0.0194,0.0066,0.0194
mfh_Latn,0.0291,0.0076,0.0291
loz_Latn,0.0291,0.011,0.0291
nhy_Latn,0.0291,0.011,0.0291
mua_Latn,0.0194,0.0063,0.0194
vmy_Latn,0.0291,0.0121,0.0291
ben_Beng,0.2136,0.0769,0.2136
gdr_Latn,0.0194,0.0029,0.0194
tim_Latn,0.0097,0.0008,0.0097
xbr_Latn,0.0097,0.0003,0.0097
mcf_Latn,0.0,0.0,0.0
cux_Latn,0.0097,0.0052,0.0097
miz_Latn,0.0194,0.0058,0.0194
gnn_Latn,0.0,0.0,0.0
tso_Latn,0.0291,0.0113,0.0291
zom_Latn,0.0194,0.0063,0.0194
nbe_Latn,0.0291,0.0042,0.0291
atb_Latn,0.0097,0.0016,0.0097
ssx_Latn,0.0,0.0,0.0
hnn_Latn,0.0583,0.0176,0.0583
heb_Hebr,0.4563,0.1643,0.4563
lef_Latn,0.0291,0.0066,0.0291
moc_Latn,0.0194,0.0047,0.0194
mlt_Latn,0.1262,0.0344,0.1262
qvs_Latn,0.0291,0.0058,0.0291
dtp_Latn,0.0194,0.0008,0.0194
kri_Latn,0.0583,0.0157,0.0583
trp_Latn,0.0291,0.0024,0.0291
tke_Latn,0.0291,0.0079,0.0291
pps_Latn,0.0291,0.0084,0.0291
smk_Latn,0.0291,0.0087,0.0291
mrg_Latn,0.0097,0.0037,0.0097
uri_Latn,0.0,0.0,0.0
ban_Latn,0.0388,0.0131,0.0388
nif_Latn,0.0097,0.0005,0.0097
mgw_Latn,0.0291,0.0097,0.0291
khk_Latn,0.0194,0.0047,0.0194
bqp_Latn,0.0194,0.0031,0.0194
hus_Latn,0.0194,0.0081,0.0194
tnk_Latn,0.0097,0.0018,0.0097
reg_Latn,0.0291,0.0081,0.0291
sin_Sinh,0.0194,0.0052,0.0194
yka_Latn,0.0194,0.0063,0.0194
msy_Latn,0.0194,0.006,0.0194
nko_Latn,0.0194,0.0018,0.0194
nhx_Latn,0.0194,0.0079,0.0194
tlb_Latn,0.0291,0.0076,0.0291
mfi_Latn,0.0194,0.005,0.0194
kjb_Latn,0.0194,0.01,0.0194
fad_Latn,0.0194,0.0055,0.0194
nas_Latn,0.0097,0.0021,0.0097
ceg_Latn,0.0194,0.0047,0.0194
tsn_Latn,0.0194,0.0076,0.0194
xho_Latn,0.0388,0.0092,0.0388
tbo_Latn,0.0097,0.0013,0.0097
lav_Latn,0.4078,0.1609,0.4078
mks_Latn,0.0194,0.0058,0.0194
sda_Latn,0.0485,0.0142,0.0485
swh_Latn,0.1068,0.0228,0.1068
daa_Latn,0.0194,0.0055,0.0194
kwf_Latn,0.0194,0.0058,0.0194
trq_Latn,0.0291,0.0073,0.0291
neb_Latn,0.0,0.0,0.0
apr_Latn,0.0097,0.0037,0.0097
ifb_Latn,0.0194,0.0063,0.0194
cav_Latn,0.0291,0.0089,0.0291
hop_Latn,0.0194,0.0018,0.0194
oji_Latn,0.0194,0.0063,0.0194
kaa_Latn,0.0388,0.0052,0.0388
nse_Latn,0.0291,0.0066,0.0291
mda_Latn,0.0097,0.001,0.0097
nyy_Latn,0.0194,0.0029,0.0194
zaa_Latn,0.0291,0.0121,0.0291
bao_Latn,0.0291,0.0055,0.0291
bzi_Thai,0.0194,0.0037,0.0194
gur_Latn,0.0291,0.0071,0.0291
ike_Cans,0.0,0.0,0.0
xpe_Latn,0.0097,0.0024,0.0097
ksw_Mymr,0.0,0.0,0.0
pse_Latn,0.0485,0.0181,0.0485
ztq_Latn,0.0194,0.0068,0.0194
cta_Latn,0.0097,0.0021,0.0097
nfr_Latn,0.0291,0.01,0.0291
apu_Latn,0.0097,0.0003,0.0097
hin_Latn,0.1068,0.0297,0.1068
kpv_Cyrl,0.0291,0.01,0.0291
poy_Latn,0.0194,0.0047,0.0194
enm_Latn,0.6311,0.3855,0.6311
caq_Latn,0.0097,0.0016,0.0097
ife_Latn,0.0097,0.001,0.0097
afr_Latn,0.7282,0.3133,0.7282
qub_Latn,0.0194,0.0031,0.0194
kbq_Latn,0.0194,0.0024,0.0194
xon_Latn,0.0291,0.0079,0.0291
crx_Latn,0.0097,0.0031,0.0097
cop_Copt,0.0,0.0,0.0
aln_Latn,0.301,0.1068,0.301
huu_Latn,0.0194,0.0039,0.0194
chz_Latn,0.0097,0.0039,0.0097
xsu_Latn,0.0097,0.0018,0.0097
aeb_Arab,0.1068,0.0255,0.1068
wer_Latn,0.0,0.0,0.0
dhm_Latn,0.0291,0.0097,0.0291
btx_Latn,0.0388,0.0205,0.0388
mah_Latn,0.0194,0.0084,0.0194
fon_Latn,0.0194,0.0029,0.0194
bug_Latn,0.0291,0.0097,0.0291
tik_Latn,0.0097,0.0003,0.0097
akh_Latn,0.0097,0.0018,0.0097
esi_Latn,0.0194,0.0063,0.0194
usp_Latn,0.0291,0.011,0.0291
dje_Latn,0.0291,0.0094,0.0291
