code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
nmh_Latn,0.0194,0.0052,0.0194
dik_Latn,0.0097,0.0016,0.0097
mpp_Latn,0.0194,0.0021,0.0194
coe_Latn,0.0194,0.0045,0.0194
pam_Latn,0.0485,0.0231,0.0485
pdc_Latn,0.0485,0.0165,0.0485
wbm_Latn,0.0194,0.0021,0.0194
amh_Latn,0.0097,0.0005,0.0097
kik_Latn,0.0291,0.0073,0.0291
mgh_Latn,0.0097,0.0031,0.0097
fin_Latn,0.3883,0.132,0.3883
kkc_Latn,0.0097,0.0008,0.0097
yon_Latn,0.0097,0.0003,0.0097
njn_Latn,0.0194,0.0055,0.0194
mwv_Latn,0.0388,0.0081,0.0388
mta_Latn,0.0097,0.0021,0.0097
niy_Latn,0.0097,0.001,0.0097
gul_Latn,0.1845,0.0687,0.1845
snc_Latn,0.0194,0.0047,0.0194
maq_Latn,0.0291,0.0092,0.0291
mbf_Latn,0.3592,0.1412,0.3592
smt_Latn,0.0097,0.0026,0.0097
kgf_Latn,0.0097,0.0029,0.0097
jmc_Latn,0.0194,0.0029,0.0194
ace_Latn,0.0388,0.0152,0.0388
isl_Latn,0.2039,0.0745,0.2039
kyu_Mymr,0.0,0.0,0.0
tro_Latn,0.0194,0.0052,0.0194
kto_Latn,0.0194,0.0052,0.0194
icr_Latn,0.0583,0.0249,0.0583
plw_Latn,0.0194,0.0037,0.0194
snd_Arab,0.1553,0.0509,0.1553
lwo_Latn,0.0097,0.0021,0.0097
ivb_Latn,0.0194,0.0068,0.0194
npl_Latn,0.0291,0.0118,0.0291
kbh_Latn,0.0291,0.0089,0.0291
pmf_Latn,0.0388,0.0073,0.0388
lew_Latn,0.0291,0.0092,0.0291
iws_Latn,0.0,0.0,0.0
mor_Latn,0.0,0.0,0.0
mle_Latn,0.0097,0.0024,0.0097
cui_Latn,0.0097,0.0013,0.0097
abt_Latn,0.0097,0.0005,0.0097
yam_Latn,0.0097,0.0021,0.0097
tpi_Latn,0.0291,0.0079,0.0291
nmf_Latn,0.0194,0.005,0.0194
cok_Latn,0.0097,0.0016,0.0097
nnq_Latn,0.0194,0.0029,0.0194
djr_Latn,0.0097,0.0003,0.0097
qxo_Latn,0.0291,0.0084,0.0291
amh_Ethi,0.0388,0.0071,0.0388
tir_Ethi,0.0194,0.0029,0.0194
mfy_Latn,0.0194,0.0042,0.0194
amf_Latn,0.0194,0.0042,0.0194
gam_Latn,0.0097,0.0018,0.0097
men_Latn,0.0194,0.0042,0.0194
bcw_Latn,0.0097,0.0005,0.0097
szb_Latn,0.0194,0.005,0.0194
rro_Latn,0.0291,0.0087,0.0291
jra_Latn,0.0097,0.0045,0.0097
pfe_Latn,0.0194,0.0026,0.0194
mto_Latn,0.0097,0.0013,0.0097
khz_Latn,0.0194,0.0039,0.0194
hub_Latn,0.0291,0.0092,0.0291
aly_Latn,0.0194,0.0042,0.0194
aon_Latn,0.0097,0.0008,0.0097
ewo_Latn,0.0388,0.0157,0.0388
gfk_Latn,0.0291,0.0092,0.0291
lhm_Latn,0.0097,0.0021,0.0097
mbh_Latn,0.0194,0.0052,0.0194
gub_Latn,0.0,0.0,0.0
pck_Latn,0.0194,0.006,0.0194
cnt_Latn,0.0388,0.0097,0.0388
xsb_Latn,0.0388,0.0118,0.0388
apb_Latn,0.0097,0.0024,0.0097
rmc_Latn,0.0388,0.0115,0.0388
aer_Latn,0.0194,0.0039,0.0194
gjn_Latn,0.0194,0.0037,0.0194
nsu_Latn,0.0291,0.0076,0.0291
kaq_Latn,0.0194,0.005,0.0194
kqo_Latn,0.0,0.0,0.0
san_Deva,0.0971,0.0278,0.0971
pon_Latn,0.0097,0.0003,0.0097
caf_Latn,0.0097,0.0034,0.0097
yre_Latn,0.0097,0.0021,0.0097
kaa_Cyrl,0.0777,0.0231,0.0777
tca_Latn,0.0,0.0,0.0
ntr_Latn,0.0194,0.005,0.0194
yal_Latn,0.0194,0.0055,0.0194
mos_Latn,0.0194,0.0042,0.0194
gkp_Latn,0.0097,0.0024,0.0097
adl_Latn,0.0194,0.0047,0.0194
nbu_Latn,0.0097,0.0021,0.0097
cco_Latn,0.0194,0.0055,0.0194
tuf_Latn,0.0194,0.0089,0.0194
ksf_Latn,0.0097,0.0018,0.0097
uvh_Latn,0.0194,0.0026,0.0194
nhi_Latn,0.0388,0.0113,0.0388
gqr_Latn,0.0097,0.0031,0.0097
zpq_Latn,0.0194,0.0058,0.0194
kjs_Latn,0.0194,0.0018,0.0194
grt_Beng,0.0194,0.0031,0.0194
cym_Latn,0.0971,0.0346,0.0971
prk_Latn,0.0194,0.0024,0.0194
qxn_Latn,0.0194,0.01,0.0194
sld_Latn,0.0097,0.0008,0.0097
beo_Latn,0.0097,0.0013,0.0097
pab_Latn,0.0291,0.0089,0.0291
