code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
amh_Ethi,0.0097,0.0003,0.0097
qxo_Latn,0.0097,0.0017,0.0097
cok_Latn,0.0194,0.0033,0.0194
nnq_Latn,0.0097,0.0017,0.0097
djr_Latn,0.0,0.0,0.0
nmf_Latn,0.0,0.0,0.0
bcw_Latn,0.0097,0.001,0.0097
szb_Latn,0.0097,0.0013,0.0097
gam_Latn,0.0,0.0,0.0
men_Latn,0.0097,0.0007,0.0097
tir_Ethi,0.0,0.0,0.0
mfy_Latn,0.0,0.0,0.0
amf_Latn,0.0097,0.0003,0.0097
kgk_Latn,0.0,0.0,0.0
ach_Latn,0.0194,0.003,0.0194
ctu_Latn,0.0097,0.002,0.0097
qva_Latn,0.0194,0.004,0.0194
giz_Latn,0.0097,0.001,0.0097
sbk_Latn,0.0194,0.0033,0.0194
cbr_Latn,0.0097,0.001,0.0097
hlt_Latn,0.0097,0.002,0.0097
nch_Latn,0.0097,0.003,0.0097
yua_Latn,0.0194,0.0057,0.0194
zar_Latn,0.0194,0.0037,0.0194
alz_Latn,0.0194,0.0027,0.0194
khy_Latn,0.0097,0.002,0.0097
bru_Latn,0.0097,0.0007,0.0097
aom_Latn,0.0097,0.0013,0.0097
snn_Latn,0.0194,0.0087,0.0194
mqb_Latn,0.0194,0.002,0.0194
cnw_Latn,0.0097,0.002,0.0097
dif_Latn,0.0291,0.0064,0.0291
bem_Latn,0.0194,0.0037,0.0194
ikk_Latn,0.0097,0.0047,0.0097
gwi_Latn,0.0194,0.0047,0.0194
hye_Armn,0.0194,0.0047,0.0194
pri_Latn,0.0,0.0,0.0
qxl_Latn,0.0194,0.0044,0.0194
soq_Latn,0.0097,0.004,0.0097
bvd_Latn,0.0194,0.002,0.0194
bus_Latn,0.0097,0.0003,0.0097
ahk_Latn,0.0,0.0,0.0
ame_Latn,0.0097,0.0087,0.0097
ptp_Latn,0.0097,0.0033,0.0097
bsj_Latn,0.0097,0.0007,0.0097
tof_Latn,0.0,0.0,0.0
pwg_Latn,0.0097,0.0007,0.0097
khm_Khmr,0.0097,0.0007,0.0097
ign_Latn,0.0194,0.0017,0.0194
ksd_Latn,0.0194,0.01,0.0194
nri_Latn,0.0097,0.0044,0.0097
mih_Latn,0.0097,0.0037,0.0097
yby_Latn,0.0097,0.0007,0.0097
ntp_Latn,0.0,0.0,0.0
lcm_Latn,0.0097,0.0007,0.0097
tcc_Latn,0.0097,0.0047,0.0097
yan_Latn,0.0194,0.0064,0.0194
kvj_Latn,0.0097,0.0003,0.0097
mza_Latn,0.0097,0.0033,0.0097
sus_Latn,0.0097,0.0007,0.0097
wib_Latn,0.0,0.0,0.0
kum_Cyrl,0.0,0.0,0.0
enx_Latn,0.0194,0.007,0.0194
pol_Latn,0.3689,0.1031,0.3689
mmx_Latn,0.0194,0.0054,0.0194
quw_Latn,0.0194,0.007,0.0194
hye_Latn,0.0097,0.0007,0.0097
trc_Latn,0.0194,0.0044,0.0194
mbj_Latn,0.0097,0.0007,0.0097
bqc_Latn,0.0097,0.0003,0.0097
rad_Latn,0.0194,0.0017,0.0194
zas_Latn,0.0097,0.0007,0.0097
njb_Latn,0.0097,0.0007,0.0097
bbj_Latn,0.0194,0.006,0.0194
ind_Latn,0.6214,0.22,0.6214
mur_Latn,0.0097,0.0003,0.0097
obo_Latn,0.0194,0.0037,0.0194
ory_Orya,0.0097,0.0007,0.0097
xav_Latn,0.0,0.0,0.0
sop_Latn,0.0,0.0,0.0
lip_Latn,0.0097,0.004,0.0097
mcu_Latn,0.0194,0.0027,0.0194
dig_Latn,0.0097,0.003,0.0097
msk_Latn,0.0097,0.0013,0.0097
ndo_Latn,0.0097,0.0013,0.0097
iba_Latn,0.0194,0.01,0.0194
sur_Latn,0.0097,0.001,0.0097
cuk_Latn,0.0194,0.0077,0.0194
uig_Latn,0.0097,0.0033,0.0097
kff_Telu,0.0,0.0,0.0
yao_Latn,0.0097,0.0007,0.0097
leu_Latn,0.0194,0.0037,0.0194
mop_Latn,0.0097,0.0074,0.0097
uli_Latn,0.0194,0.0027,0.0194
