code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
kgf_Latn,0.0097,0.001,0.0097
ace_Latn,0.0194,0.0102,0.0194
jmc_Latn,0.0097,0.0003,0.0097
icr_Latn,0.0485,0.0215,0.0485
kto_Latn,0.0097,0.005,0.0097
kyu_Mymr,0.0,0.0,0.0
tro_Latn,0.0097,0.0016,0.0097
lwo_Latn,0.0,0.0,0.0
snd_Arab,0.0485,0.0155,0.0485
plw_Latn,0.0194,0.0026,0.0194
npl_Latn,0.0194,0.0073,0.0194
kbh_Latn,0.0194,0.0047,0.0194
ivb_Latn,0.0194,0.0068,0.0194
mps_Latn,0.0,0.0,0.0
cof_Latn,0.0194,0.0092,0.0194
ixl_Latn,0.0194,0.0024,0.0194
gdn_Latn,0.0,0.0,0.0
bps_Latn,0.0097,0.0031,0.0097
amk_Latn,0.0194,0.0052,0.0194
toh_Latn,0.0097,0.0045,0.0097
cya_Latn,0.0194,0.0055,0.0194
ium_Thai,0.0,0.0,0.0
way_Latn,0.0,0.0,0.0
nhe_Latn,0.0097,0.0018,0.0097
sps_Latn,0.0194,0.0016,0.0194
ssd_Latn,0.0097,0.0016,0.0097
ksj_Latn,0.0,0.0,0.0
nan_Latn,0.0,0.0,0.0
awi_Latn,0.0,0.0,0.0
byx_Latn,0.0,0.0,0.0
mlh_Latn,0.0,0.0,0.0
agw_Latn,0.0097,0.0024,0.0097
tat_Cyrl,0.0194,0.0018,0.0194
mif_Latn,0.0097,0.0003,0.0097
nwi_Latn,0.0194,0.0005,0.0194
myx_Latn,0.0097,0.0024,0.0097
blh_Latn,0.0,0.0,0.0
kus_Latn,0.0194,0.0037,0.0194
nwx_Deva,0.0,0.0,0.0
cfm_Latn,0.0194,0.0021,0.0194
fuv_Latn,0.0,0.0,0.0
mal_Mlym,0.0583,0.0142,0.0583
rmn_Latn,0.0194,0.0089,0.0194
acf_Latn,0.0388,0.0136,0.0388
mhy_Latn,0.0291,0.0165,0.0291
dru_Latn,0.0194,0.0016,0.0194
gom_Latn,0.0097,0.0031,0.0097
qvo_Latn,0.0097,0.0037,0.0097
npo_Latn,0.0194,0.0018,0.0194
plt_Latn,0.0194,0.0042,0.0194
ktb_Ethi,0.0,0.0,0.0
cak_Latn,0.0194,0.0047,0.0194
bar_Latn,0.068,0.0244,0.068
njm_Latn,0.0097,0.0005,0.0097
pua_Latn,0.0194,0.0094,0.0194
etu_Latn,0.0,0.0,0.0
yom_Latn,0.0,0.0,0.0
jae_Latn,0.0097,0.0008,0.0097
bul_Cyrl,0.5146,0.2317,0.5146
bwu_Latn,0.0097,0.0008,0.0097
ppo_Latn,0.0,0.0,0.0
wuv_Latn,0.0194,0.0087,0.0194
urd_Deva,0.1262,0.0373,0.1262
guo_Latn,0.0097,0.0039,0.0097
hch_Latn,0.0097,0.0003,0.0097
dop_Latn,0.0097,0.0003,0.0097
nhd_Latn,0.0194,0.0045,0.0194
bpr_Latn,0.0097,0.0018,0.0097
sig_Latn,0.0097,0.0003,0.0097
kor_Hang,0.4272,0.1527,0.4272
gaa_Latn,0.0388,0.0047,0.0388
log_Latn,0.0097,0.0005,0.0097
toi_Latn,0.0097,0.0042,0.0097
prf_Latn,0.0291,0.011,0.0291
kan_Knda,0.0291,0.0055,0.0291
mse_Latn,0.0194,0.0094,0.0194
